카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년02월_계_총인구수,"508,587","37,922","19,104","13,355","37,386","34,129","14,821","13,452","32,706","23,012","18,542","7,381","35,137","17,033","19,930","35,521","30,097","17,184","17,966","33,057","13,316","13,181","24,355"
2020년02월_계_연령구간인구수,"508,587","37,922","19,104","13,355","37,386","34,129","14,821","13,452","32,706","23,012","18,542","7,381","35,137","17,033","19,930","35,521","30,097","17,184","17,966","33,057","13,316","13,181","24,355"
2020년02월_계_0~9세,"35,846","2,586","1,075",705,"2,833","2,810","1,002",636,"2,866","1,361","1,320",369,"2,864",972,"1,351","2,724","2,731",971,"1,239","2,154","1,190",778,"1,309"
2020년02월_계_10~19세,"45,704","3,078","1,479",897,"2,521","2,477",888,"1,041","3,935","2,170","1,942",564,"3,122","1,397","1,584","3,870","4,439","1,213","1,664","3,584","1,096","1,077","1,666"
2020년02월_계_20~29세,"72,849","6,256","2,764","1,777","5,876","5,271","2,168","1,801","4,401","3,013","2,736",956,"4,979","2,586","2,693","4,997","3,821","2,261","2,576","5,169","1,755","1,684","3,309"
2020년02월_계_30~39세,"71,474","6,284","2,782","1,751","6,929","6,454","2,349","1,480","4,062","2,579","2,262",882,"5,250","2,345","2,980","4,365","3,263","2,242","2,376","4,191","1,957","1,549","3,142"
2020년02월_계_40~49세,"80,548","5,851","2,927","1,939","5,779","5,511","2,196","1,882","5,686","3,316","2,962","1,159","5,370","2,533","2,638","5,989","6,152","2,519","2,853","5,627","1,931","2,022","3,706"
2020년02월_계_50~59세,"92,888","6,152","3,467","2,515","6,219","5,532","2,599","2,716","5,901","4,249","3,469","1,582","6,586","3,439","3,766","6,683","5,219","3,105","3,328","6,488","2,292","2,580","5,001"
2020년02월_계_60~69세,"62,797","4,389","2,526","2,027","4,161","3,491","2,026","2,188","3,516","3,331","2,287","1,095","4,182","2,240","2,919","3,895","2,622","2,735","2,262","3,397","1,897","1,970","3,641"
2020년02월_계_70~79세,"30,790","2,154","1,455","1,144","2,085","1,725","1,027","1,103","1,570","1,851",973,541,"1,859","1,024","1,271","1,865","1,197","1,516","1,152","1,620",826,"1,047","1,785"
2020년02월_계_80~89세,"13,479","1,007",542,506,854,731,478,505,655,983,517,180,810,429,618,968,555,560,456,711,316,400,698
2020년02월_계_90~99세,"2,014",153,75,82,114,114,78,85,107,142,72,42,109,64,107,152,97,59,55,112,50,62,83
2020년02월_계_100세 이상,198,12,12,12,15,13,10,15,7,17,2,11,6,4,3,13,1,3,5,4,6,12,15
2020년02월_남_총인구수,"251,949","18,260","9,552","6,666","18,535","16,928","7,356","6,799","16,139","11,202","8,905","3,974","17,585","8,626","9,746","17,424","14,611","8,690","8,763","15,994","6,844","6,756","12,594"
2020년02월_남_연령구간인구수,"251,949","18,260","9,552","6,666","18,535","16,928","7,356","6,799","16,139","11,202","8,905","3,974","17,585","8,626","9,746","17,424","14,611","8,690","8,763","15,994","6,844","6,756","12,594"
2020년02월_남_0~9세,"18,306","1,291",548,381,"1,433","1,419",545,337,"1,451",728,699,171,"1,483",480,688,"1,392","1,352",485,621,"1,086",641,427,648
2020년02월_남_10~19세,"23,671","1,530",767,479,"1,318","1,255",454,532,"2,045","1,150",985,298,"1,645",782,828,"1,996","2,268",634,839,"1,807",583,570,906
2020년02월_남_20~29세,"37,542","3,010","1,433",927,"2,892","2,643","1,083","1,003","2,353","1,619","1,354",541,"2,598","1,371","1,408","2,627","1,966","1,202","1,303","2,623",969,893,"1,724"
2020년02월_남_30~39세,"36,926","3,251","1,502",937,"3,607","3,418","1,208",829,"1,916","1,305","1,145",487,"2,701","1,263","1,527","2,197","1,547","1,203","1,185","2,058","1,052",840,"1,748"
2020년02월_남_40~49세,"40,450","2,831","1,538","1,044","2,997","2,913","1,170",977,"2,749","1,624","1,374",674,"2,713","1,323","1,322","2,882","2,824","1,388","1,412","2,622","1,019","1,052","2,002"
2020년02월_남_50~59세,"45,629","2,906","1,728","1,229","3,031","2,659","1,266","1,385","2,873","1,993","1,619",883,"3,247","1,695","1,753","3,358","2,668","1,542","1,600","3,145","1,081","1,349","2,619"
2020년02월_남_60~69세,"30,657","2,063","1,172",986,"1,968","1,612",980,"1,072","1,771","1,603","1,122",599,"2,045","1,100","1,456","1,908","1,296","1,304","1,101","1,707",975,983,"1,834"
2020년02월_남_70~79세,"13,796",961,662,485,938,737,473,485,751,829,430,259,848,460,578,774,510,707,525,690,396,472,826
2020년02월_남_80~89세,"4,496",381,177,172,314,242,166,158,207,319,165,51,282,142,162,259,165,209,159,229,117,155,265
2020년02월_남_90~99세,432,35,21,20,32,28,10,18,22,29,11,7,22,10,22,30,15,16,17,25,9,13,20
2020년02월_남_100세 이상,44,1,4,6,5,2,1,3,1,3,1,4,1,0,2,1,0,0,1,2,2,2,2
2020년02월_여_총인구수,"256,638","19,662","9,552","6,689","18,851","17,201","7,465","6,653","16,567","11,810","9,637","3,407","17,552","8,407","10,184","18,097","15,486","8,494","9,203","17,063","6,472","6,425","11,761"
2020년02월_여_연령구간인구수,"256,638","19,662","9,552","6,689","18,851","17,201","7,465","6,653","16,567","11,810","9,637","3,407","17,552","8,407","10,184","18,097","15,486","8,494","9,203","17,063","6,472","6,425","11,761"
2020년02월_여_0~9세,"17,540","1,295",527,324,"1,400","1,391",457,299,"1,415",633,621,198,"1,381",492,663,"1,332","1,379",486,618,"1,068",549,351,661
2020년02월_여_10~19세,"22,033","1,548",712,418,"1,203","1,222",434,509,"1,890","1,020",957,266,"1,477",615,756,"1,874","2,171",579,825,"1,777",513,507,760
2020년02월_여_20~29세,"35,307","3,246","1,331",850,"2,984","2,628","1,085",798,"2,048","1,394","1,382",415,"2,381","1,215","1,285","2,370","1,855","1,059","1,273","2,546",786,791,"1,585"
2020년02월_여_30~39세,"34,548","3,033","1,280",814,"3,322","3,036","1,141",651,"2,146","1,274","1,117",395,"2,549","1,082","1,453","2,168","1,716","1,039","1,191","2,133",905,709,"1,394"
2020년02월_여_40~49세,"40,098","3,020","1,389",895,"2,782","2,598","1,026",905,"2,937","1,692","1,588",485,"2,657","1,210","1,316","3,107","3,328","1,131","1,441","3,005",912,970,"1,704"
2020년02월_여_50~59세,"47,259","3,246","1,739","1,286","3,188","2,873","1,333","1,331","3,028","2,256","1,850",699,"3,339","1,744","2,013","3,325","2,551","1,563","1,728","3,343","1,211","1,231","2,382"
2020년02월_여_60~69세,"32,140","2,326","1,354","1,041","2,193","1,879","1,046","1,116","1,745","1,728","1,165",496,"2,137","1,140","1,463","1,987","1,326","1,431","1,161","1,690",922,987,"1,807"
2020년02월_여_70~79세,"16,994","1,193",793,659,"1,147",988,554,618,819,"1,022",543,282,"1,011",564,693,"1,091",687,809,627,930,430,575,959
2020년02월_여_80~89세,"8,983",626,365,334,540,489,312,347,448,664,352,129,528,287,456,709,390,351,297,482,199,245,433
2020년02월_여_90~99세,"1,582",118,54,62,82,86,68,67,85,113,61,35,87,54,85,122,82,43,38,87,41,49,63
2020년02월_여_100세 이상,154,11,8,6,10,11,9,12,6,14,1,7,5,4,1,12,1,3,4,2,4,10,13
