,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년10월_계_총인구수,"100,336","6,240","1,664","2,185","1,629","1,132","3,584","2,645","3,950","5,170","2,465","1,759","2,288","5,352","14,486","6,951","16,666","15,648","6,522"
2020년10월_계_연령구간인구수,"100,336","6,240","1,664","2,185","1,629","1,132","3,584","2,645","3,950","5,170","2,465","1,759","2,288","5,352","14,486","6,951","16,666","15,648","6,522"
2020년10월_계_0~9세,"6,210",147,39,45,57,29,118,65,129,136,49,58,68,192,"1,095",503,"1,676","1,555",249
2020년10월_계_10~19세,"8,353",320,116,124,99,65,193,108,205,261,85,59,117,349,"1,471",647,"1,944","1,791",399
2020년10월_계_20~29세,"9,559",424,187,127,132,62,225,152,279,384,118,96,167,473,"1,693",740,"2,024","1,733",543
2020년10월_계_30~39세,"9,505",355,86,126,123,66,224,137,212,284,106,85,157,408,"1,573",762,"2,302","1,931",568
2020년10월_계_40~49세,"14,020",616,169,254,214,102,346,211,384,480,198,140,256,698,"2,303","1,134","3,005","2,727",783
2020년10월_계_50~59세,"17,263","1,137",280,399,322,227,633,428,687,968,378,271,452,980,"2,471","1,161","2,615","2,577","1,277"
2020년10월_계_60~69세,"16,902","1,483",378,492,364,256,796,592,885,"1,164",548,418,521,"1,056","2,031",977,"1,739","1,824","1,378"
2020년10월_계_70~79세,"11,269","1,047",260,359,174,188,590,523,668,848,537,362,362,722,"1,232",642,899,989,867
2020년10월_계_80~89세,"6,280",600,125,220,127,118,410,369,438,533,378,232,166,412,543,349,412,453,395
2020년10월_계_90~99세,912,108,24,38,16,19,48,58,58,104,66,38,17,60,65,32,45,56,60
2020년10월_계_100세 이상,63,3,0,1,1,0,1,2,5,8,2,0,5,2,9,4,5,12,3
2020년10월_남_총인구수,"50,850","3,186",881,"1,157",871,606,"1,856","1,317","1,999","2,614","1,207",905,"1,146","2,803","7,301","3,461","8,387","7,761","3,392"
2020년10월_남_연령구간인구수,"50,850","3,186",881,"1,157",871,606,"1,856","1,317","1,999","2,614","1,207",905,"1,146","2,803","7,301","3,461","8,387","7,761","3,392"
2020년10월_남_0~9세,"3,125",75,18,17,28,13,55,39,73,79,37,31,39,95,557,242,831,779,117
2020년10월_남_10~19세,"4,339",162,63,61,53,39,103,65,107,127,42,36,66,186,739,330,"1,013",947,200
2020년10월_남_20~29세,"5,621",280,143,76,88,37,137,88,165,233,75,62,94,299,990,410,"1,147",953,344
2020년10월_남_30~39세,"5,136",216,45,79,69,44,143,83,124,167,61,46,92,248,842,412,"1,151",969,345
2020년10월_남_40~49세,"7,711",365,103,171,140,68,209,131,234,271,119,106,156,425,"1,190",585,"1,568","1,375",495
2020년10월_남_50~59세,"9,178",622,160,245,184,141,358,241,368,542,204,148,254,539,"1,251",606,"1,320","1,316",679
2020년10월_남_60~69세,"8,302",750,200,245,184,135,405,298,458,601,275,222,235,515,962,461,832,847,677
2020년10월_남_70~79세,"5,007",478,109,173,82,85,294,238,300,384,232,162,152,342,549,270,378,415,364
2020년10월_남_80~89세,"2,221",210,35,81,40,40,145,118,159,188,142,85,54,143,202,136,138,145,160
2020년10월_남_90~99세,197,26,5,9,3,4,7,16,10,21,19,7,4,11,17,8,8,11,11
2020년10월_남_100세 이상,13,2,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0
2020년10월_여_총인구수,"49,486","3,054",783,"1,028",758,526,"1,728","1,328","1,951","2,556","1,258",854,"1,142","2,549","7,185","3,490","8,279","7,887","3,130"
2020년10월_여_연령구간인구수,"49,486","3,054",783,"1,028",758,526,"1,728","1,328","1,951","2,556","1,258",854,"1,142","2,549","7,185","3,490","8,279","7,887","3,130"
2020년10월_여_0~9세,"3,085",72,21,28,29,16,63,26,56,57,12,27,29,97,538,261,845,776,132
2020년10월_여_10~19세,"4,014",158,53,63,46,26,90,43,98,134,43,23,51,163,732,317,931,844,199
2020년10월_여_20~29세,"3,938",144,44,51,44,25,88,64,114,151,43,34,73,174,703,330,877,780,199
2020년10월_여_30~39세,"4,369",139,41,47,54,22,81,54,88,117,45,39,65,160,731,350,"1,151",962,223
2020년10월_여_40~49세,"6,309",251,66,83,74,34,137,80,150,209,79,34,100,273,"1,113",549,"1,437","1,352",288
2020년10월_여_50~59세,"8,085",515,120,154,138,86,275,187,319,426,174,123,198,441,"1,220",555,"1,295","1,261",598
2020년10월_여_60~69세,"8,600",733,178,247,180,121,391,294,427,563,273,196,286,541,"1,069",516,907,977,701
2020년10월_여_70~79세,"6,262",569,151,186,92,103,296,285,368,464,305,200,210,380,683,372,521,574,503
2020년10월_여_80~89세,"4,059",390,90,139,87,78,265,251,279,345,236,147,112,269,341,213,274,308,235
2020년10월_여_90~99세,715,82,19,29,13,15,41,42,48,83,47,31,13,49,48,24,37,45,49
2020년10월_여_100세 이상,50,1,0,1,1,0,1,2,4,7,1,0,5,2,7,3,4,8,3
