카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년02월_계_총인구수,"45,333","5,499","3,728","12,224","15,642","2,011","3,863","2,255",111,0,0,0,0
2020년02월_계_연령구간인구수,"45,333","5,499","3,728","12,224","15,642","2,011","3,863","2,255",111,0,0,0,0
2020년02월_계_0~9세,"3,408",416,391,820,"1,212",148,245,176,0,0,0,0,0
2020년02월_계_10~19세,"3,973",521,260,"1,048","1,527",106,360,147,4,0,0,0,0
2020년02월_계_20~29세,"6,096",721,627,"1,696","1,849",449,460,292,2,0,0,0,0
2020년02월_계_30~39세,"4,842",584,482,"1,264","1,653",226,381,249,3,0,0,0,0
2020년02월_계_40~49세,"5,905",703,386,"1,684","2,158",204,557,203,10,0,0,0,0
2020년02월_계_50~59세,"7,452",912,505,"2,118","2,597",257,668,380,15,0,0,0,0
2020년02월_계_60~69세,"6,341",730,472,"1,756","2,182",254,559,365,23,0,0,0,0
2020년02월_계_70~79세,"4,818",615,381,"1,223","1,630",231,396,299,43,0,0,0,0
2020년02월_계_80~89세,"2,113",262,190,515,700,111,196,128,11,0,0,0,0
2020년02월_계_90~99세,341,33,32,90,113,21,37,15,0,0,0,0,0
2020년02월_계_100세 이상,44,2,2,10,21,4,4,1,0,0,0,0,0
2020년02월_남_총인구수,"23,636","2,820","2,000","6,565","7,894","1,136","1,963","1,206",52,0,0,0,0
2020년02월_남_연령구간인구수,"23,636","2,820","2,000","6,565","7,894","1,136","1,963","1,206",52,0,0,0,0
2020년02월_남_0~9세,"1,745",195,222,411,609,72,134,102,0,0,0,0,0
2020년02월_남_10~19세,"2,066",292,130,570,751,63,185,72,3,0,0,0,0
2020년02월_남_20~29세,"4,002",445,429,"1,182","1,112",338,289,207,0,0,0,0,0
2020년02월_남_30~39세,"2,645",318,262,706,873,141,198,145,2,0,0,0,0
2020년02월_남_40~49세,"3,171",378,220,894,"1,126",118,309,119,7,0,0,0,0
2020년02월_남_50~59세,"3,959",496,278,"1,135","1,359",138,343,201,9,0,0,0,0
2020년02월_남_60~69세,"3,062",332,228,876,"1,051",124,259,184,8,0,0,0,0
2020년02월_남_70~79세,"2,142",267,153,567,735,101,168,133,18,0,0,0,0
2020년02월_남_80~89세,759,88,73,205,243,34,73,38,5,0,0,0,0
2020년02월_남_90~99세,73,9,5,15,30,5,4,5,0,0,0,0,0
2020년02월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년02월_여_총인구수,"21,697","2,679","1,728","5,659","7,748",875,"1,900","1,049",59,0,0,0,0
2020년02월_여_연령구간인구수,"21,697","2,679","1,728","5,659","7,748",875,"1,900","1,049",59,0,0,0,0
2020년02월_여_0~9세,"1,663",221,169,409,603,76,111,74,0,0,0,0,0
2020년02월_여_10~19세,"1,907",229,130,478,776,43,175,75,1,0,0,0,0
2020년02월_여_20~29세,"2,094",276,198,514,737,111,171,85,2,0,0,0,0
2020년02월_여_30~39세,"2,197",266,220,558,780,85,183,104,1,0,0,0,0
2020년02월_여_40~49세,"2,734",325,166,790,"1,032",86,248,84,3,0,0,0,0
2020년02월_여_50~59세,"3,493",416,227,983,"1,238",119,325,179,6,0,0,0,0
2020년02월_여_60~69세,"3,279",398,244,880,"1,131",130,300,181,15,0,0,0,0
2020년02월_여_70~79세,"2,676",348,228,656,895,130,228,166,25,0,0,0,0
2020년02월_여_80~89세,"1,354",174,117,310,457,77,123,90,6,0,0,0,0
2020년02월_여_90~99세,268,24,27,75,83,16,33,10,0,0,0,0,0
2020년02월_여_100세 이상,32,2,2,6,16,2,3,1,0,0,0,0,0
