카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년02월_계_총인구수,"405,052","11,082","6,597","15,665","4,708","32,884","28,103","11,270","16,114","7,295","27,685","43,692","18,862","31,440","77,878","24,029","2,161","1,929","4,115","2,267","2,048","35,228"
2021년02월_계_연령구간인구수,"405,052","11,082","6,597","15,665","4,708","32,884","28,103","11,270","16,114","7,295","27,685","43,692","18,862","31,440","77,878","24,029","2,161","1,929","4,115","2,267","2,048","35,228"
2021년02월_계_0~9세,"39,322",665,321,"1,451",320,"3,915","2,254",703,"1,098",660,"2,014","3,782","2,076","2,893","10,092","3,072",60,42,131,49,31,"3,693"
2021년02월_계_10~19세,"52,156","1,160",390,"1,627",425,"3,696","2,132","1,156","2,023",764,"3,479","5,612","2,872","3,934","13,605","3,208",116,80,152,122,89,"5,514"
2021년02월_계_20~29세,"58,595","1,723",968,"2,190",617,"4,000","4,255","1,904","2,477",904,"5,187","7,915","2,638","4,752","9,524","3,126",164,171,437,165,148,"5,330"
2021년02월_계_30~39세,"54,274","1,190",901,"2,175",528,"5,437","4,393","1,263","1,733",901,"3,449","5,890","2,392","3,990","10,409","3,626",122,139,456,154,124,"5,002"
2021년02월_계_40~49세,"76,452","1,878",830,"2,716",740,"6,101","4,181","1,683","2,875","1,360","4,405","8,056","3,958","5,817","18,063","4,876",184,186,502,213,226,"7,602"
2021년02월_계_50~59세,"64,214","1,854","1,107","2,477",784,"4,569","4,923","2,258","3,048","1,371","5,509","7,672","2,871","5,559","9,827","3,346",392,321,677,384,325,"4,940"
2021년02월_계_60~69세,"33,829","1,340",944,"1,518",643,"3,092","3,405","1,424","1,748",694,"2,328","2,893","1,153","2,496","3,972","1,855",462,409,794,464,373,"1,822"
2021년02월_계_70~79세,"17,207",892,779,"1,044",459,"1,385","1,620",580,772,404,826,"1,169",633,"1,354","1,715",605,353,369,582,375,378,913
2021년02월_계_80~89세,"7,755",332,310,395,155,597,808,261,297,210,413,617,231,573,570,267,260,187,315,293,308,356
2021년02월_계_90~99세,"1,181",44,41,66,32,86,129,38,41,27,74,81,35,68,99,44,48,22,65,45,44,52
2021년02월_계_100세 이상,67,4,6,6,5,6,3,0,2,0,1,5,3,4,2,4,0,3,4,3,2,4
2021년02월_남_총인구수,"204,091","5,593","3,322","7,893","2,375","16,817","14,282","5,699","8,189","3,847","13,709","22,020","9,600","15,409","38,476","12,327","1,113",992,"2,278","1,162","1,013","17,975"
2021년02월_남_연령구간인구수,"204,091","5,593","3,322","7,893","2,375","16,817","14,282","5,699","8,189","3,847","13,709","22,020","9,600","15,409","38,476","12,327","1,113",992,"2,278","1,162","1,013","17,975"
2021년02월_남_0~9세,"20,168",341,171,760,170,"2,030","1,149",355,569,340,"1,032","1,943","1,068","1,471","5,178","1,578",25,23,65,21,14,"1,865"
2021년02월_남_10~19세,"26,823",599,200,874,225,"1,882","1,096",609,"1,055",406,"1,748","2,896","1,472","2,050","6,812","1,670",66,45,77,63,47,"2,931"
2021년02월_남_20~29세,"31,153",958,519,"1,184",335,"2,210","2,242","1,038","1,324",508,"2,721","4,211","1,429","2,437","4,939","1,671",93,101,263,106,80,"2,784"
2021년02월_남_30~39세,"27,567",628,512,"1,121",285,"2,786","2,416",678,887,471,"1,761","3,062","1,154","1,987","4,831","1,805",72,90,287,100,66,"2,568"
