,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년07월_계_총인구수,"61,931","29,384","8,568","2,340","4,278","5,412","5,365","4,345","2,239"
2021년07월_계_연령구간인구수,"61,931","29,384","8,568","2,340","4,278","5,412","5,365","4,345","2,239"
2021년07월_계_0~9세,"2,945","2,094",303,64,117,119,99,106,43
2021년07월_계_10~19세,"4,334","2,848",580,120,163,196,183,157,87
2021년07월_계_20~29세,"4,819","2,902",536,89,380,261,244,291,116
2021년07월_계_30~39세,"4,814","3,090",517,109,241,286,229,239,103
2021년07월_계_40~49세,"7,543","4,403",971,242,403,471,506,362,185
2021년07월_계_50~59세,"10,610","4,934","1,514",413,709,986,945,760,349
2021년07월_계_60~69세,"12,654","4,567","1,965",568,"1,060","1,459","1,417","1,061",557
2021년07월_계_70~79세,"8,918","2,964","1,453",439,719,"1,030","1,059",799,455
2021년07월_계_80~89세,"4,606","1,391",611,271,423,521,606,481,302
2021년07월_계_90~99세,667,188,109,24,61,80,77,87,41
2021년07월_계_100세 이상,21,3,9,1,2,3,0,2,1
2021년07월_남_총인구수,"31,196","14,823","4,253","1,126","2,197","2,769","2,650","2,228","1,150"
2021년07월_남_연령구간인구수,"31,196","14,823","4,253","1,126","2,197","2,769","2,650","2,228","1,150"
2021년07월_남_0~9세,"1,472","1,055",152,23,54,56,54,55,23
2021년07월_남_10~19세,"2,250","1,466",314,51,90,105,95,83,46
2021년07월_남_20~29세,"2,814","1,659",312,53,251,162,128,183,66
2021년07월_남_30~39세,"2,652","1,659",267,59,140,183,129,151,64
2021년07월_남_40~49세,"4,251","2,341",548,147,254,304,319,211,127
2021년07월_남_50~59세,"5,626","2,522",813,231,371,536,514,430,209
2021년07월_남_60~69세,"6,115","2,202",920,272,527,707,691,519,277
2021년07월_남_70~79세,"4,239","1,403",690,194,342,496,491,399,224
2021년07월_남_80~89세,"1,626",466,214,91,150,202,216,178,109
2021년07월_남_90~99세,143,50,18,5,16,18,13,18,5
2021년07월_남_100세 이상,8,0,5,0,2,0,0,1,0
2021년07월_여_총인구수,"30,735","14,561","4,315","1,214","2,081","2,643","2,715","2,117","1,089"
2021년07월_여_연령구간인구수,"30,735","14,561","4,315","1,214","2,081","2,643","2,715","2,117","1,089"
2021년07월_여_0~9세,"1,473","1,039",151,41,63,63,45,51,20
2021년07월_여_10~19세,"2,084","1,382",266,69,73,91,88,74,41
2021년07월_여_20~29세,"2,005","1,243",224,36,129,99,116,108,50
2021년07월_여_30~39세,"2,162","1,431",250,50,101,103,100,88,39
2021년07월_여_40~49세,"3,292","2,062",423,95,149,167,187,151,58
2021년07월_여_50~59세,"4,984","2,412",701,182,338,450,431,330,140
2021년07월_여_60~69세,"6,539","2,365","1,045",296,533,752,726,542,280
2021년07월_여_70~79세,"4,679","1,561",763,245,377,534,568,400,231
2021년07월_여_80~89세,"2,980",925,397,180,273,319,390,303,193
2021년07월_여_90~99세,524,138,91,19,45,62,64,69,36
2021년07월_여_100세 이상,13,3,4,1,0,3,0,1,1
