카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년09월_계_총인구수,"52,358","20,953","1,983","2,915","2,281","3,469","2,484","4,551","2,340","2,602","2,235","2,722","2,656","1,167"
2020년09월_계_연령구간인구수,"52,358","20,953","1,983","2,915","2,281","3,469","2,484","4,551","2,340","2,602","2,235","2,722","2,656","1,167"
2020년09월_계_0~9세,"2,615","1,675",46,64,81,106,51,220,73,54,69,64,84,28
2020년09월_계_10~19세,"3,770","2,362",73,120,131,144,85,280,122,99,91,114,116,33
2020년09월_계_20~29세,"4,307","2,178",120,206,175,208,136,391,145,145,163,188,185,67
2020년09월_계_30~39세,"3,966","2,077",115,168,178,237,111,366,145,107,126,137,128,71
2020년09월_계_40~49세,"6,219","3,124",155,267,243,382,201,545,216,245,184,266,277,114
2020년09월_계_50~59세,"8,937","3,438",315,492,408,532,459,875,429,427,422,448,479,213
2020년09월_계_60~69세,"9,536","2,909",449,563,436,764,560,870,570,537,451,580,565,282
2020년09월_계_70~79세,"7,720","1,986",383,573,346,717,499,628,417,524,412,526,495,214
2020년09월_계_80~89세,"4,638","1,076",280,406,240,342,340,330,192,408,281,350,271,122
2020년09월_계_90~99세,613,122,43,54,42,35,40,44,28,54,33,47,50,21
2020년09월_계_100세 이상,37,6,4,2,1,2,2,2,3,2,3,2,6,2
2020년09월_남_총인구수,"26,009","10,269",958,"1,480","1,171","1,757","1,233","2,321","1,188","1,274","1,100","1,338","1,304",616
2020년09월_남_연령구간인구수,"26,009","10,269",958,"1,480","1,171","1,757","1,233","2,321","1,188","1,274","1,100","1,338","1,304",616
2020년09월_남_0~9세,"1,365",872,24,41,29,45,26,122,42,27,39,36,48,14
2020년09월_남_10~19세,"1,998","1,243",44,65,71,73,49,145,71,50,47,59,66,15
2020년09월_남_20~29세,"2,402","1,180",68,121,94,115,78,218,91,82,85,108,122,40
2020년09월_남_30~39세,"2,152","1,024",69,99,109,152,67,203,79,72,84,78,68,48
2020년09월_남_40~49세,"3,491","1,554",99,186,155,247,135,337,126,154,107,152,165,74
2020년09월_남_50~59세,"4,851","1,699",177,282,242,313,253,476,231,255,248,276,260,139
2020년09월_남_60~69세,"4,782","1,449",223,300,240,361,288,433,279,265,242,290,265,147
2020년09월_남_70~79세,"3,334",861,152,243,151,315,214,287,201,218,169,205,224,94
2020년09월_남_80~89세,"1,503",362,95,131,71,125,114,93,62,135,75,122,79,39
2020년09월_남_90~99세,128,24,7,12,9,11,9,7,6,16,3,12,6,6
2020년09월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020년09월_여_총인구수,"26,349","10,684","1,025","1,435","1,110","1,712","1,251","2,230","1,152","1,328","1,135","1,384","1,352",551
2020년09월_여_연령구간인구수,"26,349","10,684","1,025","1,435","1,110","1,712","1,251","2,230","1,152","1,328","1,135","1,384","1,352",551
2020년09월_여_0~9세,"1,250",803,22,23,52,61,25,98,31,27,30,28,36,14
2020년09월_여_10~19세,"1,772","1,119",29,55,60,71,36,135,51,49,44,55,50,18
2020년09월_여_20~29세,"1,905",998,52,85,81,93,58,173,54,63,78,80,63,27
2020년09월_여_30~39세,"1,814","1,053",46,69,69,85,44,163,66,35,42,59,60,23
2020년09월_여_40~49세,"2,728","1,570",56,81,88,135,66,208,90,91,77,114,112,40
2020년09월_여_50~59세,"4,086","1,739",138,210,166,219,206,399,198,172,174,172,219,74
2020년09월_여_60~69세,"4,754","1,460",226,263,196,403,272,437,291,272,209,290,300,135
2020년09월_여_70~79세,"4,386","1,125",231,330,195,402,285,341,216,306,243,321,271,120
2020년09월_여_80~89세,"3,135",714,185,275,169,217,226,237,130,273,206,228,192,83
2020년09월_여_90~99세,485,98,36,42,33,24,31,37,22,38,30,35,44,15
2020년09월_여_100세 이상,34,5,4,2,1,2,2,2,3,2,2,2,5,2
