카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년11월_계_총인구수,"44,911","10,041","3,092","3,528","1,953","1,890","2,292","3,493","6,066","1,769","1,759","1,543","4,348","3,137"
2020년11월_계_연령구간인구수,"44,911","10,041","3,092","3,528","1,953","1,890","2,292","3,493","6,066","1,769","1,759","1,543","4,348","3,137"
2020년11월_계_0~9세,"1,862",576,90,101,51,53,75,96,368,22,65,73,162,130
2020년11월_계_10~19세,"2,896",904,215,188,91,69,122,138,462,72,86,155,232,162
2020년11월_계_20~29세,"3,494","1,026",225,210,134,119,158,285,482,95,94,83,275,308
2020년11월_계_30~39세,"2,787",840,126,154,94,99,118,183,445,74,105,80,232,237
2020년11월_계_40~49세,"5,013","1,378",372,341,185,160,223,342,789,139,156,142,397,389
2020년11월_계_50~59세,"8,471","1,835",709,728,345,360,404,667,"1,084",307,292,260,849,631
2020년11월_계_60~69세,"8,875","1,646",603,756,432,420,494,751,"1,092",386,383,386,968,558
2020년11월_계_70~79세,"6,379","1,137",458,586,308,297,355,577,742,345,298,220,636,420
2020년11월_계_80~89세,"4,390",608,251,392,278,267,285,388,510,278,241,120,505,267
2020년11월_계_90~99세,721,89,41,69,35,45,57,64,89,48,37,23,89,35
2020년11월_계_100세 이상,23,2,2,3,0,1,1,2,3,3,2,1,3,0
2020년11월_남_총인구수,"22,422","4,958","1,565","1,743",947,920,"1,139","1,783","3,010",863,858,815,"2,175","1,646"
2020년11월_남_연령구간인구수,"22,422","4,958","1,565","1,743",947,920,"1,139","1,783","3,010",863,858,815,"2,175","1,646"
2020년11월_남_0~9세,971,297,44,62,31,24,45,51,171,12,28,46,85,75
2020년11월_남_10~19세,"1,542",455,116,106,57,38,56,70,247,28,50,104,125,90
2020년11월_남_20~29세,"2,097",584,125,135,75,71,106,190,295,62,52,45,159,198
2020년11월_남_30~39세,"1,549",441,71,80,50,56,72,125,231,45,60,44,127,147
2020년11월_남_40~49세,"2,804",722,195,191,104,99,128,199,440,80,91,83,237,235
2020년11월_남_50~59세,"4,619",956,403,390,184,186,231,386,579,173,170,140,465,356
2020년11월_남_60~69세,"4,606",824,320,398,228,217,257,369,554,204,209,206,526,294
2020년11월_남_70~79세,"2,759",479,192,244,127,140,149,253,326,162,123,112,281,171
2020년11월_남_80~89세,"1,320",182,90,130,77,75,86,128,151,84,64,31,152,70
2020년11월_남_90~99세,151,18,8,7,14,13,9,12,16,12,10,4,18,10
2020년11월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년11월_여_총인구수,"22,489","5,083","1,527","1,785","1,006",970,"1,153","1,710","3,056",906,901,728,"2,173","1,491"
2020년11월_여_연령구간인구수,"22,489","5,083","1,527","1,785","1,006",970,"1,153","1,710","3,056",906,901,728,"2,173","1,491"
2020년11월_여_0~9세,891,279,46,39,20,29,30,45,197,10,37,27,77,55
2020년11월_여_10~19세,"1,354",449,99,82,34,31,66,68,215,44,36,51,107,72
2020년11월_여_20~29세,"1,397",442,100,75,59,48,52,95,187,33,42,38,116,110
2020년11월_여_30~39세,"1,238",399,55,74,44,43,46,58,214,29,45,36,105,90
2020년11월_여_40~49세,"2,209",656,177,150,81,61,95,143,349,59,65,59,160,154
2020년11월_여_50~59세,"3,852",879,306,338,161,174,173,281,505,134,122,120,384,275
2020년11월_여_60~69세,"4,269",822,283,358,204,203,237,382,538,182,174,180,442,264
2020년11월_여_70~79세,"3,620",658,266,342,181,157,206,324,416,183,175,108,355,249
2020년11월_여_80~89세,"3,070",426,161,262,201,192,199,260,359,194,177,89,353,197
2020년11월_여_90~99세,570,71,33,62,21,32,48,52,73,36,27,19,71,25
2020년11월_여_100세 이상,19,2,1,3,0,0,1,2,3,2,1,1,3,0
