카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년01월_계_총인구수,"1,599,391","840,047","179,626","202,513","262,504","195,404","210,806","134,359","32,899","50,987","48,523","37,424","81,225","38,451","95,006","29,664"
2020년01월_계_연령구간인구수,"1,599,391","840,047","179,626","202,513","262,504","195,404","210,806","134,359","32,899","50,987","48,523","37,424","81,225","38,451","95,006","29,664"
2020년01월_계_0~9세,"128,793","76,825","15,006","15,649","24,665","21,505","15,260","9,297","1,554","2,758","2,555","3,589","7,738","1,383","6,555","1,279"
2020년01월_계_10~19세,"153,715","88,122","19,444","21,878","27,101","19,699","19,582","12,249","2,225","4,071","3,667","3,462","7,922","2,243","8,065","2,107"
2020년01월_계_20~29세,"199,901","119,064","23,137","29,395","40,532","26,000","24,514","15,241","2,518","4,596","4,726","4,586","8,957","3,330","9,931","2,438"
2020년01월_계_30~39세,"199,322","119,996","21,011","24,766","40,888","33,331","24,070","13,623","2,370","4,122","3,593","4,981","11,329","2,660","10,404","2,174"
2020년01월_계_40~49세,"243,851","137,031","29,047","32,754","43,219","32,011","31,615","18,955","3,500","6,451","5,658","5,767","13,072","4,010","14,284","3,508"
2020년01월_계_50~59세,"274,025","136,643","31,449","35,270","42,372","27,552","37,995","24,422","6,059","9,188","8,722","6,087","13,458","7,591","17,996","5,864"
2020년01월_계_60~69세,"208,445","90,151","21,666","23,861","25,492","19,132","29,611","21,459","6,506","9,346","8,725","4,678","9,506","8,143","14,293","6,027"
2020년01월_계_70~79세,"119,138","46,255","11,921","12,232","11,817","10,285","17,472","12,320","4,613","6,189","6,469","2,681","5,454","5,486","8,256","3,943"
2020년01월_계_80~89세,"63,105","22,629","6,007","5,836","5,643","5,143","9,450","5,959","3,061","3,701","3,824","1,424","3,338","3,163","4,505","2,051"
2020년01월_계_90~99세,"8,557","3,144",883,824,735,702,"1,170",764,470,538,553,158,434,415,662,249
2020년01월_계_100세 이상,539,187,55,48,40,44,67,70,23,27,31,11,17,27,55,24
2020년01월_남_총인구수,"810,129","423,099","89,423","100,492","133,146","100,038","106,633","67,326","16,535","25,693","24,060","19,376","42,476","19,640","50,268","15,023"
