카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년01월_계_총인구수,"314,238","6,725","73,466","4,281","20,906","19,851","21,126","5,640","6,661","3,261","4,553","20,419","9,648","7,136","37,190","18,121","26,035","29,219"
2020년01월_계_연령구간인구수,"314,238","6,725","73,466","4,281","20,906","19,851","21,126","5,640","6,661","3,261","4,553","20,419","9,648","7,136","37,190","18,121","26,035","29,219"
2020년01월_계_0~9세,"34,800",413,"9,748",230,"3,183","2,826","2,442",155,329,65,120,"1,844",967,285,"4,425","1,594","2,729","3,445"
2020년01월_계_10~19세,"34,332",522,"9,093",356,"2,810","1,632","1,377",294,428,130,205,"2,122",724,585,"4,889","2,461","3,048","3,656"
2020년01월_계_20~29세,"36,177",588,"9,095",315,"2,532","1,998","2,491",462,568,223,382,"2,379","1,123","1,009","4,479","2,039","3,560","2,934"
2020년01월_계_30~39세,"50,629",695,"14,049",280,"4,154","3,887","4,598",405,696,180,335,"2,652","1,869",597,"5,652","2,088","4,028","4,464"
2020년01월_계_40~49세,"55,122",947,"13,819",607,"4,270","3,317","3,286",608,977,299,439,"3,541","1,487",997,"6,833","3,441","4,685","5,569"
2020년01월_계_50~59세,"45,351","1,193","9,151",798,"2,140","2,678","3,045","1,088","1,333",568,887,"3,260","1,346","1,506","5,253","3,007","3,850","4,248"
2020년01월_계_60~69세,"29,625","1,102","4,785",758,935,"1,943","2,087","1,172","1,066",756,920,"2,290","1,100","1,114","3,020","1,819","2,210","2,548"
2020년01월_계_70~79세,"17,535",730,"2,423",552,544,957,"1,103",818,695,573,739,"1,490",661,681,"1,736","1,055","1,296","1,482"
2020년01월_계_80~89세,"9,359",468,"1,150",337,293,531,602,555,506,411,473,745,307,307,805,535,549,785
2020년01월_계_90~99세,"1,198",63,142,44,44,80,92,79,59,47,50,88,52,45,91,74,69,79
2020년01월_계_100세 이상,110,4,11,4,1,2,3,4,4,9,3,8,12,10,7,8,11,9
