,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년07월_계_총인구수,"1,074,968","257,732","33,216","25,860","20,179","23,368","8,228","9,032","20,078","24,457","44,307","35,840","13,167","441,190","39,065","30,757","17,464","42,334","13,540","33,603","21,206","25,680","39,518","32,488","33,000","27,430","23,356","25,080","36,669","376,046","36,929","42,073","38,341","57,128","18,605","49,159","49,046","34,277","50,488"
2020년07월_계_연령구간인구수,"1,074,968","257,732","33,216","25,860","20,179","23,368","8,228","9,032","20,078","24,457","44,307","35,840","13,167","441,190","39,065","30,757","17,464","42,334","13,540","33,603","21,206","25,680","39,518","32,488","33,000","27,430","23,356","25,080","36,669","376,046","36,929","42,073","38,341","57,128","18,605","49,159","49,046","34,277","50,488"
2020년07월_계_0~9세,"103,560","21,654","2,390","1,955","1,626","3,211",342,236,"1,309","1,615","4,986","3,260",724,"44,251","3,501","3,652","1,917","4,457","1,023","3,169","1,913","3,304","3,470","2,801","3,670","2,754","3,016","2,097","3,507","37,655","2,864","4,883","3,693","5,325","1,569","5,814","4,927","3,504","5,076"
2020년07월_계_10~19세,"123,882","26,940","3,878","2,356","1,816","1,790",568,"1,047","3,175","2,204","4,483","4,437","1,186","51,319","3,713","3,579","1,286","3,488","1,327","4,380","2,156","2,450","4,901","3,122","5,730","4,761","2,995","2,866","4,565","45,623","3,769","5,864","5,310","7,212","1,615","5,309","6,270","4,268","6,006"
2020년07월_계_20~29세,"136,408","34,166","4,680","3,241","2,122","2,001",756,886,"2,438","4,355","6,976","4,813","1,898","55,941","5,197","3,750","2,476","6,653","1,960","3,978","2,481","4,769","4,263","4,098","3,462","3,090","2,216","3,415","4,133","46,301","5,454","4,938","4,088","7,806","2,818","5,535","6,349","3,891","5,422"
2020년07월_계_30~39세,"148,107","34,193","3,997","3,094","2,360","4,276",742,742,"2,293","3,174","7,475","4,617","1,423","61,242","6,321","4,901","3,259","8,111","1,908","4,045","2,798","4,671","4,420","4,203","3,531","2,580","3,193","2,940","4,361","52,672","6,255","6,411","4,167","7,163","3,337","8,063","6,978","4,447","5,851"
2020년07월_계_40~49세,"200,884","43,501","6,045","4,410","3,364","3,977","1,085","1,036","3,085","3,885","7,708","6,858","2,048","84,395","6,732","6,037","2,745","7,100","2,452","6,595","3,816","4,370","7,846","5,468","7,995","6,369","4,949","4,573","7,348","72,988","6,232","9,137","8,115","11,087","3,074","9,511","9,438","6,624","9,770"
2020년07월_계_50~59세,"162,562","42,873","5,770","4,595","3,697","3,129","1,622","1,640","3,385","4,165","6,283","5,991","2,596","65,418","6,213","4,692","2,704","6,436","2,269","5,028","3,432","3,194","5,708","5,036","4,434","4,146","2,623","4,295","5,208","54,271","5,403","5,698","5,642","8,568","2,862","6,856","7,011","4,984","7,247"
2020년07월_계_60~69세,"103,259","30,047","3,522","3,459","2,818","2,779","1,618","1,736","2,492","2,848","3,664","3,196","1,915","40,216","3,865","2,485","1,630","3,451","1,248","3,275","2,550","1,758","4,268","3,673","2,031","1,906","1,969","2,632","3,475","32,996","3,543","2,390","3,402","4,951","1,742","4,526","4,030","3,030","5,382"
2020년07월_계_70~79세,"65,301","15,911","1,889","1,855","1,501","1,515",933,974,"1,182","1,451","1,859","1,805",947,"26,146","2,374","1,139",743,"1,882",917,"2,184","1,423",801,"3,183","2,790","1,461","1,229","1,658","1,525","2,837","23,244","2,317","1,744","2,762","3,339","1,051","2,544","2,812","2,495","4,180"
2020년07월_계_80~89세,"26,807","7,256",934,778,739,584,481,635,593,649,741,766,356,"10,620","1,006",449,556,648,395,827,551,320,"1,259","1,136",597,512,655,640,"1,069","8,931",958,896,"1,032","1,468",451,847,"1,052",889,"1,338"
2020년07월_계_90~99세,"4,005","1,121",110,110,128,101,77,95,116,99,123,94,68,"1,575",135,71,146,101,39,114,83,41,194,155,87,78,81,92,158,"1,309",121,107,128,204,85,150,169,139,206
2020년07월_계_100세 이상,193,70,1,7,8,5,4,5,10,12,9,3,6,67,8,2,2,7,2,8,3,2,6,6,2,5,1,5,8,56,13,5,2,5,1,4,10,6,10
2020년07월_남_총인구수,"533,772","132,481","17,216","13,585","10,312","11,796","4,307","4,859","10,909","12,371","22,249","18,083","6,794","217,948","19,525","15,297","8,672","21,111","6,993","16,672","10,502","13,142","19,107","15,887","15,918","13,474","11,358","12,268","18,022","183,343","18,364","20,636","18,657","27,581","9,172","24,262","23,727","16,673","24,271"
2020년07월_남_연령구간인구수,"533,772","132,481","17,216","13,585","10,312","11,796","4,307","4,859","10,909","12,371","22,249","18,083","6,794","217,948","19,525","15,297","8,672","21,111","6,993","16,672","10,502","13,142","19,107","15,887","15,918","13,474","11,358","12,268","18,022","183,343","18,364","20,636","18,657","27,581","9,172","24,262","23,727","16,673","24,271"
2020년07월_남_0~9세,"52,879","11,058","1,220","1,031",811,"1,634",174,133,678,807,"2,574","1,626",370,"22,682","1,758","1,862",964,"2,301",555,"1,663",955,"1,660","1,769","1,455","1,823","1,430","1,557","1,096","1,834","19,139","1,466","2,461","1,851","2,683",809,"3,001","2,459","1,821","2,588"
2020년07월_남_10~19세,"63,896","14,344","2,082","1,223",946,875,297,567,"1,982","1,135","2,303","2,285",649,"26,432","1,929","1,843",663,"1,769",666,"2,264","1,137","1,242","2,548","1,611","2,917","2,457","1,533","1,494","2,359","23,120","1,935","2,993","2,722","3,600",838,"2,723","3,167","2,197","2,945"
2020년07월_남_20~29세,"70,711","18,598","2,648","1,807","1,225","1,043",424,530,"1,409","2,286","3,610","2,577","1,039","28,903","2,609","1,984","1,300","3,239","1,038","2,021","1,328","2,770","2,199","2,087","1,744","1,591","1,086","1,767","2,140","23,210","2,799","2,439","2,119","3,914","1,414","2,785","3,068","1,935","2,737"
