카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년11월_계_총인구수,"37,819","15,483","5,010","3,410","2,334","2,844","1,267","2,104","1,086","1,461","2,820"
2020년11월_계_연령구간인구수,"37,819","15,483","5,010","3,410","2,334","2,844","1,267","2,104","1,086","1,461","2,820"
2020년11월_계_0~9세,"2,016","1,330",159,137,78,75,36,36,17,45,103
2020년11월_계_10~19세,"2,833","1,623",305,213,112,130,54,106,36,76,178
2020년11월_계_20~29세,"3,089","1,608",334,223,135,208,63,139,64,98,217
2020년11월_계_30~39세,"2,811","1,581",308,196,137,165,71,93,42,64,154
2020년11월_계_40~49세,"4,155","2,144",414,341,206,269,103,158,96,143,281
2020년11월_계_50~59세,"6,309","2,481",853,569,344,498,205,388,258,248,465
2020년11월_계_60~69세,"6,600","2,179","1,004",673,497,568,272,377,247,233,550
2020년11월_계_70~79세,"5,469","1,477",903,571,424,479,212,408,181,265,549
2020년11월_계_80~89세,"3,894",887,636,424,333,374,223,362,124,236,295
2020년11월_계_90~99세,617,162,92,58,64,77,26,37,20,53,28
2020년11월_계_100세 이상,26,11,2,5,4,1,2,0,1,0,0
2020년11월_남_총인구수,"18,367","7,547","2,423","1,642","1,127","1,394",597,"1,003",545,715,"1,374"
2020년11월_남_연령구간인구수,"18,367","7,547","2,423","1,642","1,127","1,394",597,"1,003",545,715,"1,374"
2020년11월_남_0~9세,"1,032",672,89,56,43,47,17,17,6,27,58
2020년11월_남_10~19세,"1,486",837,176,111,60,74,23,50,22,37,96
2020년11월_남_20~29세,"1,728",881,187,121,86,117,29,85,36,56,130
2020년11월_남_30~39세,"1,485",785,165,108,84,101,37,51,31,35,88
2020년11월_남_40~49세,"2,298","1,072",240,217,128,158,70,108,57,82,166
2020년11월_남_50~59세,"3,417","1,309",457,313,187,274,114,221,148,154,240
2020년11월_남_60~69세,"3,302","1,049",513,334,268,300,139,200,127,122,250
2020년11월_남_70~79세,"2,305",633,365,238,171,216,97,160,73,109,243
2020년11월_남_80~89세,"1,188",278,212,128,90,91,65,104,39,83,98
2020년11월_남_90~99세,122,30,19,14,10,16,5,7,6,10,5
2020년11월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년11월_여_총인구수,"19,452","7,936","2,587","1,768","1,207","1,450",670,"1,101",541,746,"1,446"
2020년11월_여_연령구간인구수,"19,452","7,936","2,587","1,768","1,207","1,450",670,"1,101",541,746,"1,446"
2020년11월_여_0~9세,984,658,70,81,35,28,19,19,11,18,45
2020년11월_여_10~19세,"1,347",786,129,102,52,56,31,56,14,39,82
2020년11월_여_20~29세,"1,361",727,147,102,49,91,34,54,28,42,87
2020년11월_여_30~39세,"1,326",796,143,88,53,64,34,42,11,29,66
2020년11월_여_40~49세,"1,857","1,072",174,124,78,111,33,50,39,61,115
2020년11월_여_50~59세,"2,892","1,172",396,256,157,224,91,167,110,94,225
2020년11월_여_60~69세,"3,298","1,130",491,339,229,268,133,177,120,111,300
2020년11월_여_70~79세,"3,164",844,538,333,253,263,115,248,108,156,306
2020년11월_여_80~89세,"2,706",609,424,296,243,283,158,258,85,153,197
2020년11월_여_90~99세,495,132,73,44,54,61,21,30,14,43,23
2020년11월_여_100세 이상,22,10,2,3,4,1,1,0,1,0,0
