,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년12월_계_총인구수,"21,748","13,802","3,359","2,039","1,290","1,258"
2021년12월_계_연령구간인구수,"21,748","13,802","3,359","2,039","1,290","1,258"
2021년12월_계_0~9세,"1,649","1,390",96,98,41,24
2021년12월_계_10~19세,"1,929","1,516",187,89,58,79
2021년12월_계_20~29세,"2,856","1,654",443,389,266,104
2021년12월_계_30~39세,"2,471","1,889",244,168,90,80
2021년12월_계_40~49세,"2,428","1,812",270,140,81,125
2021년12월_계_50~59세,"3,407","2,002",603,342,195,265
2021년12월_계_60~69세,"3,649","1,925",760,377,291,296
2021년12월_계_70~79세,"1,954",944,430,258,146,176
2021년12월_계_80~89세,"1,218",590,279,148,104,97
2021년12월_계_90~99세,180,75,45,30,18,12
2021년12월_계_100세 이상,7,5,2,0,0,0
2021년12월_남_총인구수,"11,464","7,012","1,894","1,132",746,680
2021년12월_남_연령구간인구수,"11,464","7,012","1,894","1,132",746,680
2021년12월_남_0~9세,823,684,52,52,20,15
2021년12월_남_10~19세,969,746,104,45,31,43
2021년12월_남_20~29세,"1,897",978,360,275,220,64
2021년12월_남_30~39세,"1,373","1,004",153,110,59,47
2021년12월_남_40~49세,"1,310",940,167,80,47,76
2021년12월_남_50~59세,"1,818","1,042",343,184,104,145
2021년12월_남_60~69세,"1,948",994,413,211,161,169
2021년12월_남_70~79세,854,408,190,111,62,83
2021년12월_남_80~89세,427,194,103,57,37,36
2021년12월_남_90~99세,42,19,9,7,5,2
2021년12월_남_100세 이상,3,3,0,0,0,0
2021년12월_여_총인구수,"10,284","6,790","1,465",907,544,578
2021년12월_여_연령구간인구수,"10,284","6,790","1,465",907,544,578
2021년12월_여_0~9세,826,706,44,46,21,9
2021년12월_여_10~19세,960,770,83,44,27,36
2021년12월_여_20~29세,959,676,83,114,46,40
2021년12월_여_30~39세,"1,098",885,91,58,31,33
2021년12월_여_40~49세,"1,118",872,103,60,34,49
2021년12월_여_50~59세,"1,589",960,260,158,91,120
2021년12월_여_60~69세,"1,701",931,347,166,130,127
2021년12월_여_70~79세,"1,100",536,240,147,84,93
2021년12월_여_80~89세,791,396,176,91,67,61
2021년12월_여_90~99세,138,56,36,23,13,10
2021년12월_여_100세 이상,4,2,2,0,0,0
