카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년11월_계_총인구수,"245,956","7,929","3,139","1,604","7,302","2,991","12,168","1,127","8,294","3,643","1,097","3,183","1,402","6,314","9,510","27,400","7,311","26,609","20,592","35,837","34,763","23,741"
2020년11월_계_연령구간인구수,"245,956","7,929","3,139","1,604","7,302","2,991","12,168","1,127","8,294","3,643","1,097","3,183","1,402","6,314","9,510","27,400","7,311","26,609","20,592","35,837","34,763","23,741"
2020년11월_계_0~9세,"26,935",560,84,27,413,67,"1,479",43,516,192,27,83,60,417,552,"4,587",607,"2,586","1,602","3,593","5,907","3,533"
2020년11월_계_10~19세,"27,943",639,120,61,591,163,"1,116",57,674,272,25,114,66,652,974,"3,390",639,"3,079","2,281","4,327","4,972","3,731"
2020년11월_계_20~29세,"24,439",677,239,88,569,226,944,68,802,296,52,215,72,682,"1,025","2,416",847,"2,932","2,809","4,163","3,061","2,256"
2020년11월_계_30~39세,"36,877",828,226,86,630,153,"1,844",79,890,319,67,184,102,683,941,"6,032","1,088","3,723","3,354","5,148","6,784","3,716"
2020년11월_계_40~49세,"47,624","1,235",360,157,997,323,"2,203",112,"1,400",461,108,387,173,"1,223","1,643","6,016","1,333","5,002","4,453","7,051","7,552","5,435"
2020년11월_계_50~59세,"39,199","1,621",636,340,"1,305",597,"1,904",242,"1,706",686,214,600,257,"1,258","1,963","2,919","1,363","4,823","3,732","6,034","3,973","3,026"
2020년11월_계_60~69세,"26,358","1,366",707,392,"1,376",710,"1,458",286,"1,292",712,269,702,317,854,"1,577","1,432","1,012","3,232","1,739","3,866","1,694","1,365"
2020년11월_계_70~79세,"10,815",626,486,279,814,465,811,165,611,422,201,526,218,361,591,411,303,870,444,"1,174",588,449
2020년11월_계_80~89세,"4,926",328,251,153,496,247,357,64,348,238,111,326,117,158,211,169,104,311,146,408,187,196
2020년11월_계_90~99세,792,45,29,21,100,38,49,11,53,44,23,45,19,18,29,28,15,49,30,71,43,32
2020년11월_계_100세 이상,48,4,1,0,11,2,3,0,2,1,0,1,1,8,4,0,0,2,2,2,2,2
2020년11월_남_총인구수,"129,085","4,026","1,621",807,"3,601","1,541","6,325",571,"4,551","1,890",550,"1,608",700,"3,496","5,155","14,724","3,965","13,858","11,772","18,478","17,693","12,153"
2020년11월_남_연령구간인구수,"129,085","4,026","1,621",807,"3,601","1,541","6,325",571,"4,551","1,890",550,"1,608",700,"3,496","5,155","14,724","3,965","13,858","11,772","18,478","17,693","12,153"
2020년11월_남_0~9세,"13,925",279,51,12,221,37,750,23,280,98,15,47,33,225,293,"2,367",322,"1,323",835,"1,888","2,980","1,846"
2020년11월_남_10~19세,"14,676",331,66,34,297,91,573,33,359,149,14,69,32,341,544,"1,760",346,"1,671","1,192","2,251","2,562","1,961"
2020년11월_남_20~29세,"13,776",384,134,52,311,146,534,38,473,154,27,123,43,401,573,"1,383",530,"1,582","1,704","2,303","1,619","1,262"
2020년11월_남_30~39세,"19,492",426,138,54,333,88,925,50,513,181,38,104,53,410,536,"3,213",612,"1,979","2,122","2,694","3,292","1,731"
2020년11월_남_40~49세,"25,968",664,210,92,549,189,"1,242",63,829,285,69,248,107,741,932,"3,397",759,"2,650","2,680","3,640","3,929","2,693"
2020년11월_남_50~59세,"20,880",842,345,200,660,304,"1,042",123,975,367,121,327,139,717,"1,067","1,615",699,"2,411","2,079","3,079","2,105","1,663"
2020년11월_남_60~69세,"13,652",709,347,205,702,379,749,158,699,362,143,355,165,454,845,760,515,"1,718",896,"1,913",867,711
2020년11월_남_70~79세,"5,097",287,235,109,368,222,395,65,301,209,90,233,91,159,288,187,155,424,225,569,270,215
2020년11월_남_80~89세,"1,485",95,91,46,147,77,103,14,111,81,31,97,35,43,70,38,26,96,34,122,63,65
2020년11월_남_90~99세,125,7,3,3,11,8,12,4,11,4,2,5,2,5,5,4,1,4,5,18,5,6
2020년11월_남_100세 이상,9,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
2020년11월_여_총인구수,"116,871","3,903","1,518",797,"3,701","1,450","5,843",556,"3,743","1,753",547,"1,575",702,"2,818","4,355","12,676","3,346","12,751","8,820","17,359","17,070","11,588"
2020년11월_여_연령구간인구수,"116,871","3,903","1,518",797,"3,701","1,450","5,843",556,"3,743","1,753",547,"1,575",702,"2,818","4,355","12,676","3,346","12,751","8,820","17,359","17,070","11,588"
2020년11월_여_0~9세,"13,010",281,33,15,192,30,729,20,236,94,12,36,27,192,259,"2,220",285,"1,263",767,"1,705","2,927","1,687"
2020년11월_여_10~19세,"13,267",308,54,27,294,72,543,24,315,123,11,45,34,311,430,"1,630",293,"1,408","1,089","2,076","2,410","1,770"
2020년11월_여_20~29세,"10,663",293,105,36,258,80,410,30,329,142,25,92,29,281,452,"1,033",317,"1,350","1,105","1,860","1,442",994
2020년11월_여_30~39세,"17,385",402,88,32,297,65,919,29,377,138,29,80,49,273,405,"2,819",476,"1,744","1,232","2,454","3,492","1,985"
2020년11월_여_40~49세,"21,656",571,150,65,448,134,961,49,571,176,39,139,66,482,711,"2,619",574,"2,352","1,773","3,411","3,623","2,742"
2020년11월_여_50~59세,"18,319",779,291,140,645,293,862,119,731,319,93,273,118,541,896,"1,304",664,"2,412","1,653","2,955","1,868","1,363"
2020년11월_여_60~69세,"12,706",657,360,187,674,331,709,128,593,350,126,347,152,400,732,672,497,"1,514",843,"1,953",827,654
2020년11월_여_70~79세,"5,718",339,251,170,446,243,416,100,310,213,111,293,127,202,303,224,148,446,219,605,318,234
2020년11월_여_80~89세,"3,441",233,160,107,349,170,254,50,237,157,80,229,82,115,141,131,78,215,112,286,124,131
2020년11월_여_90~99세,667,38,26,18,89,30,37,7,42,40,21,40,17,13,24,24,14,45,25,53,38,26
2020년11월_여_100세 이상,39,2,0,0,9,2,3,0,2,1,0,1,1,8,2,0,0,2,2,1,1,2
