,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년03월_계_총인구수,"478,019","37,974","40,310","28,988","24,080","29,621","33,432","27,430","25,251","25,605","25,573","47,680","28,154","21,538","15,858","8,740","57,785"
2020년03월_계_연령구간인구수,"478,019","37,974","40,310","28,988","24,080","29,621","33,432","27,430","25,251","25,605","25,573","47,680","28,154","21,538","15,858","8,740","57,785"
2020년03월_계_0~9세,"30,889","2,670","2,568","1,283","1,119","1,761","2,036","1,300","1,622","2,924","1,086","3,060","1,752","1,266",825,459,"5,158"
2020년03월_계_10~19세,"39,917","2,510","2,849","1,965","1,798","2,578","2,941","1,812","2,417","2,160","1,735","3,749","2,238","1,819","1,295",570,"7,481"
2020년03월_계_20~29세,"66,182","5,109","5,451","4,337","3,831","4,466","4,520","4,628","3,398","2,642","3,628","6,647","4,010","2,998","2,121","1,194","7,202"
2020년03월_계_30~39세,"68,647","6,221","5,621","4,043","3,297","4,166","4,286","4,298","3,710","4,718","3,411","7,066","4,235","2,959","2,108","1,173","7,335"
2020년03월_계_40~49세,"77,681","5,901","6,322","4,184","3,603","4,843","5,318","4,259","4,431","4,796","3,790","7,872","4,402","3,385","2,372","1,174","11,029"
2020년03월_계_50~59세,"76,951","6,039","6,818","5,047","4,107","4,910","5,733","4,210","3,832","3,355","4,337","7,766","4,589","3,606","2,705","1,599","8,298"
2020년03월_계_60~69세,"61,966","4,953","5,439","4,245","3,401","3,638","4,576","3,485","2,990","2,652","3,736","6,113","3,754","3,091","2,395","1,407","6,091"
2020년03월_계_70~79세,"38,381","3,149","3,517","2,723","2,120","2,257","2,754","2,371","1,965","1,619","2,616","3,807","2,241","1,649","1,447",777,"3,369"
2020년03월_계_80~89세,"14,960","1,219","1,504","1,021",683,874,"1,087",934,758,636,"1,083","1,403",826,664,509,335,"1,424"
2020년03월_계_90~99세,"2,035",181,188,127,106,110,162,111,119,84,132,172,96,89,72,47,239
2020년03월_계_100세 이상,410,22,33,13,15,18,19,22,9,19,19,25,11,12,9,5,159
2020년03월_남_총인구수,"230,147","18,179","19,109","14,113","11,749","14,103","16,648","12,867","12,046","12,476","12,539","22,611","13,637","10,773","7,797","4,368","27,132"
2020년03월_남_연령구간인구수,"230,147","18,179","19,109","14,113","11,749","14,103","16,648","12,867","12,046","12,476","12,539","22,611","13,637","10,773","7,797","4,368","27,132"
2020년03월_남_0~9세,"15,809","1,336","1,310",632,594,911,"1,035",667,849,"1,508",564,"1,548",864,665,410,238,"2,678"
2020년03월_남_10~19세,"20,390","1,271","1,485","1,023",917,"1,283","1,386",852,"1,285","1,135",905,"1,867","1,156","1,013",693,314,"3,805"
2020년03월_남_20~29세,"32,109","2,422","2,682","2,184","1,955","2,132","2,257","2,095","1,551","1,338","1,871","3,214","2,058","1,553","1,067",625,"3,105"
2020년03월_남_30~39세,"34,177","3,155","2,745","2,145","1,703","2,098","2,188","2,147","1,846","2,241","1,790","3,446","2,158","1,567","1,086",630,"3,232"
2020년03월_남_40~49세,"38,394","2,959","3,080","2,151","1,810","2,326","2,652","2,096","2,172","2,457","1,937","3,895","2,178","1,700","1,183",606,"5,192"
2020년03월_남_50~59세,"37,073","2,882","3,181","2,341","1,923","2,301","2,905","2,033","1,863","1,639","2,182","3,641","2,153","1,744","1,327",803,"4,155"
2020년03월_남_60~69세,"28,603","2,238","2,458","1,967","1,575","1,660","2,322","1,537","1,309","1,213","1,730","2,736","1,727","1,486","1,145",684,"2,816"
2020년03월_남_70~79세,"17,001","1,379","1,506","1,221",953,982,"1,378","1,014",852,681,"1,106","1,674",998,750,654,334,"1,519"
2020년03월_남_80~89세,"5,939",490,592,410,283,376,473,388,282,228,414,550,317,257,212,121,546
2020년03월_남_90~99세,575,42,59,35,35,27,44,31,37,29,35,36,26,34,17,11,77
2020년03월_남_100세 이상,77,5,11,4,1,7,8,7,0,7,5,4,2,4,3,2,7
2020년03월_여_총인구수,"247,872","19,795","21,201","14,875","12,331","15,518","16,784","14,563","13,205","13,129","13,034","25,069","14,517","10,765","8,061","4,372","30,653"
2020년03월_여_연령구간인구수,"247,872","19,795","21,201","14,875","12,331","15,518","16,784","14,563","13,205","13,129","13,034","25,069","14,517","10,765","8,061","4,372","30,653"
2020년03월_여_0~9세,"15,080","1,334","1,258",651,525,850,"1,001",633,773,"1,416",522,"1,512",888,601,415,221,"2,480"
2020년03월_여_10~19세,"19,527","1,239","1,364",942,881,"1,295","1,555",960,"1,132","1,025",830,"1,882","1,082",806,602,256,"3,676"
2020년03월_여_20~29세,"34,073","2,687","2,769","2,153","1,876","2,334","2,263","2,533","1,847","1,304","1,757","3,433","1,952","1,445","1,054",569,"4,097"
2020년03월_여_30~39세,"34,470","3,066","2,876","1,898","1,594","2,068","2,098","2,151","1,864","2,477","1,621","3,620","2,077","1,392","1,022",543,"4,103"
