,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년08월_계_총인구수,"13,530,519","1,183,419","269,906","365,103","183,288","365,122","931,931","235,720","213,784","482,427","463,373","548,491","239,071","309,420","809,559","295,335","554,511","93,414","654,477","352,166","302,311","1,080,896","481,641","299,985","299,270","69,640","193,662","727,221","230,555","511,807","269,752","163,510","310,365","1,080,325","262,030","441,375","376,920","476,044","222,883","189,641","485,221","875,987","385,808","235,828","148,296","112,289","42,942","62,383","120,954"
2021년08월_계_연령구간인구수,"13,530,519","1,183,419","269,906","365,103","183,288","365,122","931,931","235,720","213,784","482,427","463,373","548,491","239,071","309,420","809,559","295,335","554,511","93,414","654,477","352,166","302,311","1,080,896","481,641","299,985","299,270","69,640","193,662","727,221","230,555","511,807","269,752","163,510","310,365","1,080,325","262,030","441,375","376,920","476,044","222,883","189,641","485,221","875,987","385,808","235,828","148,296","112,289","42,942","62,383","120,954"
2021년08월_계_0~9세,"1,115,729","92,804","17,083","30,769","10,305","34,647","66,673","14,935","12,720","39,018","33,597","38,414","15,032","23,382","54,270","22,356","49,589","5,958","42,718","22,534","20,184","79,561","37,770","20,294","21,497","6,050","14,394","63,796","22,422","48,477","19,213","12,804","31,439","96,895","20,422","40,886","35,587","43,519","18,212","13,424","54,771","102,341","33,742","20,029","8,188","7,063","2,599","3,214","7,197"
2021년08월_계_10~19세,"1,327,046","116,023","27,765","32,698","13,999","41,561","85,877","16,950","15,942","52,985","41,795","51,186","18,335","32,851","68,595","29,892","53,921","8,453","62,144","33,539","28,605","102,908","41,193","28,861","32,854","6,761","17,511","78,265","24,894","50,370","25,732","14,246","27,314","122,768","26,817","50,482","45,469","49,740","23,592","18,391","49,304","99,539","34,263","24,356","11,962","9,521","3,070","4,583","10,070"
2021년08월_계_20~29세,"1,809,234","185,418","43,253","53,387","30,524","58,254","129,163","34,137","30,553","64,473","64,818","76,183","34,074","42,109","114,249","37,388","76,777","11,104","106,321","58,405","47,916","148,486","62,447","44,408","41,631","9,330","26,445","86,278","31,461","69,860","37,262","23,024","38,083","138,556","34,969","57,157","46,430","58,693","31,094","23,182","52,906","107,983","45,167","27,748","18,051","12,152","5,209","6,163","10,680"
2021년08월_계_30~39세,"1,898,766","176,883","31,852","56,745","26,904","61,382","135,371","34,804","31,048","69,519","60,080","77,223","33,230","43,993","113,003","40,537","84,010","9,977","85,208","44,022","41,186","142,774","68,603","38,325","35,846","9,821","25,268","89,521","37,883","78,448","37,281","22,793","51,634","142,144","33,659","57,784","50,701","67,606","30,665","22,876","76,098","150,854","56,109","28,361","14,594","11,231","4,139","5,586","10,788"
2021년08월_계_40~49세,"2,295,088","199,765","43,810","60,741","27,933","67,281","153,835","36,330","32,160","85,345","73,828","86,207","34,481","51,726","126,410","50,426","96,067","13,876","105,259","56,389","48,870","179,264","78,656","50,260","50,348","10,421","31,942","131,480","43,794","92,219","43,054","24,207","55,235","198,354","43,501","82,828","72,025","81,873","34,805","30,161","91,484","168,926","67,524","40,021","19,918","15,771","4,799","7,827","16,336"
2021년08월_계_50~59세,"2,254,613","196,388","48,592","61,477","31,195","55,124","154,663","39,994","37,228","77,441","80,779","96,075","42,878","53,197","145,032","49,049","89,253","16,379","127,762","69,125","58,637","196,136","83,628","56,368","56,140","12,133","34,933","120,400","33,803","89,402","47,450","29,316","44,448","169,099","43,658","68,636","56,805","75,327","35,321","31,625","68,555","119,739","64,554","39,069","29,108","20,046","6,957","11,093","20,719"
2021년08월_계_60~69세,"1,637,036","129,064","32,737","42,684","24,366","29,277","118,737","34,387","32,028","52,322","60,503","74,592","36,260","38,332","116,965","39,182","59,500","13,831","77,543","41,192","36,351","130,198","61,016","35,242","33,940","8,722","25,786","88,964","21,526","51,991","35,481","22,831","37,910","112,427","33,783","43,458","35,186","53,301","28,033","27,258","52,837","76,287","51,474","30,947","26,337","19,794","7,909","12,789","24,317"
2021년08월_계_70~79세,"771,128","56,706","15,686","17,526","12,049","11,445","57,590","16,800","15,299","25,491","31,230","31,851","16,558","15,293","47,188","17,675","28,627","8,600","30,103","16,935","13,168","61,620","30,316","15,515","15,789","3,953","11,558","45,675","9,925","20,000","15,150","9,144","16,976","66,000","16,241","26,422","23,337","28,799","13,140","13,788","26,407","32,764","22,710","16,506","12,335","10,238","4,900","6,778","13,192"
