카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년07월_계_총인구수,"100,020","38,374","8,566","28,476","3,510","3,438","2,965","2,322","2,125","3,266","3,521","3,457"
2020년07월_계_연령구간인구수,"100,020","38,374","8,566","28,476","3,510","3,438","2,965","2,322","2,125","3,266","3,521","3,457"
2020년07월_계_0~9세,"7,917","2,573",287,"4,414",107,130,79,47,28,81,79,92
2020년07월_계_10~19세,"9,654","4,425",474,"3,647",136,225,120,70,66,151,157,183
2020년07월_계_20~29세,"9,669","4,871",612,"2,706",227,232,154,124,116,212,189,226
2020년07월_계_30~39세,"10,671","3,682",494,"5,188",217,186,146,99,103,151,204,201
2020년07월_계_40~49세,"14,617","6,182",834,"5,415",335,372,247,168,134,293,280,357
2020년07월_계_50~59세,"15,883","6,807","1,497","3,340",650,592,458,389,368,572,590,620
2020년07월_계_60~69세,"14,359","5,021","1,829","2,011",761,689,628,536,509,757,831,787
2020년07월_계_70~79세,"10,022","3,034","1,557","1,054",589,541,586,462,430,595,615,559
2020년07월_계_80~89세,"6,330","1,548",849,616,427,427,496,360,325,394,503,385
2020년07월_계_90~99세,837,215,112,81,60,42,49,66,46,53,68,45
2020년07월_계_100세 이상,61,16,21,4,1,2,2,1,0,7,5,2
2020년07월_남_총인구수,"49,729","18,997","4,201","14,256","1,783","1,744","1,431","1,172","1,035","1,613","1,757","1,740"
2020년07월_남_연령구간인구수,"49,729","18,997","4,201","14,256","1,783","1,744","1,431","1,172","1,035","1,613","1,757","1,740"
2020년07월_남_0~9세,"4,127","1,323",156,"2,307",61,72,40,26,13,37,45,47
2020년07월_남_10~19세,"4,915","2,247",252,"1,857",75,119,61,34,28,69,81,92
2020년07월_남_20~29세,"5,325","2,690",364,"1,362",138,153,88,81,76,128,113,132
2020년07월_남_30~39세,"5,518","1,895",296,"2,553",132,104,85,67,68,90,124,104
2020년07월_남_40~49세,"7,657","3,028",485,"2,754",213,213,162,109,89,195,189,220
2020년07월_남_50~59세,"8,264","3,476",761,"1,751",353,319,249,222,189,286,315,343
2020년07월_남_60~69세,"7,026","2,383",868,970,391,360,309,269,247,388,429,412
2020년07월_남_70~79세,"4,469","1,352",682,487,259,251,248,219,197,265,253,256
2020년07월_남_80~89세,"2,198",537,296,199,146,147,177,129,120,139,185,123
2020년07월_남_90~99세,211,59,35,16,14,6,11,16,8,14,21,11
2020년07월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2020년07월_여_총인구수,"50,291","19,377","4,365","14,220","1,727","1,694","1,534","1,150","1,090","1,653","1,764","1,717"
2020년07월_여_연령구간인구수,"50,291","19,377","4,365","14,220","1,727","1,694","1,534","1,150","1,090","1,653","1,764","1,717"
2020년07월_여_0~9세,"3,790","1,250",131,"2,107",46,58,39,21,15,44,34,45
2020년07월_여_10~19세,"4,739","2,178",222,"1,790",61,106,59,36,38,82,76,91
2020년07월_여_20~29세,"4,344","2,181",248,"1,344",89,79,66,43,40,84,76,94
2020년07월_여_30~39세,"5,153","1,787",198,"2,635",85,82,61,32,35,61,80,97
2020년07월_여_40~49세,"6,960","3,154",349,"2,661",122,159,85,59,45,98,91,137
2020년07월_여_50~59세,"7,619","3,331",736,"1,589",297,273,209,167,179,286,275,277
2020년07월_여_60~69세,"7,333","2,638",961,"1,041",370,329,319,267,262,369,402,375
2020년07월_여_70~79세,"5,553","1,682",875,567,330,290,338,243,233,330,362,303
2020년07월_여_80~89세,"4,132","1,011",553,417,281,280,319,231,205,255,318,262
2020년07월_여_90~99세,626,156,77,65,46,36,38,50,38,39,47,34
2020년07월_여_100세 이상,42,9,15,4,0,2,1,1,0,5,3,2
