,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년02월_계_총인구수,"210,058","4,856","2,023","2,988","8,818","3,004","2,313","3,934","13,331","3,773","3,679","2,282","3,238","1,953","2,674","23,727","7,045","15,490","5,270","9,591","18,335","3,702","9,368","14,527","37,452","6,685"
2021년02월_계_연령구간인구수,"210,058","4,856","2,023","2,988","8,818","3,004","2,313","3,934","13,331","3,773","3,679","2,282","3,238","1,953","2,674","23,727","7,045","15,490","5,270","9,591","18,335","3,702","9,368","14,527","37,452","6,685"
2021년02월_계_0~9세,"14,402",98,36,78,567,42,53,69,"2,018",333,100,51,81,64,90,"1,619",266,"1,244",239,355,"2,048",93,542,995,"2,749",572
2021년02월_계_10~19세,"18,781",210,64,112,400,105,92,123,979,278,177,82,167,73,155,"2,545",535,"2,022",487,682,"2,373",156,746,"1,707","3,823",688
2021년02월_계_20~29세,"24,263",369,116,196,"1,421",176,122,268,"1,560",517,258,132,179,99,255,"2,796",887,"1,863",582,"1,055","2,166",499,"1,106","1,913","4,959",769
2021년02월_계_30~39세,"23,192",299,91,154,"1,382",181,112,168,"3,030",446,173,119,165,116,220,"2,455",602,"1,674",437,857,"2,588",259,"1,006","1,433","4,405",820
2021년02월_계_40~49세,"30,806",480,170,253,"1,181",223,179,319,"2,096",505,323,189,263,144,335,"3,724",941,"2,865",731,"1,166","3,398",409,"1,411","2,470","5,899","1,132"
2021년02월_계_50~59세,"37,462","1,019",418,623,"1,489",574,405,792,"1,563",508,721,434,557,338,464,"4,387","1,265","2,678",965,"1,752","2,870",724,"1,726","2,839","7,124","1,227"
2021년02월_계_60~69세,"32,335","1,192",580,779,"1,315",788,632,"1,076","1,174",571,908,571,878,531,549,"3,404","1,271","1,737",877,"1,980","1,722",771,"1,555","1,757","4,916",801
2021년02월_계_70~79세,"17,391",671,328,487,606,496,403,649,528,340,554,385,512,322,349,"1,756",800,880,590,"1,084",746,482,886,900,"2,233",404
2021년02월_계_80~89세,"10,054",469,184,260,397,380,274,406,329,245,396,284,381,243,215,929,426,471,322,576,372,274,349,454,"1,181",237
2021년02월_계_90~99세,"1,301",46,35,45,53,36,38,59,53,27,67,33,49,22,39,105,49,52,37,78,51,34,40,57,162,34
2021년02월_계_100세 이상,71,3,1,1,7,3,3,5,1,3,2,2,6,1,3,7,3,4,3,6,1,1,1,2,1,1
2021년02월_남_총인구수,"106,274","2,495","1,031","1,519","4,956","1,548","1,166","2,018","6,855","2,016","1,856","1,170","1,634",990,"1,316","11,903","3,539","7,597","2,616","4,819","9,111","1,998","4,869","7,184","18,577","3,491"
2021년02월_남_연령구간인구수,"106,274","2,495","1,031","1,519","4,956","1,548","1,166","2,018","6,855","2,016","1,856","1,170","1,634",990,"1,316","11,903","3,539","7,597","2,616","4,819","9,111","1,998","4,869","7,184","18,577","3,491"
2021년02월_남_0~9세,"7,313",60,13,35,282,18,24,44,"1,013",154,43,32,45,29,45,856,126,616,125,180,"1,036",43,280,520,"1,385",309
2021년02월_남_10~19세,"9,751",103,35,65,217,55,57,64,488,145,81,44,104,43,74,"1,333",273,"1,082",250,350,"1,217",91,365,881,"1,966",368
2021년02월_남_20~29세,"13,913",233,69,125,922,111,76,174,864,341,155,80,101,60,141,"1,603",506,"1,018",327,577,"1,174",303,640,"1,044","2,814",455
2021년02월_남_30~39세,"12,610",176,54,87,860,109,68,103,"1,669",254,101,74,89,61,131,"1,301",352,839,235,488,"1,292",163,557,751,"2,363",433
2021년02월_남_40~49세,"15,813",289,107,149,696,150,124,177,"1,104",289,190,109,145,86,196,"1,859",503,"1,368",374,638,"1,667",255,774,"1,151","2,823",590
2021년02월_남_50~59세,"19,152",548,213,339,834,316,204,434,781,293,388,220,300,173,247,"2,185",650,"1,301",501,888,"1,425",412,936,"1,445","3,460",659
2021년02월_남_60~69세,"16,203",617,303,405,702,418,308,556,576,298,478,309,466,290,253,"1,674",623,838,418,961,848,421,759,844,"2,432",406
2021년02월_남_70~79세,"7,736",293,168,216,291,225,200,308,248,143,261,181,228,147,146,765,357,361,251,490,336,208,415,386,923,189
2021년02월_남_80~89세,"3,457",164,63,87,134,134,91,146,94,92,143,109,136,95,79,292,139,165,127,227,113,97,134,146,377,73
2021년02월_남_90~99세,311,10,6,11,15,11,13,12,18,6,15,11,18,6,3,34,10,9,8,19,3,5,9,16,34,9
2021년02월_남_100세 이상,15,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0
2021년02월_여_총인구수,"103,784","2,361",992,"1,469","3,862","1,456","1,147","1,916","6,476","1,757","1,823","1,112","1,604",963,"1,358","11,824","3,506","7,893","2,654","4,772","9,224","1,704","4,499","7,343","18,875","3,194"
2021년02월_여_연령구간인구수,"103,784","2,361",992,"1,469","3,862","1,456","1,147","1,916","6,476","1,757","1,823","1,112","1,604",963,"1,358","11,824","3,506","7,893","2,654","4,772","9,224","1,704","4,499","7,343","18,875","3,194"
2021년02월_여_0~9세,"7,089",38,23,43,285,24,29,25,"1,005",179,57,19,36,35,45,763,140,628,114,175,"1,012",50,262,475,"1,364",263
2021년02월_여_10~19세,"9,030",107,29,47,183,50,35,59,491,133,96,38,63,30,81,"1,212",262,940,237,332,"1,156",65,381,826,"1,857",320
2021년02월_여_20~29세,"10,350",136,47,71,499,65,46,94,696,176,103,52,78,39,114,"1,193",381,845,255,478,992,196,466,869,"2,145",314
2021년02월_여_30~39세,"10,582",123,37,67,522,72,44,65,"1,361",192,72,45,76,55,89,"1,154",250,835,202,369,"1,296",96,449,682,"2,042",387
2021년02월_여_40~49세,"14,993",191,63,104,485,73,55,142,992,216,133,80,118,58,139,"1,865",438,"1,497",357,528,"1,731",154,637,"1,319","3,076",542
2021년02월_여_50~59세,"18,310",471,205,284,655,258,201,358,782,215,333,214,257,165,217,"2,202",615,"1,377",464,864,"1,445",312,790,"1,394","3,664",568
2021년02월_여_60~69세,"16,132",575,277,374,613,370,324,520,598,273,430,262,412,241,296,"1,730",648,899,459,"1,019",874,350,796,913,"2,484",395
2021년02월_여_70~79세,"9,655",378,160,271,315,271,203,341,280,197,293,204,284,175,203,991,443,519,339,594,410,274,471,514,"1,310",215
2021년02월_여_80~89세,"6,597",305,121,173,263,246,183,260,235,153,253,175,245,148,136,637,287,306,195,349,259,177,215,308,804,164
2021년02월_여_90~99세,990,36,29,34,38,25,25,47,35,21,52,22,31,16,36,71,39,43,29,59,48,29,31,41,128,25
2021년02월_여_100세 이상,56,1,1,1,4,2,2,5,1,2,1,1,4,1,2,6,3,4,3,5,1,1,1,2,1,1
