,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년11월_계_총인구수,"149,549","12,440","9,546","2,661","10,020","18,403","8,597","10,483","4,303","7,218","5,284","7,609","16,862","5,153","8,327","6,906","6,066","9,671"
2020년11월_계_연령구간인구수,"149,549","12,440","9,546","2,661","10,020","18,403","8,597","10,483","4,303","7,218","5,284","7,609","16,862","5,153","8,327","6,906","6,066","9,671"
2020년11월_계_0~9세,"7,590",834,582,101,548,"1,189",707,864,202,187,120,239,706,131,245,380,285,270
2020년11월_계_10~19세,"11,066","1,158",700,193,931,"1,633","1,021",866,341,207,244,424,"1,337",245,511,535,362,358
2020년11월_계_20~29세,"23,386","1,605","1,236",329,"1,350","2,454",938,"1,262",494,857,"1,079","1,687","4,491",613,"1,167",961,801,"2,062"
2020년11월_계_30~39세,"19,982","1,697","1,446",359,"1,230","2,238",945,"1,734",564,927,722,"1,240","2,088",538,902,958,828,"1,566"
2020년11월_계_40~49세,"22,245","2,139","1,477",375,"1,623","2,778","1,524","1,846",761,955,588,980,"2,302",648,"1,102",958,940,"1,249"
2020년11월_계_50~59세,"25,511","1,983","1,557",423,"1,725","3,265","1,429","1,615",688,"1,350",981,"1,113","2,312","1,120","1,845","1,285","1,144","1,676"
2020년11월_계_60~69세,"19,938","1,390","1,200",412,"1,322","2,516","1,004","1,161",580,"1,397",757,949,"1,627","1,027","1,370",992,885,"1,349"
2020년11월_계_70~79세,"12,513","1,011",775,284,811,"1,377",646,741,443,838,530,606,"1,249",545,810,541,544,762
2020년11월_계_80~89세,"5,950",527,459,148,389,767,314,325,182,367,214,313,631,228,309,237,230,310
2020년11월_계_90~99세,"1,096",76,94,31,79,163,50,54,38,91,40,44,98,49,53,47,37,52
2020년11월_계_100세 이상,272,20,20,6,12,23,19,15,10,42,9,14,21,9,13,12,10,17
2020년11월_남_총인구수,"72,741","5,791","4,267","1,291","4,765","8,572","4,002","4,862","1,989","4,315","2,866","3,581","8,127","2,788","4,288","3,385","2,950","4,902"
2020년11월_남_연령구간인구수,"72,741","5,791","4,267","1,291","4,765","8,572","4,002","4,862","1,989","4,315","2,866","3,581","8,127","2,788","4,288","3,385","2,950","4,902"
2020년11월_남_0~9세,"3,841",437,291,46,272,614,322,439,101,100,60,122,339,66,143,205,147,137
2020년11월_남_10~19세,"5,528",611,316,113,503,821,470,408,187,109,124,200,672,131,260,259,166,178
2020년11월_남_20~29세,"11,515",798,568,178,696,"1,257",429,605,229,435,556,779,"2,224",340,632,516,413,860
2020년11월_남_30~39세,"9,908",786,617,176,583,"1,034",429,804,263,515,420,602,"1,105",309,526,466,422,851
2020년11월_남_40~49세,"10,827",959,659,183,753,"1,223",718,870,360,592,347,498,"1,101",330,568,464,496,706
2020년11월_남_50~59세,"12,812",925,695,211,781,"1,470",747,779,315,953,557,543,"1,119",630,984,625,564,914
2020년11월_남_60~69세,"9,906",617,557,189,627,"1,203",459,513,267,892,439,454,781,601,688,491,411,717
2020년11월_남_70~79세,"5,538",407,329,133,362,602,264,297,180,493,251,254,500,275,336,245,228,382
2020년11월_남_80~89세,"2,394",220,194,47,161,298,134,127,76,173,94,109,249,83,127,84,89,129
2020년11월_남_90~99세,378,28,36,14,23,42,16,15,7,40,14,17,30,22,22,20,10,22
2020년11월_남_100세 이상,94,3,5,1,4,8,14,5,4,13,4,3,7,1,2,10,4,6
2020년11월_여_총인구수,"76,808","6,649","5,279","1,370","5,255","9,831","4,595","5,621","2,314","2,903","2,418","4,028","8,735","2,365","4,039","3,521","3,116","4,769"
2020년11월_여_연령구간인구수,"76,808","6,649","5,279","1,370","5,255","9,831","4,595","5,621","2,314","2,903","2,418","4,028","8,735","2,365","4,039","3,521","3,116","4,769"
2020년11월_여_0~9세,"3,749",397,291,55,276,575,385,425,101,87,60,117,367,65,102,175,138,133
2020년11월_여_10~19세,"5,538",547,384,80,428,812,551,458,154,98,120,224,665,114,251,276,196,180
2020년11월_여_20~29세,"11,871",807,668,151,654,"1,197",509,657,265,422,523,908,"2,267",273,535,445,388,"1,202"
2020년11월_여_30~39세,"10,074",911,829,183,647,"1,204",516,930,301,412,302,638,983,229,376,492,406,715
2020년11월_여_40~49세,"11,418","1,180",818,192,870,"1,555",806,976,401,363,241,482,"1,201",318,534,494,444,543
2020년11월_여_50~59세,"12,699","1,058",862,212,944,"1,795",682,836,373,397,424,570,"1,193",490,861,660,580,762
2020년11월_여_60~69세,"10,032",773,643,223,695,"1,313",545,648,313,505,318,495,846,426,682,501,474,632
2020년11월_여_70~79세,"6,975",604,446,151,449,775,382,444,263,345,279,352,749,270,474,296,316,380
2020년11월_여_80~89세,"3,556",307,265,101,228,469,180,198,106,194,120,204,382,145,182,153,141,181
2020년11월_여_90~99세,718,48,58,17,56,121,34,39,31,51,26,27,68,27,31,27,27,30
2020년11월_여_100세 이상,178,17,15,5,8,15,5,10,6,29,5,11,14,8,11,2,6,11
