,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년09월_계_총인구수,"31,893","14,774","1,875","1,469","2,148","1,616","2,277","1,886",736,"1,728","1,642","1,742"
2021년09월_계_연령구간인구수,"31,893","14,774","1,875","1,469","2,148","1,616","2,277","1,886",736,"1,728","1,642","1,742"
2021년09월_계_0~9세,"1,365",970,30,83,46,13,59,40,21,42,32,29
2021년09월_계_10~19세,"2,034","1,299",82,72,89,49,121,89,27,65,63,78
2021년09월_계_20~29세,"2,252","1,342",114,109,78,79,149,105,21,81,81,93
2021년09월_계_30~39세,"2,029","1,235",77,138,78,65,155,74,15,55,71,66
2021년09월_계_40~49세,"3,156","1,897",143,158,137,96,182,149,56,102,103,133
2021년09월_계_50~59세,"5,628","2,635",387,232,368,248,370,300,122,319,312,335
2021년09월_계_60~69세,"7,254","2,698",513,298,580,439,552,548,236,474,436,480
2021년09월_계_70~79세,"4,497","1,547",332,204,420,324,377,302,138,306,279,268
2021년09월_계_80~89세,"3,165",994,165,153,308,265,284,233,86,242,218,217
2021년09월_계_90~99세,498,151,31,21,42,38,27,45,14,41,45,43
2021년09월_계_100세 이상,15,6,1,1,2,0,1,1,0,1,2,0
2021년09월_남_총인구수,"16,050","7,346",966,781,"1,032",794,"1,155",949,400,862,844,921
2021년09월_남_연령구간인구수,"16,050","7,346",966,781,"1,032",794,"1,155",949,400,862,844,921
2021년09월_남_0~9세,703,478,17,45,24,10,32,24,12,22,20,19
2021년09월_남_10~19세,"1,072",696,37,30,46,26,63,40,16,34,37,47
2021년09월_남_20~29세,"1,335",770,72,75,44,48,89,58,11,53,57,58
2021년09월_남_30~39세,"1,103",617,48,86,45,42,106,44,10,26,38,41
2021년09월_남_40~49세,"1,750",989,90,94,82,61,110,85,36,70,63,70
2021년09월_남_50~59세,"3,125","1,398",212,146,205,149,212,167,77,187,179,193
2021년09월_남_60~69세,"3,737","1,328",275,153,290,214,277,305,127,251,248,269
2021년09월_남_70~79세,"2,053",692,141,96,185,147,166,149,78,141,117,141
2021년09월_남_80~89세,"1,063",342,66,51,98,89,97,72,32,71,72,73
2021년09월_남_90~99세,109,36,8,5,13,8,3,5,1,7,13,10
2021년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"15,843","7,428",909,688,"1,116",822,"1,122",937,336,866,798,821
2021년09월_여_연령구간인구수,"15,843","7,428",909,688,"1,116",822,"1,122",937,336,866,798,821
2021년09월_여_0~9세,662,492,13,38,22,3,27,16,9,20,12,10
2021년09월_여_10~19세,962,603,45,42,43,23,58,49,11,31,26,31
2021년09월_여_20~29세,917,572,42,34,34,31,60,47,10,28,24,35
2021년09월_여_30~39세,926,618,29,52,33,23,49,30,5,29,33,25
2021년09월_여_40~49세,"1,406",908,53,64,55,35,72,64,20,32,40,63
2021년09월_여_50~59세,"2,503","1,237",175,86,163,99,158,133,45,132,133,142
2021년09월_여_60~69세,"3,517","1,370",238,145,290,225,275,243,109,223,188,211
2021년09월_여_70~79세,"2,444",855,191,108,235,177,211,153,60,165,162,127
2021년09월_여_80~89세,"2,102",652,99,102,210,176,187,161,54,171,146,144
2021년09월_여_90~99세,389,115,23,16,29,30,24,40,13,34,32,33
2021년09월_여_100세 이상,15,6,1,1,2,0,1,1,0,1,2,0
