카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년04월_계_총인구수,"864,687","82,025","17,381","87,197","42,229","7,099","5,815","6,930","10,915","7,093","9,930","10,280","3,985","11,407","21,840","43,737","32,913","24,146","32,203","13,570","23,061","51,326","35,584","42,119","52,936","43,308","32,606","84,738","28,314"
2021년04월_계_연령구간인구수,"864,687","82,025","17,381","87,197","42,229","7,099","5,815","6,930","10,915","7,093","9,930","10,280","3,985","11,407","21,840","43,737","32,913","24,146","32,203","13,570","23,061","51,326","35,584","42,119","52,936","43,308","32,606","84,738","28,314"
2021년04월_계_0~9세,"103,071","8,161",884,"10,571","4,089",267,219,249,450,166,312,375,95,402,"4,010","4,308","3,376","2,343","4,213","1,254","1,738","6,214","4,148","5,663","8,904","6,285","4,741","14,497","5,137"
2021년04월_계_10~19세,"97,937","9,841","1,436","10,225","3,577",472,322,393,786,289,465,600,161,739,"2,172","3,901","3,485","3,924","3,997","1,781","2,221","6,888","6,576","5,311","9,013","4,264","3,177","9,407","2,514"
2021년04월_계_20~29세,"106,675","10,315","1,778","10,505","5,756",805,596,750,990,546,974,"1,041",396,"1,350","2,348","7,115","5,608","3,006","4,051","1,715","3,100","8,107","3,742","6,388","4,209","5,298","4,644","8,701","2,841"
2021년04월_계_30~39세,"150,419","11,343","1,572","15,791","7,198",634,502,761,898,516,"1,016",897,370,"1,168","4,752","8,765","5,711","2,900","5,671","1,510","2,903","9,555","4,061","8,218","8,839","10,650","7,639","19,032","7,547"
2021년04월_계_40~49세,"166,670","15,863","2,747","17,579","6,903",921,690,996,"1,409",800,"1,450","1,292",473,"1,607","4,234","7,845","5,783","5,326","6,063","2,636","3,931","10,261","8,748","8,460","13,294","8,328","6,300","17,431","5,300"
2021년04월_계_50~59세,"117,230","12,611","3,525","11,171","6,569","1,499","1,183","1,423","2,110","1,580","2,294","2,135",895,"2,399","2,693","5,943","4,497","3,340","4,510","2,274","4,119","6,503","4,792","4,271","5,548","4,327","3,485","8,920","2,614"
2021년04월_계_60~69세,"73,311","8,327","2,858","6,759","4,878","1,340","1,187","1,243","2,166","1,735","1,978","2,120",886,"2,071","1,224","3,588","2,665","1,799","2,581","1,413","3,051","2,422","2,064","2,139","2,055","2,624","1,750","4,725","1,663"
2021년04월_계_70~79세,"32,290","3,768","1,607","2,956","2,117",733,645,709,"1,230",838,842,"1,082",414,"1,008",261,"1,538","1,251","1,014",746,696,"1,344",950,"1,028","1,175",754,"1,068",591,"1,447",478
2021년04월_계_80~89세,"14,874","1,553",857,"1,456",963,379,389,352,732,538,512,674,265,568,128,648,472,439,322,255,578,378,387,434,274,402,234,497,188
2021년04월_계_90~99세,"2,130",228,114,178,174,49,80,50,137,83,83,63,29,88,18,84,65,54,48,35,69,47,35,59,46,60,44,78,32
2021년04월_계_100세 이상,80,15,3,6,5,0,2,4,7,2,4,1,1,7,0,2,0,1,1,1,7,1,3,1,0,2,1,3,0
2021년04월_남_총인구수,"449,184","41,662","9,473","46,720","23,070","3,767","3,292","4,143","5,898","3,918","6,007","5,917","2,452","6,604","10,968","23,616","16,923","11,753","16,280","6,953","12,189","26,479","17,535","21,730","26,363","21,813","16,892","42,492","14,275"
2021년04월_남_연령구간인구수,"449,184","41,662","9,473","46,720","23,070","3,767","3,292","4,143","5,898","3,918","6,007","5,917","2,452","6,604","10,968","23,616","16,923","11,753","16,280","6,953","12,189","26,479","17,535","21,730","26,363","21,813","16,892","42,492","14,275"
