,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년10월_계_총인구수,"653,383","348,265","25,212","24,311","33,251","33,255","30,761","38,300","26,962","20,373","22,091","38,919","27,157","18,510","9,163","305,118","39,277","22,126","25,433","44,802","6,319","18,546","22,787","47,650","17,120","16,697","35,618","8,743"
2020년10월_계_연령구간인구수,"653,383","348,265","25,212","24,311","33,251","33,255","30,761","38,300","26,962","20,373","22,091","38,919","27,157","18,510","9,163","305,118","39,277","22,126","25,433","44,802","6,319","18,546","22,787","47,650","17,120","16,697","35,618","8,743"
2020년10월_계_0~9세,"44,842","23,398","1,800","1,149","1,854","2,629","3,349","2,751","1,591","1,011","1,509","2,317","1,785","1,156",497,"21,444","2,728","1,242","1,682","3,508",291,"1,333","1,683","3,934","1,274",940,"2,522",307
2020년10월_계_10~19세,"64,521","34,241","2,524","1,670","2,997","3,676","3,691","4,083","2,950","1,801","2,151","3,929","2,653","1,343",773,"30,280","3,993","1,963","2,226","5,352",320,"1,823","2,540","4,995","1,390","1,640","3,652",386
2020년10월_계_20~29세,"106,077","57,491","3,854","4,424","5,991","5,385","5,049","5,992","4,362","3,605","3,522","7,066","4,804","2,267","1,170","48,586","6,124","4,205","5,079","7,692",494,"2,835","3,093","7,504","2,585","2,485","5,781",709
2020년10월_계_30~39세,"85,444","43,730","3,125","3,800","4,625","4,240","4,326","4,732","2,987","2,479","2,501","4,408","3,270","2,289",948,"41,714","5,198","3,219","3,965","5,523",641,"2,482","2,981","7,303","2,782","1,913","5,048",659
2020년10월_계_40~49세,"108,812","57,778","4,576","4,067","5,728","5,586","5,380","6,943","4,575","3,190","3,693","6,188","3,758","2,720","1,374","51,034","7,219","3,349","3,827","7,504","1,031","2,865","4,105","8,407","2,672","2,865","6,244",946
2020년10월_계_50~59세,"127,595","68,423","4,656","4,576","6,319","6,404","5,376","7,366","5,438","4,288","4,666","8,221","5,762","3,479","1,872","59,172","7,577","4,101","4,575","9,097","1,656","3,742","4,324","8,276","3,195","3,726","6,937","1,966"
2020년10월_계_60~69세,"70,024","37,027","2,529","2,653","2,902","3,359","2,524","3,655","2,843","2,246","2,326","4,178","3,321","2,984","1,507","32,997","3,854","2,397","2,769","4,169","1,006","2,280","2,579","4,364","2,054","1,923","3,502","2,100"
2020년10월_계_70~79세,"29,577","16,710","1,438","1,312","1,524","1,259",717,"1,809","1,430","1,118","1,092","1,623","1,106","1,606",676,"12,867","1,677","1,071",840,"1,210",586,855,969,"1,837",741,787,"1,238","1,056"
2020년10월_계_80~89세,"14,271","8,189",611,573,"1,103",623,295,869,694,565,569,862,571,569,285,"6,082",790,517,381,633,258,287,443,888,376,370,614,525
2020년10월_계_90~99세,"2,090","1,209",95,80,194,89,54,100,86,70,58,118,119,91,55,881,112,60,84,110,30,33,66,134,49,45,75,83
2020년10월_계_100세 이상,130,69,4,7,14,5,0,0,6,0,4,9,8,6,6,61,5,2,5,4,6,11,4,8,2,3,5,6
2020년10월_남_총인구수,"334,914","177,584","12,811","12,998","17,398","16,831","15,565","19,783","13,327","10,146","11,401","19,890","13,313","9,350","4,771","157,330","20,716","11,062","12,655","22,499","3,653","9,424","12,201","24,425","8,744","9,075","18,283","4,593"
2020년10월_남_연령구간인구수,"334,914","177,584","12,811","12,998","17,398","16,831","15,565","19,783","13,327","10,146","11,401","19,890","13,313","9,350","4,771","157,330","20,716","11,062","12,655","22,499","3,653","9,424","12,201","24,425","8,744","9,075","18,283","4,593"
2020년10월_남_0~9세,"22,810","11,894",890,581,949,"1,348","1,651","1,425",820,525,773,"1,190",923,573,246,"10,916","1,394",613,867,"1,748",148,673,864,"2,013",657,480,"1,283",176
2020년10월_남_10~19세,"33,226","17,518","1,235",860,"1,556","1,873","1,892","2,109","1,442",910,"1,074","2,085","1,385",697,400,"15,708","2,120","1,011","1,128","2,807",168,946,"1,300","2,526",723,868,"1,903",208
2020년10월_남_20~29세,"56,451","30,651","1,991","2,325","3,286","2,859","2,772","3,198","2,217","1,866","1,895","3,832","2,517","1,240",653,"25,800","3,371","2,113","2,537","3,940",300,"1,481","1,754","4,038","1,391","1,367","3,104",404
2020년10월_남_30~39세,"46,507","23,694","1,688","2,249","2,683","2,257","2,106","2,585","1,588","1,314","1,374","2,414","1,676","1,231",529,"22,813","2,906","1,808","2,096","2,774",386,"1,331","1,712","4,034","1,566","1,095","2,721",384
