,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년03월_계_총인구수,"279,844","2,680","8,572","1,929","20,416","6,315","6,508","2,798","1,334",814,"2,054","4,786","3,192","4,391","4,031","6,148","3,807","5,453","11,477","6,928","18,911","21,563","11,821","10,302","10,512","32,598","37,274","21,446","8,204","2,419","1,161"
2021년03월_계_연령구간인구수,"279,844","2,680","8,572","1,929","20,416","6,315","6,508","2,798","1,334",814,"2,054","4,786","3,192","4,391","4,031","6,148","3,807","5,453","11,477","6,928","18,911","21,563","11,821","10,302","10,512","32,598","37,274","21,446","8,204","2,419","1,161"
2021년03월_계_0~9세,"20,533",53,562,29,"2,059",268,132,62,14,18,58,241,112,145,104,224,144,168,696,440,"1,177","1,841",640,753,"1,042","2,680","4,631","1,182",975,65,18
2021년03월_계_10~19세,"26,151",87,651,72,"2,047",311,287,121,34,38,82,291,195,284,226,299,239,264,896,627,"1,880","2,331","1,074","1,191",931,"3,868","4,488","2,017","1,128",130,62
2021년03월_계_20~29세,"33,621",184,748,144,"2,233",463,579,132,59,51,148,477,374,413,346,660,428,461,"1,217",716,"2,526","2,705","1,805","1,415","1,065","5,145","4,576","3,305",889,248,109
2021년03월_계_30~39세,"30,590",123,793,86,"2,537",436,370,117,60,27,132,470,314,339,290,561,300,437,"1,102",652,"1,979","2,527","1,221","1,136","1,379","3,954","5,629","2,264","1,120",176,59
2021년03월_계_40~49세,"41,810",235,"1,278",148,"3,210",734,600,244,89,81,216,575,348,549,473,748,433,626,"1,570",947,"2,771","3,598","1,793","1,684","1,572","5,479","6,482","3,267","1,668",270,122
2021년03월_계_50~59세,"48,447",453,"1,387",317,"3,516","1,041","1,210",444,181,137,456,707,464,717,651,"1,028",606,900,"2,043","1,141","3,408","3,516","2,219","1,878","1,562","5,969","6,151","4,553","1,075",485,232
2021년03월_계_60~69세,"41,311",618,"1,615",458,"2,576","1,253","1,415",653,315,165,483,984,602,960,844,"1,267",801,"1,228","2,125","1,364","3,080","2,851","1,707","1,402","1,544","3,367","3,373","2,869",709,464,219
2021년03월_계_70~79세,"24,745",572,996,385,"1,377","1,069","1,125",612,327,173,296,758,542,708,776,976,568,963,"1,327",770,"1,388","1,482",921,621,987,"1,469","1,278","1,291",453,345,190
2021년03월_계_80~89세,"10,848",309,470,243,760,623,657,354,209,105,150,237,217,243,287,333,246,353,444,240,613,600,388,187,367,567,563,596,162,198,127
2021년03월_계_90~99세,"1,686",45,71,44,95,113,129,57,44,18,32,39,23,26,29,46,40,46,49,28,87,112,53,34,56,93,102,101,23,28,23
2021년03월_계_100세 이상,102,1,1,3,6,4,4,2,2,1,1,7,1,7,5,6,2,7,8,3,2,0,0,1,7,7,1,1,2,10,0
2021년03월_남_총인구수,"142,785","1,352","4,470",949,"10,403","3,270","3,363","1,427",658,405,"1,156","2,430","1,592","2,187","2,079","3,187","1,882","2,774","5,794","3,478","9,317","10,858","6,342","5,210","5,286","16,760","18,708","11,318","4,212","1,313",605
