카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년08월_계_총인구수,"63,825","9,549","3,242","1,710","5,100","1,303",715,"1,825",684,667,"7,544","14,479","9,022","7,985"
2021년08월_계_연령구간인구수,"63,825","9,549","3,242","1,710","5,100","1,303",715,"1,825",684,667,"7,544","14,479","9,022","7,985"
2021년08월_계_0~9세,"3,626",304,78,42,104,20,9,38,10,14,256,"1,621",621,509
2021년08월_계_10~19세,"4,978",736,129,63,197,37,10,63,26,12,482,"1,681",813,729
2021년08월_계_20~29세,"6,867","1,665",232,124,328,63,31,83,28,22,705,"1,829","1,002",755
2021년08월_계_30~39세,"5,379",487,203,84,270,68,21,80,19,33,573,"1,957",884,700
2021년08월_계_40~49세,"8,552","1,013",354,185,457,124,55,188,72,66,926,"2,492","1,457","1,163"
2021년08월_계_50~59세,"10,994","1,576",606,338,968,274,137,328,126,131,"1,365","2,292","1,546","1,307"
2021년08월_계_60~69세,"11,676","1,886",736,388,"1,240",396,201,463,185,176,"1,651","1,532","1,366","1,456"
2021년08월_계_70~79세,"7,058","1,206",505,297,805,177,135,319,127,119,"1,016",688,844,820
2021년08월_계_80~89세,"4,061",607,341,164,608,128,91,229,78,85,505,328,416,481
2021년08월_계_90~99세,608,66,51,25,118,16,25,34,13,9,62,57,68,64
2021년08월_계_100세 이상,26,3,7,0,5,0,0,0,0,0,3,2,5,1
2021년08월_남_총인구수,"32,250","4,734","1,704",856,"2,623",712,389,952,347,363,"3,705","7,358","4,573","3,934"
2021년08월_남_연령구간인구수,"32,250","4,734","1,704",856,"2,623",712,389,952,347,363,"3,705","7,358","4,573","3,934"
2021년08월_남_0~9세,"1,850",149,40,20,57,13,4,20,9,7,138,831,302,260
2021년08월_남_10~19세,"2,551",335,65,34,115,20,4,43,12,5,249,859,437,373
2021년08월_남_20~29세,"3,836",865,157,72,210,30,21,56,16,13,394,"1,023",561,418
2021년08월_남_30~39세,"2,902",259,135,54,169,48,13,41,8,19,325,"1,004",456,371
2021년08월_남_40~49세,"4,688",575,226,111,292,94,41,135,45,50,499,"1,233",785,602
2021년08월_남_50~59세,"5,949",856,365,182,585,144,88,190,77,81,674,"1,187",858,662
2021년08월_남_60~69세,"5,884",972,395,204,631,221,119,252,89,98,774,773,658,698
2021년08월_남_70~79세,"3,119",526,207,117,352,84,60,146,58,56,459,307,373,374
2021년08월_남_80~89세,"1,347",182,103,55,195,55,33,65,30,33,176,127,129,164
2021년08월_남_90~99세,121,15,9,7,17,3,6,4,3,1,17,14,13,12
2021년08월_남_100세 이상,3,0,2,0,0,0,0,0,0,0,0,0,1,0
2021년08월_여_총인구수,"31,575","4,815","1,538",854,"2,477",591,326,873,337,304,"3,839","7,121","4,449","4,051"
2021년08월_여_연령구간인구수,"31,575","4,815","1,538",854,"2,477",591,326,873,337,304,"3,839","7,121","4,449","4,051"
2021년08월_여_0~9세,"1,776",155,38,22,47,7,5,18,1,7,118,790,319,249
2021년08월_여_10~19세,"2,427",401,64,29,82,17,6,20,14,7,233,822,376,356
2021년08월_여_20~29세,"3,031",800,75,52,118,33,10,27,12,9,311,806,441,337
2021년08월_여_30~39세,"2,477",228,68,30,101,20,8,39,11,14,248,953,428,329
2021년08월_여_40~49세,"3,864",438,128,74,165,30,14,53,27,16,427,"1,259",672,561
2021년08월_여_50~59세,"5,045",720,241,156,383,130,49,138,49,50,691,"1,105",688,645
2021년08월_여_60~69세,"5,792",914,341,184,609,175,82,211,96,78,877,759,708,758
2021년08월_여_70~79세,"3,939",680,298,180,453,93,75,173,69,63,557,381,471,446
2021년08월_여_80~89세,"2,714",425,238,109,413,73,58,164,48,52,329,201,287,317
2021년08월_여_90~99세,487,51,42,18,101,13,19,30,10,8,45,43,55,52
2021년08월_여_100세 이상,23,3,5,0,5,0,0,0,0,0,3,2,4,1
