,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년03월_계_총인구수,"1,065,613","254,216","32,975","25,750","20,127","23,216","8,247","8,439","18,304","24,304","43,871","35,751","13,232","438,790","39,074","30,692","16,959","42,157","13,541","33,373","21,112","25,412","39,481","32,435","32,892","27,399","22,865","24,944","36,454","372,607","36,748","42,274","38,319","57,198","18,670","46,443","49,052","34,377","49,526"
2020년03월_계_연령구간인구수,"1,065,613","254,216","32,975","25,750","20,127","23,216","8,247","8,439","18,304","24,304","43,871","35,751","13,232","438,790","39,074","30,692","16,959","42,157","13,541","33,373","21,112","25,412","39,481","32,435","32,892","27,399","22,865","24,944","36,454","372,607","36,748","42,274","38,319","57,198","18,670","46,443","49,052","34,377","49,526"
2020년03월_계_0~9세,"104,630","21,936","2,475","2,025","1,646","3,155",360,242,"1,314","1,629","5,003","3,333",754,"45,098","3,566","3,699","1,902","4,487","1,043","3,261","1,970","3,329","3,595","2,858","3,752","2,861","3,041","2,143","3,591","37,596","2,958","4,990","3,750","5,489","1,586","5,337","4,954","3,515","5,017"
2020년03월_계_10~19세,"122,266","25,060","3,742","2,348","1,842","1,747",553,499,"1,847","2,244","4,531","4,503","1,204","51,368","3,784","3,584","1,286","3,541","1,354","4,347","2,179","2,389","4,924","3,136","5,723","4,733","2,946","2,905","4,537","45,838","3,897","5,913","5,368","7,307","1,643","5,113","6,352","4,311","5,934"
2020년03월_계_20~29세,"133,904","33,471","4,602","3,209","2,086","2,012",781,835,"2,219","4,328","6,723","4,765","1,911","54,824","5,177","3,688","2,316","6,564","1,953","3,907","2,458","4,596","4,235","4,047","3,391","3,005","2,138","3,329","4,020","45,609","5,425","4,968","4,048","7,652","2,806","5,298","6,289","3,873","5,250"
2020년03월_계_30~39세,"148,528","34,447","4,051","3,177","2,381","4,324",739,758,"2,268","3,128","7,479","4,675","1,467","61,774","6,370","4,973","3,128","8,211","1,937","4,082","2,814","4,750","4,503","4,253","3,578","2,631","3,218","2,951","4,375","52,307","6,138","6,446","4,185","7,298","3,389","7,522","6,978","4,543","5,808"
2020년03월_계_40~49세,"200,892","43,397","6,065","4,337","3,411","3,861","1,114","1,037","3,048","3,905","7,666","6,875","2,078","84,780","6,808","6,132","2,688","7,100","2,470","6,595","3,825","4,333","7,885","5,472","8,055","6,450","4,940","4,635","7,392","72,715","6,365","9,172","8,184","11,199","3,087","8,934","9,541","6,658","9,575"
2020년03월_계_50~59세,"160,068","42,595","5,717","4,570","3,677","3,175","1,630","1,689","3,304","4,136","6,226","5,872","2,599","64,070","6,096","4,592","2,658","6,337","2,246","4,876","3,359","3,185","5,632","4,963","4,277","4,038","2,556","4,204","5,051","53,403","5,412","5,659","5,575","8,464","2,868","6,530","6,919","4,954","7,022"
2020년03월_계_60~69세,"101,021","29,345","3,456","3,393","2,724","2,763","1,588","1,701","2,415","2,757","3,564","3,119","1,865","39,399","3,831","2,413","1,558","3,340","1,217","3,236","2,485","1,693","4,185","3,673","2,014","1,868","1,891","2,564","3,431","32,277","3,279","2,379","3,352","4,894","1,726","4,300","4,019","3,016","5,312"
2020년03월_계_70~79세,"64,118","15,600","1,843","1,801","1,471","1,493",930,954,"1,162","1,429","1,820","1,765",932,"25,675","2,322","1,104",746,"1,827",902,"2,157","1,404",780,"3,121","2,775","1,439","1,224","1,536","1,490","2,848","22,843","2,236","1,753","2,727","3,286","1,037","2,441","2,774","2,480","4,109"
2020년03월_계_80~89세,"26,061","7,208",914,772,756,586,475,629,609,638,730,751,348,"10,180",982,434,534,639,379,786,539,304,"1,210","1,087",585,507,524,625,"1,045","8,673",910,881,998,"1,408",448,822,"1,036",880,"1,290"
