카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년09월_계_총인구수,"658,235","337,671","7,464","4,044","12,160","5,392","6,326","8,609","14,482","19,643","41,228","12,882","46,098","11,578","13,490","22,051","10,817","10,115","14,754","39,580","36,958","320,564","14,206","18,411","11,233","32,156","20,813","7,855","9,885","7,588","11,350","14,516","20,049","62,393","26,454","12,621","30,787","20,247",0
2021년09월_계_연령구간인구수,"658,235","337,671","7,464","4,044","12,160","5,392","6,326","8,609","14,482","19,643","41,228","12,882","46,098","11,578","13,490","22,051","10,817","10,115","14,754","39,580","36,958","320,564","14,206","18,411","11,233","32,156","20,813","7,855","9,885","7,588","11,350","14,516","20,049","62,393","26,454","12,621","30,787","20,247",0
2021년09월_계_0~9세,"52,059","23,583",313,98,580,267,277,286,870,"1,322","3,256",556,"3,817",661,660,"1,482",568,504,936,"4,269","2,861","28,476",593,"1,415",538,"2,459","1,988",201,403,286,785,814,"1,374","7,952","2,000",858,"3,762","3,048",0
2021년09월_계_10~19세,"70,337","34,965",461,149,789,377,427,608,"1,282","2,584","4,851",814,"5,273","1,047","1,198","2,349",902,865,"1,484","5,000","4,505","35,372","1,043","2,296",695,"4,000","1,644",333,621,461,912,"1,210","2,462","8,833","3,077",987,"3,095","3,703",0
2021년09월_계_20~29세,"93,358","49,220",837,393,"1,389",578,669,"1,012","2,291","3,255","6,358","1,388","5,845","1,671","1,979","3,088","1,389","1,442","2,021","6,151","7,464","44,138","1,701","2,342","1,544","4,749","3,538","2,470","1,530",879,"1,569","2,058","2,663","7,867","3,936","1,564","3,761","1,967",0
2021년09월_계_30~39세,"81,427","39,520",776,343,"1,262",545,540,725,"1,616","2,378","5,270","1,267","5,067","1,187","1,337","2,126","1,064","1,082","1,615","5,256","6,064","41,907","1,301","1,846","1,300","3,960","3,537",959,"1,028",739,"1,602","1,886","1,922","9,310","2,908","1,732","5,134","2,743",0
2021년09월_계_40~49세,"105,344","51,903",884,488,"1,642",711,770,"1,128","1,903","3,328","6,846","1,704","7,412","1,596","1,703","3,283","1,450","1,347","2,063","6,919","6,726","53,441","1,796","3,065","1,419","5,994","3,073",836,"1,204","1,059","1,641","2,406","3,078","12,021","4,032","1,813","5,237","4,767",0
2021년09월_계_50~59세,"106,986","57,229","1,209",641,"1,922",859,"1,034","1,493","2,437","3,352","7,093","2,219","7,799","2,190","2,577","4,365","1,805","1,766","2,498","6,191","5,779","49,757","2,269","2,850","1,799","5,246","2,795","1,064","1,568","1,403","1,907","2,646","3,503","8,799","4,673","2,197","4,590","2,448",0
2021년09월_계_60~69세,"80,404","44,161","1,435",866,"2,135",917,"1,294","1,702","2,238","2,024","4,175","2,403","6,288","1,821","2,336","2,987","1,810","1,686","2,238","3,665","2,141","36,243","2,382","2,309","1,909","3,016","2,211",997,"1,653","1,399","1,657","1,944","2,900","4,704","3,265","1,837","3,037","1,023",0
2021년09월_계_70~79세,"44,795","24,289",983,687,"1,556",718,823,"1,106","1,199",916,"2,191","1,636","3,047",942,"1,188","1,462","1,225","1,014","1,239","1,433",924,"20,506","1,942","1,568","1,369","1,799","1,350",632,"1,271",936,849,987,"1,373","1,934","1,711",997,"1,429",359,0
2021년09월_계_80~89세,"20,451","11,049",486,323,768,366,422,490,567,410,"1,057",778,"1,347",397,446,758,533,352,559,570,420,"9,402","1,048",640,591,819,587,319,552,380,372,492,674,829,738,557,647,157,0
2021년09월_계_90~99세,"2,980","1,692",71,56,112,54,67,54,76,71,130,115,196,62,66,149,69,56,98,123,67,"1,288",129,78,66,111,87,44,52,45,55,71,97,143,111,79,89,31,0
2021년09월_계_100세 이상,94,60,9,0,5,0,3,5,3,3,1,2,7,4,0,2,2,1,3,3,7,34,2,2,3,3,3,0,3,1,1,2,3,1,3,0,6,1,0
2021년09월_남_총인구수,"323,927","164,477","3,750","2,015","5,960","2,639","3,142","4,216","6,973","9,789","19,999","6,204","22,276","5,626","6,518","10,673","5,178","4,814","6,936","19,259","18,510","159,450","6,956","8,858","5,579","15,765","10,519","4,229","4,879","4,147","5,671","7,570","9,629","30,930","12,909","6,491","15,494","9,824",0
2021년09월_남_연령구간인구수,"323,927","164,477","3,750","2,015","5,960","2,639","3,142","4,216","6,973","9,789","19,999","6,204","22,276","5,626","6,518","10,673","5,178","4,814","6,936","19,259","18,510","159,450","6,956","8,858","5,579","15,765","10,519","4,229","4,879","4,147","5,671","7,570","9,629","30,930","12,909","6,491","15,494","9,824",0
2021년09월_남_0~9세,"26,679","12,133",172,54,309,143,144,158,455,671,"1,665",298,"1,923",351,338,733,306,250,514,"2,192","1,457","14,546",318,698,280,"1,232","1,018",94,210,150,378,417,684,"4,092","1,006",456,"1,958","1,555",0
2021년09월_남_10~19세,"36,348","18,192",229,78,423,196,229,311,699,"1,340","2,478",444,"2,748",531,611,"1,251",479,445,744,"2,630","2,326","18,156",581,"1,159",368,"2,040",856,166,335,243,456,598,"1,244","4,551","1,580",516,"1,601","1,862",0
2021년09월_남_20~29세,"49,050","25,529",457,212,746,287,366,549,"1,141","1,676","3,251",736,"3,073",892,"1,050","1,681",740,751,"1,065","3,117","3,739","23,521",903,"1,246",782,"2,454","1,902","1,407",821,536,805,"1,107","1,463","4,183","2,049",873,"1,996",994,0
2021년09월_남_30~39세,"41,193","20,050",419,203,642,286,290,398,827,"1,241","2,625",703,"2,498",634,698,"1,054",535,540,801,"2,502","3,154","21,143",712,891,701,"1,999","1,831",570,565,455,869,"1,046",938,"4,422","1,478",923,"2,592","1,151",0
2021년09월_남_40~49세,"51,567","24,875",477,299,882,390,410,614,882,"1,563","3,131",925,"3,494",735,811,"1,513",732,664,960,"3,270","3,123","26,692",945,"1,456",769,"2,905","1,646",505,649,672,840,"1,275","1,409","5,784","1,895",998,"2,674","2,270",0
2021년09월_남_50~59세,"52,710","27,703",633,336,961,460,545,760,"1,110","1,684","3,432","1,096","3,720","1,031","1,162","2,072",844,827,"1,059","2,919","3,052","25,007","1,109","1,381",917,"2,614","1,398",577,782,808,944,"1,445","1,679","4,426","2,225","1,153","2,268","1,281",0
2021년09월_남_60~69세,"38,174","20,756",678,395,974,439,606,753,"1,042","1,002","2,006","1,110","2,944",867,"1,101","1,441",806,742,"1,005","1,770","1,075","17,418","1,130","1,040",863,"1,439","1,026",482,707,713,813,"1,020","1,363","2,283","1,592",943,"1,507",497,0
2021년09월_남_70~79세,"19,998","10,840",463,292,685,304,388,488,557,444,962,640,"1,392",437,575,630,518,449,545,663,408,"9,158",783,711,618,776,593,278,568,428,405,457,595,879,798,445,658,166,0
2021년09월_남_80~89세,"7,507","4,006",200,134,309,120,150,172,234,153,414,233,438,134,158,261,203,129,221,175,168,"3,501",430,260,265,281,231,139,222,134,145,187,233,280,261,169,220,44,0
2021년09월_남_90~99세,686,382,21,12,28,14,13,12,25,15,35,18,46,12,14,37,15,17,22,20,6,304,45,16,16,25,18,11,20,8,15,17,21,29,25,15,19,4,0
2021년09월_남_100세 이상,15,11,1,0,1,0,1,1,1,0,0,1,0,2,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
2021년09월_여_총인구수,"334,308","173,194","3,714","2,029","6,200","2,753","3,184","4,393","7,509","9,854","21,229","6,678","23,822","5,952","6,972","11,378","5,639","5,301","7,818","20,321","18,448","161,114","7,250","9,553","5,654","16,391","10,294","3,626","5,006","3,441","5,679","6,946","10,420","31,463","13,545","6,130","15,293","10,423",0
2021년09월_여_연령구간인구수,"334,308","173,194","3,714","2,029","6,200","2,753","3,184","4,393","7,509","9,854","21,229","6,678","23,822","5,952","6,972","11,378","5,639","5,301","7,818","20,321","18,448","161,114","7,250","9,553","5,654","16,391","10,294","3,626","5,006","3,441","5,679","6,946","10,420","31,463","13,545","6,130","15,293","10,423",0
2021년09월_여_0~9세,"25,380","11,450",141,44,271,124,133,128,415,651,"1,591",258,"1,894",310,322,749,262,254,422,"2,077","1,404","13,930",275,717,258,"1,227",970,107,193,136,407,397,690,"3,860",994,402,"1,804","1,493",0
2021년09월_여_10~19세,"33,989","16,773",232,71,366,181,198,297,583,"1,244","2,373",370,"2,525",516,587,"1,098",423,420,740,"2,370","2,179","17,216",462,"1,137",327,"1,960",788,167,286,218,456,612,"1,218","4,282","1,497",471,"1,494","1,841",0
2021년09월_여_20~29세,"44,308","23,691",380,181,643,291,303,463,"1,150","1,579","3,107",652,"2,772",779,929,"1,407",649,691,956,"3,034","3,725","20,617",798,"1,096",762,"2,295","1,636","1,063",709,343,764,951,"1,200","3,684","1,887",691,"1,765",973,0
2021년09월_여_30~39세,"40,234","19,470",357,140,620,259,250,327,789,"1,137","2,645",564,"2,569",553,639,"1,072",529,542,814,"2,754","2,910","20,764",589,955,599,"1,961","1,706",389,463,284,733,840,984,"4,888","1,430",809,"2,542","1,592",0
2021년09월_여_40~49세,"53,777","27,028",407,189,760,321,360,514,"1,021","1,765","3,715",779,"3,918",861,892,"1,770",718,683,"1,103","3,649","3,603","26,749",851,"1,609",650,"3,089","1,427",331,555,387,801,"1,131","1,669","6,237","2,137",815,"2,563","2,497",0
2021년09월_여_50~59세,"54,276","29,526",576,305,961,399,489,733,"1,327","1,668","3,661","1,123","4,079","1,159","1,415","2,293",961,939,"1,439","3,272","2,727","24,750","1,160","1,469",882,"2,632","1,397",487,786,595,963,"1,201","1,824","4,373","2,448","1,044","2,322","1,167",0
2021년09월_여_60~69세,"42,230","23,405",757,471,"1,161",478,688,949,"1,196","1,022","2,169","1,293","3,344",954,"1,235","1,546","1,004",944,"1,233","1,895","1,066","18,825","1,252","1,269","1,046","1,577","1,185",515,946,686,844,924,"1,537","2,421","1,673",894,"1,530",526,0
2021년09월_여_70~79세,"24,797","13,449",520,395,871,414,435,618,642,472,"1,229",996,"1,655",505,613,832,707,565,694,770,516,"11,348","1,159",857,751,"1,023",757,354,703,508,444,530,778,"1,055",913,552,771,193,0
2021년09월_여_80~89세,"12,944","7,043",286,189,459,246,272,318,333,257,643,545,909,263,288,497,330,223,338,395,252,"5,901",618,380,326,538,356,180,330,246,227,305,441,549,477,388,427,113,0
2021년09월_여_90~99세,"2,294","1,310",50,44,84,40,54,42,51,56,95,97,150,50,52,112,54,39,76,103,61,984,84,62,50,86,69,33,32,37,40,54,76,114,86,64,70,27,0
2021년09월_여_100세 이상,79,49,8,0,4,0,2,4,2,3,1,1,7,2,0,2,2,1,3,2,5,30,2,2,3,3,3,0,3,1,0,1,3,0,3,0,5,1,0
