카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년02월_계_총인구수,"25,430","5,293","1,884","2,510","2,096","2,531","2,664","1,823","6,629"
2020년02월_계_연령구간인구수,"25,430","5,293","1,884","2,510","2,096","2,531","2,664","1,823","6,629"
2020년02월_계_0~9세,"1,036",304,47,71,77,64,86,55,332
2020년02월_계_10~19세,"1,299",373,65,98,100,101,95,51,416
2020년02월_계_20~29세,"1,854",512,106,144,139,135,134,107,577
2020년02월_계_30~39세,"1,806",495,129,112,119,125,121,117,588
2020년02월_계_40~49세,"2,512",637,160,167,203,207,219,145,774
2020년02월_계_50~59세,"4,844","1,012",382,505,411,500,511,300,"1,223"
2020년02월_계_60~69세,"5,326",895,448,630,434,662,613,419,"1,225"
2020년02월_계_70~79세,"4,074",641,349,469,352,444,524,341,954
2020년02월_계_80~89세,"2,361",369,180,277,238,256,306,242,493
2020년02월_계_90~99세,298,47,18,34,21,36,54,44,44
2020년02월_계_100세 이상,20,8,0,3,2,1,1,2,3
2020년02월_남_총인구수,"12,708","2,632",930,"1,233","1,062","1,254","1,278",902,"3,417"
2020년02월_남_연령구간인구수,"12,708","2,632",930,"1,233","1,062","1,254","1,278",902,"3,417"
2020년02월_남_0~9세,537,163,22,36,38,36,47,28,167
2020년02월_남_10~19세,701,186,41,56,55,53,55,21,234
2020년02월_남_20~29세,"1,093",297,60,86,88,72,77,66,347
2020년02월_남_30~39세,"1,066",265,81,72,76,73,68,78,353
2020년02월_남_40~49세,"1,445",352,101,85,125,121,128,88,445
2020년02월_남_50~59세,"2,525",534,190,262,216,245,251,166,661
2020년02월_남_60~69세,"2,671",436,233,307,223,333,315,223,601
2020년02월_남_70~79세,"1,764",272,143,208,146,206,221,150,418
2020년02월_남_80~89세,839,119,56,112,90,106,104,72,180
2020년02월_남_90~99세,62,6,3,8,5,9,12,9,10
2020년02월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년02월_여_총인구수,"12,722","2,661",954,"1,277","1,034","1,277","1,386",921,"3,212"
2020년02월_여_연령구간인구수,"12,722","2,661",954,"1,277","1,034","1,277","1,386",921,"3,212"
2020년02월_여_0~9세,499,141,25,35,39,28,39,27,165
2020년02월_여_10~19세,598,187,24,42,45,48,40,30,182
2020년02월_여_20~29세,761,215,46,58,51,63,57,41,230
2020년02월_여_30~39세,740,230,48,40,43,52,53,39,235
2020년02월_여_40~49세,"1,067",285,59,82,78,86,91,57,329
2020년02월_여_50~59세,"2,319",478,192,243,195,255,260,134,562
2020년02월_여_60~69세,"2,655",459,215,323,211,329,298,196,624
2020년02월_여_70~79세,"2,310",369,206,261,206,238,303,191,536
2020년02월_여_80~89세,"1,522",250,124,165,148,150,202,170,313
2020년02월_여_90~99세,236,41,15,26,16,27,42,35,34
2020년02월_여_100세 이상,15,6,0,2,2,1,1,1,2
