카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년08월_계_총인구수,"50,803","24,161","1,773","1,844","2,702","1,598","1,645",860,"1,428","1,110","1,022","3,562","1,738","3,057","4,303"
2021년08월_계_연령구간인구수,"50,803","24,161","1,773","1,844","2,702","1,598","1,645",860,"1,428","1,110","1,022","3,562","1,738","3,057","4,303"
2021년08월_계_0~9세,"2,362","1,702",40,25,94,22,32,12,39,21,25,143,19,59,129
2021년08월_계_10~19세,"4,140","2,669",80,106,180,70,57,28,57,72,31,312,55,142,281
2021년08월_계_20~29세,"3,769","2,223",79,86,225,69,73,44,95,54,51,241,73,174,282
2021년08월_계_30~39세,"3,593","2,229",87,85,178,70,67,33,69,40,43,216,62,149,265
2021년08월_계_40~49세,"6,098","3,632",169,134,284,132,115,49,125,73,63,378,164,262,518
2021년08월_계_50~59세,"8,918","4,277",291,287,480,268,296,109,241,166,168,632,329,559,815
2021년08월_계_60~69세,"10,140","3,898",473,456,599,380,420,212,337,286,258,801,419,736,865
2021년08월_계_70~79세,"6,761","2,237",322,393,377,317,292,195,221,181,197,507,335,553,634
2021년08월_계_80~89세,"4,348","1,129",203,237,245,231,243,157,205,180,156,292,245,368,457
2021년08월_계_90~99세,658,161,28,35,39,38,50,21,38,36,28,40,35,54,55
2021년08월_계_100세 이상,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021년08월_남_총인구수,"25,509","12,142",916,905,"1,394",791,838,386,701,543,516,"1,730",863,"1,579","2,205"
2021년08월_남_연령구간인구수,"25,509","12,142",916,905,"1,394",791,838,386,701,543,516,"1,730",863,"1,579","2,205"
2021년08월_남_0~9세,"1,186",871,20,11,45,11,15,7,15,11,11,66,9,29,65
2021년08월_남_10~19세,"2,263","1,476",48,60,91,40,33,13,31,36,16,156,27,80,156
2021년08월_남_20~29세,"2,227","1,294",53,57,143,47,37,24,61,33,34,126,46,102,170
2021년08월_남_30~39세,"2,004","1,172",58,48,110,37,50,16,42,24,29,113,41,98,166
2021년08월_남_40~49세,"3,400","1,901",101,91,173,82,68,27,79,49,37,197,94,188,313
2021년08월_남_50~59세,"4,853","2,220",172,164,243,142,174,61,139,93,102,333,195,333,482
2021년08월_남_60~69세,"5,085","1,866",249,214,314,205,231,103,175,147,151,405,224,377,424
2021년08월_남_70~79세,"3,021",965,151,178,180,141,139,88,95,82,82,234,146,264,276
2021년08월_남_80~89세,"1,356",347,60,73,87,78,76,45,61,60,48,95,77,104,145
2021년08월_남_90~99세,112,29,4,9,8,8,15,2,3,8,5,5,4,4,8
2021년08월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년08월_여_총인구수,"25,294","12,019",857,939,"1,308",807,807,474,727,567,506,"1,832",875,"1,478","2,098"
2021년08월_여_연령구간인구수,"25,294","12,019",857,939,"1,308",807,807,474,727,567,506,"1,832",875,"1,478","2,098"
2021년08월_여_0~9세,"1,176",831,20,14,49,11,17,5,24,10,14,77,10,30,64
2021년08월_여_10~19세,"1,877","1,193",32,46,89,30,24,15,26,36,15,156,28,62,125
2021년08월_여_20~29세,"1,542",929,26,29,82,22,36,20,34,21,17,115,27,72,112
2021년08월_여_30~39세,"1,589","1,057",29,37,68,33,17,17,27,16,14,103,21,51,99
2021년08월_여_40~49세,"2,698","1,731",68,43,111,50,47,22,46,24,26,181,70,74,205
2021년08월_여_50~59세,"4,065","2,057",119,123,237,126,122,48,102,73,66,299,134,226,333
2021년08월_여_60~69세,"5,055","2,032",224,242,285,175,189,109,162,139,107,396,195,359,441
2021년08월_여_70~79세,"3,740","1,272",171,215,197,176,153,107,126,99,115,273,189,289,358
2021년08월_여_80~89세,"2,992",782,143,164,158,153,167,112,144,120,108,197,168,264,312
2021년08월_여_90~99세,546,132,24,26,31,30,35,19,35,28,23,35,31,50,47
2021년08월_여_100세 이상,14,3,1,0,1,1,0,0,1,1,1,0,2,1,2
