,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년07월_계_총인구수,"150,183","12,604","9,521","2,696","10,045","18,452","8,645","10,517","4,340","7,221","5,307","7,772","16,842","5,181","8,360","6,981","6,138","9,561"
2020년07월_계_연령구간인구수,"150,183","12,604","9,521","2,696","10,045","18,452","8,645","10,517","4,340","7,221","5,307","7,772","16,842","5,181","8,360","6,981","6,138","9,561"
2020년07월_계_0~9세,"7,825",863,586,104,578,"1,191",723,891,213,195,117,262,715,147,246,403,306,285
2020년07월_계_10~19세,"11,246","1,203",695,201,935,"1,654","1,020",867,338,217,232,451,"1,362",246,526,545,381,373
2020년07월_계_20~29세,"23,436","1,625","1,255",340,"1,373","2,489",942,"1,282",493,835,"1,108","1,716","4,464",621,"1,188",960,822,"1,923"
2020년07월_계_30~39세,"20,125","1,726","1,424",371,"1,213","2,242",974,"1,780",580,924,703,"1,267","2,129",524,906,978,850,"1,534"
2020년07월_계_40~49세,"22,569","2,189","1,481",369,"1,644","2,790","1,549","1,845",761,952,620,"1,045","2,294",664,"1,153",986,950,"1,277"
2020년07월_계_50~59세,"25,645","2,004","1,546",426,"1,727","3,317","1,425","1,604",698,"1,376",974,"1,124","2,310","1,157","1,827","1,287","1,152","1,691"
2020년07월_계_60~69세,"19,608","1,372","1,187",408,"1,288","2,449",991,"1,135",590,"1,383",766,929,"1,579",999,"1,330",986,871,"1,345"
2020년07월_계_70~79세,"12,564","1,019",781,287,805,"1,385",651,733,443,842,539,614,"1,254",557,814,542,538,760
2020년07월_계_80~89세,"5,835",509,460,153,393,751,302,318,178,365,199,303,621,212,305,237,224,305
2020년07월_계_90~99세,"1,063",75,86,30,78,160,51,47,36,92,40,48,92,45,52,46,35,50
2020년07월_계_100세 이상,267,19,20,7,11,24,17,15,10,40,9,13,22,9,13,11,9,18
2020년07월_남_총인구수,"73,214","5,886","4,278","1,300","4,762","8,651","4,027","4,887","2,010","4,329","2,880","3,665","8,145","2,810","4,303","3,415","2,993","4,873"
2020년07월_남_연령구간인구수,"73,214","5,886","4,278","1,300","4,762","8,651","4,027","4,887","2,010","4,329","2,880","3,665","8,145","2,810","4,303","3,415","2,993","4,873"
2020년07월_남_0~9세,"3,973",461,286,48,296,619,323,458,107,104,60,135,344,77,141,216,157,141
2020년07월_남_10~19세,"5,668",638,321,117,494,853,478,417,178,118,114,216,693,129,270,266,180,186
2020년07월_남_20~29세,"11,568",797,573,186,708,"1,283",432,600,233,434,570,810,"2,222",341,638,509,423,809
2020년07월_남_30~39세,"10,037",808,624,178,564,"1,050",438,839,276,527,416,601,"1,125",302,542,474,440,833
2020년07월_남_40~49세,"10,989",981,656,179,767,"1,225",743,869,360,578,364,527,"1,104",342,602,480,500,712
2020년07월_남_50~59세,"12,868",942,699,210,778,"1,499",738,766,320,964,556,549,"1,107",654,964,624,565,933
2020년07월_남_60~69세,"9,721",608,550,185,611,"1,166",456,495,271,879,438,445,766,586,657,485,401,722
2020년07월_남_70~79세,"5,595",416,336,132,361,615,262,297,181,502,260,255,502,277,344,248,225,382
2020년07월_남_80~89세,"2,331",204,193,52,158,291,128,127,73,171,84,106,244,81,122,84,86,127
2020년07월_남_90~99세,375,28,35,12,22,42,17,14,7,40,14,18,30,20,21,20,13,22
2020년07월_남_100세 이상,89,3,5,1,3,8,12,5,4,12,4,3,8,1,2,9,3,6
2020년07월_여_총인구수,"76,969","6,718","5,243","1,396","5,283","9,801","4,618","5,630","2,330","2,892","2,427","4,107","8,697","2,371","4,057","3,566","3,145","4,688"
2020년07월_여_연령구간인구수,"76,969","6,718","5,243","1,396","5,283","9,801","4,618","5,630","2,330","2,892","2,427","4,107","8,697","2,371","4,057","3,566","3,145","4,688"
2020년07월_여_0~9세,"3,852",402,300,56,282,572,400,433,106,91,57,127,371,70,105,187,149,144
2020년07월_여_10~19세,"5,578",565,374,84,441,801,542,450,160,99,118,235,669,117,256,279,201,187
2020년07월_여_20~29세,"11,868",828,682,154,665,"1,206",510,682,260,401,538,906,"2,242",280,550,451,399,"1,114"
2020년07월_여_30~39세,"10,088",918,800,193,649,"1,192",536,941,304,397,287,666,"1,004",222,364,504,410,701
2020년07월_여_40~49세,"11,580","1,208",825,190,877,"1,565",806,976,401,374,256,518,"1,190",322,551,506,450,565
2020년07월_여_50~59세,"12,777","1,062",847,216,949,"1,818",687,838,378,412,418,575,"1,203",503,863,663,587,758
2020년07월_여_60~69세,"9,887",764,637,223,677,"1,283",535,640,319,504,328,484,813,413,673,501,470,623
2020년07월_여_70~79세,"6,969",603,445,155,444,770,389,436,262,340,279,359,752,280,470,294,313,378
2020년07월_여_80~89세,"3,504",305,267,101,235,460,174,191,105,194,115,197,377,131,183,153,138,178
2020년07월_여_90~99세,688,47,51,18,56,118,34,33,29,52,26,30,62,25,31,26,22,28
2020년07월_여_100세 이상,178,16,15,6,8,16,5,10,6,28,5,10,14,8,11,2,6,12
