카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년05월_계_총인구수,"46,589","20,912","4,466","3,166","5,874","2,400","2,392","3,511","2,119","1,749"
2021년05월_계_연령구간인구수,"46,589","20,912","4,466","3,166","5,874","2,400","2,392","3,511","2,119","1,749"
2021년05월_계_0~9세,"2,129","1,448",121,68,248,34,31,76,68,35
2021년05월_계_10~19세,"3,565","1,978",203,592,387,80,71,117,66,71
2021년05월_계_20~29세,"3,790","2,291",371,134,373,132,109,191,112,77
2021년05월_계_30~39세,"3,367","2,032",238,120,415,103,88,171,129,71
2021년05월_계_40~49세,"5,023","2,929",411,186,627,163,161,270,148,128
2021년05월_계_50~59세,"8,603","3,683",856,535,"1,171",456,486,690,381,345
2021년05월_계_60~69세,"10,653","3,443","1,169",814,"1,451",746,776,"1,037",661,556
2021년05월_계_70~79세,"5,534","1,800",651,426,708,388,397,536,313,315
2021년05월_계_80~89세,"3,362","1,095",386,246,437,256,232,358,209,143
2021년05월_계_90~99세,536,202,58,42,52,39,40,65,30,8
2021년05월_계_100세 이상,27,11,2,3,5,3,1,0,2,0
2021년05월_남_총인구수,"23,910","10,541","2,353","1,618","3,068","1,240","1,212","1,832","1,127",919
2021년05월_남_연령구간인구수,"23,910","10,541","2,353","1,618","3,068","1,240","1,212","1,832","1,127",919
2021년05월_남_0~9세,"1,125",760,64,38,130,19,12,41,41,20
2021년05월_남_10~19세,"1,862","1,014",107,312,212,35,39,60,36,47
2021년05월_남_20~29세,"2,172","1,264",246,84,213,70,65,115,68,47
2021년05월_남_30~39세,"1,755","1,014",128,60,235,55,47,104,76,36
2021년05월_남_40~49세,"2,806","1,587",235,97,359,94,96,172,89,77
2021년05월_남_50~59세,"4,559","1,920",469,278,636,246,256,366,206,182
2021년05월_남_60~69세,"5,576","1,748",613,437,759,402,422,550,357,288
2021년05월_남_70~79세,"2,690",791,336,213,345,203,197,279,167,159
2021년05월_남_80~89세,"1,245",393,139,94,170,108,71,132,77,61
2021년05월_남_90~99세,116,49,16,5,9,6,7,13,9,2
2021년05월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년05월_여_총인구수,"22,679","10,371","2,113","1,548","2,806","1,160","1,180","1,679",992,830
2021년05월_여_연령구간인구수,"22,679","10,371","2,113","1,548","2,806","1,160","1,180","1,679",992,830
2021년05월_여_0~9세,"1,004",688,57,30,118,15,19,35,27,15
2021년05월_여_10~19세,"1,703",964,96,280,175,45,32,57,30,24
2021년05월_여_20~29세,"1,618","1,027",125,50,160,62,44,76,44,30
2021년05월_여_30~39세,"1,612","1,018",110,60,180,48,41,67,53,35
2021년05월_여_40~49세,"2,217","1,342",176,89,268,69,65,98,59,51
2021년05월_여_50~59세,"4,044","1,763",387,257,535,210,230,324,175,163
2021년05월_여_60~69세,"5,077","1,695",556,377,692,344,354,487,304,268
2021년05월_여_70~79세,"2,844","1,009",315,213,363,185,200,257,146,156
2021년05월_여_80~89세,"2,117",702,247,152,267,148,161,226,132,82
2021년05월_여_90~99세,420,153,42,37,43,33,33,52,21,6
2021년05월_여_100세 이상,23,10,2,3,5,1,1,0,1,0
