,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년04월_계_총인구수,"313,757","6,622","73,619","4,256","20,956","19,825","21,249","5,600","6,591","3,229","4,529","20,178","9,577","7,051","37,053","18,420","25,818","29,184"
2020년04월_계_연령구간인구수,"313,757","6,622","73,619","4,256","20,956","19,825","21,249","5,600","6,591","3,229","4,529","20,178","9,577","7,051","37,053","18,420","25,818","29,184"
2020년04월_계_0~9세,"34,256",397,"9,674",228,"3,137","2,741","2,468",150,320,61,116,"1,761",955,275,"4,303","1,599","2,635","3,436"
2020년04월_계_10~19세,"34,201",510,"9,084",351,"2,832","1,650","1,401",281,409,132,197,"2,084",723,574,"4,856","2,462","3,053","3,602"
2020년04월_계_20~29세,"35,954",574,"9,064",303,"2,501","2,028","2,436",449,567,210,375,"2,371","1,094",986,"4,506","2,084","3,510","2,896"
2020년04월_계_30~39세,"49,651",661,"13,791",271,"4,077","3,789","4,609",391,680,186,325,"2,555","1,825",586,"5,469","2,124","3,883","4,429"
2020년04월_계_40~49세,"55,414",929,"14,036",600,"4,329","3,323","3,355",596,977,288,426,"3,469","1,513",941,"6,881","3,479","4,692","5,580"
2020년04월_계_50~59세,"45,495","1,183","9,254",773,"2,223","2,702","3,020","1,066","1,303",545,885,"3,253","1,326","1,497","5,265","3,077","3,857","4,266"
2020년04월_계_60~69세,"30,257","1,103","4,928",780,963,"1,997","2,140","1,198","1,071",764,934,"2,332","1,098","1,132","3,102","1,874","2,230","2,611"
2020년04월_계_70~79세,"17,650",720,"2,460",560,546,975,"1,111",818,693,574,734,"1,476",674,683,"1,756","1,093","1,302","1,475"
2020년04월_계_80~89세,"9,517",476,"1,168",337,301,533,611,564,506,412,485,776,302,323,817,538,567,801
2020년04월_계_90~99세,"1,247",65,147,49,46,86,95,82,61,48,49,93,53,44,91,81,78,79
2020년04월_계_100세 이상,115,4,13,4,1,1,3,5,4,9,3,8,14,10,7,9,11,9
2020년04월_남_총인구수,"162,676","3,454","37,863","2,194","11,304","10,653","11,892","2,956","3,650","1,678","2,332","10,497","5,016","3,556","18,485","9,408","13,286","14,452"
2020년04월_남_연령구간인구수,"162,676","3,454","37,863","2,194","11,304","10,653","11,892","2,956","3,650","1,678","2,332","10,497","5,016","3,556","18,485","9,408","13,286","14,452"
2020년04월_남_0~9세,"17,624",195,"4,980",117,"1,605","1,350","1,289",75,163,37,54,913,490,133,"2,228",848,"1,388","1,759"
2020년04월_남_10~19세,"17,570",262,"4,667",186,"1,464",870,696,162,214,62,97,"1,060",380,309,"2,457","1,293","1,602","1,789"
2020년04월_남_20~29세,"19,951",339,"4,814",184,"1,458","1,245","1,453",283,370,120,220,"1,346",572,563,"2,357","1,190","1,966","1,471"
2020년04월_남_30~39세,"26,476",403,"7,138",146,"2,098","2,078","2,780",239,438,122,190,"1,369","1,030",323,"2,720","1,099","2,072","2,231"
2020년04월_남_40~49세,"30,111",532,"7,410",335,"2,505","1,961","2,107",369,622,192,253,"1,884",862,472,"3,526","1,784","2,421","2,876"
2020년04월_남_50~59세,"24,516",645,"4,897",434,"1,343","1,471","1,701",603,772,312,508,"1,792",707,774,"2,720","1,624","1,986","2,227"
2020년04월_남_60~69세,"14,988",546,"2,424",396,473,"1,032","1,152",628,562,367,486,"1,188",543,538,"1,438",889,"1,073","1,253"
2020년04월_남_70~79세,"7,785",335,"1,091",268,244,462,493,370,311,289,327,650,305,304,730,469,556,581
2020년04월_남_80~89세,"3,336",181,399,116,106,170,203,206,180,162,186,270,113,125,284,184,207,244
2020년04월_남_90~99세,285,14,35,12,8,14,18,18,17,10,11,24,9,13,24,26,14,18
2020년04월_남_100세 이상,34,2,8,0,0,0,0,3,1,5,0,1,5,2,1,2,1,3
2020년04월_여_총인구수,"151,081","3,168","35,756","2,062","9,652","9,172","9,357","2,644","2,941","1,551","2,197","9,681","4,561","3,495","18,568","9,012","12,532","14,732"
2020년04월_여_연령구간인구수,"151,081","3,168","35,756","2,062","9,652","9,172","9,357","2,644","2,941","1,551","2,197","9,681","4,561","3,495","18,568","9,012","12,532","14,732"
2020년04월_여_0~9세,"16,632",202,"4,694",111,"1,532","1,391","1,179",75,157,24,62,848,465,142,"2,075",751,"1,247","1,677"
2020년04월_여_10~19세,"16,631",248,"4,417",165,"1,368",780,705,119,195,70,100,"1,024",343,265,"2,399","1,169","1,451","1,813"
2020년04월_여_20~29세,"16,003",235,"4,250",119,"1,043",783,983,166,197,90,155,"1,025",522,423,"2,149",894,"1,544","1,425"
2020년04월_여_30~39세,"23,175",258,"6,653",125,"1,979","1,711","1,829",152,242,64,135,"1,186",795,263,"2,749","1,025","1,811","2,198"
2020년04월_여_40~49세,"25,303",397,"6,626",265,"1,824","1,362","1,248",227,355,96,173,"1,585",651,469,"3,355","1,695","2,271","2,704"
2020년04월_여_50~59세,"20,979",538,"4,357",339,880,"1,231","1,319",463,531,233,377,"1,461",619,723,"2,545","1,453","1,871","2,039"
2020년04월_여_60~69세,"15,269",557,"2,504",384,490,965,988,570,509,397,448,"1,144",555,594,"1,664",985,"1,157","1,358"
2020년04월_여_70~79세,"9,865",385,"1,369",292,302,513,618,448,382,285,407,826,369,379,"1,026",624,746,894
2020년04월_여_80~89세,"6,181",295,769,221,195,363,408,358,326,250,299,506,189,198,533,354,360,557
2020년04월_여_90~99세,962,51,112,37,38,72,77,64,44,38,38,69,44,31,67,55,64,61
2020년04월_여_100세 이상,81,2,5,4,1,1,3,2,3,4,3,7,9,8,6,7,10,6
