,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년12월_계_총인구수,"34,597","13,722","4,328","2,316","1,157","2,514","1,797","2,796","1,847","1,669",648,"1,803"
2020년12월_계_연령구간인구수,"34,597","13,722","4,328","2,316","1,157","2,514","1,797","2,796","1,847","1,669",648,"1,803"
2020년12월_계_0~9세,"1,775","1,023",237,67,29,51,76,107,45,49,16,75
2020년12월_계_10~19세,"2,520","1,361",343,118,42,140,95,129,74,85,49,84
2020년12월_계_20~29세,"2,865","1,538",352,142,68,126,80,178,109,100,34,138
2020년12월_계_30~39세,"2,461","1,313",315,110,53,113,87,161,94,74,26,115
2020년12월_계_40~49세,"3,773","1,872",480,189,103,205,166,250,127,147,54,180
2020년12월_계_50~59세,"5,649","2,244",700,400,182,368,294,428,323,271,107,332
2020년12월_계_60~69세,"6,198","2,036",743,469,262,555,393,600,353,330,105,352
2020년12월_계_70~79세,"5,233","1,419",602,452,250,517,321,517,380,315,133,327
2020년12월_계_80~89세,"3,566",794,489,322,138,371,256,366,297,249,104,180
2020년12월_계_90~99세,528,112,65,45,29,62,28,57,43,47,20,20
2020년12월_계_100세 이상,29,10,2,2,1,6,1,3,2,2,0,0
2020년12월_남_총인구수,"16,715","6,625","2,099","1,120",552,"1,216",849,"1,364",889,790,318,893
2020년12월_남_연령구간인구수,"16,715","6,625","2,099","1,120",552,"1,216",849,"1,364",889,790,318,893
2020년12월_남_0~9세,875,520,112,39,11,23,27,52,26,20,8,37
2020년12월_남_10~19세,"1,300",684,193,54,22,75,47,61,37,50,28,49
2020년12월_남_20~29세,"1,611",834,212,82,41,80,45,110,61,58,20,68
2020년12월_남_30~39세,"1,269",654,173,59,29,65,37,82,53,42,10,65
2020년12월_남_40~49세,"2,091",937,251,113,64,126,107,151,88,95,40,119
2020년12월_남_50~59세,"3,049","1,137",369,222,105,215,163,241,193,152,65,187
2020년12월_남_60~69세,"3,088",985,400,244,122,281,189,304,175,164,57,167
2020년12월_남_70~79세,"2,245",618,241,195,115,225,148,227,154,122,61,139
2020년12월_남_80~89세,"1,084",233,135,106,39,111,84,123,94,77,23,59
2020년12월_남_90~99세,99,22,13,6,4,14,2,12,7,10,6,3
2020년12월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년12월_여_총인구수,"17,882","7,097","2,229","1,196",605,"1,298",948,"1,432",958,879,330,910
2020년12월_여_연령구간인구수,"17,882","7,097","2,229","1,196",605,"1,298",948,"1,432",958,879,330,910
2020년12월_여_0~9세,900,503,125,28,18,28,49,55,19,29,8,38
2020년12월_여_10~19세,"1,220",677,150,64,20,65,48,68,37,35,21,35
2020년12월_여_20~29세,"1,254",704,140,60,27,46,35,68,48,42,14,70
2020년12월_여_30~39세,"1,192",659,142,51,24,48,50,79,41,32,16,50
2020년12월_여_40~49세,"1,682",935,229,76,39,79,59,99,39,52,14,61
2020년12월_여_50~59세,"2,600","1,107",331,178,77,153,131,187,130,119,42,145
2020년12월_여_60~69세,"3,110","1,051",343,225,140,274,204,296,178,166,48,185
2020년12월_여_70~79세,"2,988",801,361,257,135,292,173,290,226,193,72,188
2020년12월_여_80~89세,"2,482",561,354,216,99,260,172,243,203,172,81,121
2020년12월_여_90~99세,429,90,52,39,25,48,26,45,36,37,14,17
2020년12월_여_100세 이상,25,9,2,2,1,5,1,2,1,2,0,0
