카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년12월_계_총인구수,"33,753","13,256","4,407","2,232","1,120","2,435","1,765","2,748","1,811","1,595",620,"1,764"
2021년12월_계_연령구간인구수,"33,753","13,256","4,407","2,232","1,120","2,435","1,765","2,748","1,811","1,595",620,"1,764"
2021년12월_계_0~9세,"1,531",863,238,54,23,51,66,85,31,42,11,67
2021년12월_계_10~19세,"2,404","1,324",332,107,44,124,88,116,65,74,48,82
2021년12월_계_20~29세,"2,705","1,453",355,137,50,109,66,180,106,95,38,116
2021년12월_계_30~39세,"2,237","1,152",338,98,55,98,74,159,79,57,17,110
2021년12월_계_40~49세,"3,546","1,771",462,182,93,170,160,233,125,126,47,177
2021년12월_계_50~59세,"5,512","2,185",723,369,181,365,282,412,314,267,101,313
2021년12월_계_60~69세,"6,461","2,102",791,480,261,578,410,620,383,353,106,377
2021년12월_계_70~79세,"5,056","1,453",591,422,226,489,322,502,345,281,121,304
2021년12월_계_80~89세,"3,692",821,501,330,153,382,260,376,325,251,105,188
2021년12월_계_90~99세,599,131,74,51,33,68,37,65,36,48,26,30
2021년12월_계_100세 이상,10,1,2,2,1,1,0,0,2,1,0,0
2021년12월_남_총인구수,"16,359","6,394","2,134","1,081",535,"1,180",855,"1,355",886,753,309,877
2021년12월_남_연령구간인구수,"16,359","6,394","2,134","1,081",535,"1,180",855,"1,355",886,753,309,877
2021년12월_남_0~9세,756,438,113,30,7,26,28,42,20,17,5,30
2021년12월_남_10~19세,"1,237",653,188,47,23,67,43,57,34,44,31,50
2021년12월_남_20~29세,"1,533",797,205,78,32,65,39,114,62,52,23,66
2021년12월_남_30~39세,"1,152",579,172,53,30,59,36,84,48,29,4,58
2021년12월_남_40~49세,"1,948",872,249,118,61,104,102,140,80,79,36,107
2021년12월_남_50~59세,"3,015","1,120",380,199,110,215,159,239,192,152,66,183
2021년12월_남_60~69세,"3,268","1,029",431,249,122,301,205,318,199,178,58,178
2021년12월_남_70~79세,"2,199",633,239,183,100,219,153,229,142,113,52,136
2021년12월_남_80~89세,"1,136",247,143,116,46,111,86,117,100,77,28,65
2021년12월_남_90~99세,110,25,14,7,4,12,4,15,8,11,6,4
2021년12월_남_100세 이상,5,1,0,1,0,1,0,0,1,1,0,0
2021년12월_여_총인구수,"17,394","6,862","2,273","1,151",585,"1,255",910,"1,393",925,842,311,887
2021년12월_여_연령구간인구수,"17,394","6,862","2,273","1,151",585,"1,255",910,"1,393",925,842,311,887
2021년12월_여_0~9세,775,425,125,24,16,25,38,43,11,25,6,37
2021년12월_여_10~19세,"1,167",671,144,60,21,57,45,59,31,30,17,32
2021년12월_여_20~29세,"1,172",656,150,59,18,44,27,66,44,43,15,50
2021년12월_여_30~39세,"1,085",573,166,45,25,39,38,75,31,28,13,52
2021년12월_여_40~49세,"1,598",899,213,64,32,66,58,93,45,47,11,70
2021년12월_여_50~59세,"2,497","1,065",343,170,71,150,123,173,122,115,35,130
2021년12월_여_60~69세,"3,193","1,073",360,231,139,277,205,302,184,175,48,199
2021년12월_여_70~79세,"2,857",820,352,239,126,270,169,273,203,168,69,168
2021년12월_여_80~89세,"2,556",574,358,214,107,271,174,259,225,174,77,123
2021년12월_여_90~99세,489,106,60,44,29,56,33,50,28,37,20,26
2021년12월_여_100세 이상,5,0,2,1,1,0,0,0,1,0,0,0
