,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년06월_계_총인구수,"53,290","8,130","15,083","6,437","1,843","2,047","3,680","3,506","2,261","3,171","1,906","2,983","2,243"
2021년06월_계_연령구간인구수,"53,290","8,130","15,083","6,437","1,843","2,047","3,680","3,506","2,261","3,171","1,906","2,983","2,243"
2021년06월_계_0~9세,"3,346",554,"1,504",526,66,44,97,108,70,102,67,140,68
2021년06월_계_10~19세,"4,378",771,"1,827",667,88,68,184,128,105,166,80,191,103
2021년06월_계_20~29세,"5,000",865,"1,627",900,110,111,253,223,180,225,121,248,137
2021년06월_계_30~39세,"4,560",685,"1,808",786,112,86,211,183,135,160,98,153,143
2021년06월_계_40~49세,"7,321","1,028","2,902","1,247",166,178,374,319,189,287,137,281,213
2021년06월_계_50~59세,"9,412","1,410","2,572","1,393",308,387,645,580,411,539,301,493,373
2021년06월_계_60~69세,"8,316","1,275","1,574",537,346,448,805,800,463,608,389,589,482
2021년06월_계_70~79세,"6,244",918,839,240,312,386,643,648,388,616,377,478,399
2021년06월_계_80~89세,"4,133",515,394,119,297,294,422,450,294,407,292,354,295
2021년06월_계_90~99세,560,106,35,22,34,44,46,65,24,58,42,55,29
2021년06월_계_100세 이상,20,3,1,0,4,1,0,2,2,3,2,1,1
2021년06월_남_총인구수,"27,555","4,029","8,037","3,743",909,"1,035","1,855","1,765","1,152","1,531",920,"1,454","1,125"
2021년06월_남_연령구간인구수,"27,555","4,029","8,037","3,743",909,"1,035","1,855","1,765","1,152","1,531",920,"1,454","1,125"
2021년06월_남_0~9세,"1,685",287,715,268,42,17,48,63,48,58,29,78,32
2021년06월_남_10~19세,"2,320",415,971,354,41,45,97,69,65,89,45,84,45
2021년06월_남_20~29세,"2,932",481,891,558,66,70,175,147,108,138,74,140,84
2021년06월_남_30~39세,"2,475",346,906,467,75,47,127,109,86,89,56,79,88
2021년06월_남_40~49세,"4,351",540,"1,725",775,101,102,221,210,115,169,85,164,144
2021년06월_남_50~59세,"5,416",733,"1,491",865,195,235,349,349,232,306,177,277,207
2021년06월_남_60~69세,"4,314",644,834,315,165,262,414,399,247,302,200,291,241
2021년06월_남_70~79세,"2,676",399,382,104,128,168,271,288,157,246,151,206,176
2021년06월_남_80~89세,"1,275",159,117,33,87,81,144,121,89,123,98,122,101
2021년06월_남_90~99세,109,25,5,4,8,8,9,10,5,10,5,13,7
2021년06월_남_100세 이상,2,0,0,0,1,0,0,0,0,1,0,0,0
2021년06월_여_총인구수,"25,735","4,101","7,046","2,694",934,"1,012","1,825","1,741","1,109","1,640",986,"1,529","1,118"
2021년06월_여_연령구간인구수,"25,735","4,101","7,046","2,694",934,"1,012","1,825","1,741","1,109","1,640",986,"1,529","1,118"
2021년06월_여_0~9세,"1,661",267,789,258,24,27,49,45,22,44,38,62,36
2021년06월_여_10~19세,"2,058",356,856,313,47,23,87,59,40,77,35,107,58
2021년06월_여_20~29세,"2,068",384,736,342,44,41,78,76,72,87,47,108,53
2021년06월_여_30~39세,"2,085",339,902,319,37,39,84,74,49,71,42,74,55
2021년06월_여_40~49세,"2,970",488,"1,177",472,65,76,153,109,74,118,52,117,69
2021년06월_여_50~59세,"3,996",677,"1,081",528,113,152,296,231,179,233,124,216,166
2021년06월_여_60~69세,"4,002",631,740,222,181,186,391,401,216,306,189,298,241
2021년06월_여_70~79세,"3,568",519,457,136,184,218,372,360,231,370,226,272,223
2021년06월_여_80~89세,"2,858",356,277,86,210,213,278,329,205,284,194,232,194
2021년06월_여_90~99세,451,81,30,18,26,36,37,55,19,48,37,42,22
2021년06월_여_100세 이상,18,3,1,0,3,1,0,2,2,2,2,1,1
