카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년04월_계_총인구수,"414,730","14,834","38,224","26,608","1,858","1,702","2,205","4,067","3,134","24,239","3,767","3,005","29,452","2,202","38,935","14,429","16,774","3,314","3,216","13,239","4,383","30,967","18,822","48,161","16,368","46,423","4,402"
2021년04월_계_연령구간인구수,"414,730","14,834","38,224","26,608","1,858","1,702","2,205","4,067","3,134","24,239","3,767","3,005","29,452","2,202","38,935","14,429","16,774","3,314","3,216","13,239","4,383","30,967","18,822","48,161","16,368","46,423","4,402"
2021년04월_계_0~9세,"40,337",861,"3,649","5,583",43,12,43,64,68,"1,756",71,73,"2,272",71,"3,742","1,048",819,138,280,"1,675",328,"2,776","2,146","4,614",921,"6,698",586
2021년04월_계_10~19세,"44,394","1,124","3,915","2,304",58,54,112,151,196,"2,423",97,128,"3,413",124,"4,969","1,582","1,881",170,219,"1,098",346,"3,728","2,495","5,944","1,059","6,586",218
2021년04월_계_20~29세,"55,856","1,403","4,736","2,487",102,100,147,280,240,"3,379",467,300,"3,830",214,"5,092","1,933","2,688",613,417,"1,877",626,"4,673","2,374","7,116","4,217","5,862",683
2021년04월_계_30~39세,"64,745","1,256","4,887","7,910",83,78,98,212,179,"3,354",523,252,"3,419",152,"4,973","1,632","1,603",492,533,"2,809",694,"4,348","2,941","8,409","4,299","8,540","1,069"
2021년04월_계_40~49세,"72,787","1,940","5,882","4,469",129,139,188,410,375,"3,844",707,324,"4,911",274,"7,302","2,380","2,671",452,433,"2,153",761,"6,065","3,841","9,467","2,776","10,175",719
2021년04월_계_50~59세,"69,882","2,919","7,926","2,081",359,328,391,814,616,"4,459",838,592,"5,948",471,"7,134","2,980","3,849",624,630,"2,198",818,"6,006","3,144","7,022","1,744","5,345",646
2021년04월_계_60~69세,"41,166","2,773","4,455","1,053",485,429,519,926,654,"3,384",649,728,"3,796",533,"3,887","1,898","2,306",483,414,"1,011",492,"2,220","1,264","3,577",877,"1,982",371
2021년04월_계_70~79세,"16,079","1,452","1,626",390,301,273,370,654,462,"1,193",297,413,"1,217",236,"1,240",675,675,241,183,291,228,745,404,"1,325",325,778,85
2021년04월_계_80~89세,"8,250",943,980,288,256,252,296,491,306,404,95,174,579,111,518,273,247,89,94,112,78,349,183,599,119,396,18
2021년04월_계_90~99세,"1,194",158,164,41,42,36,41,62,36,41,22,20,67,15,76,27,33,12,10,15,11,56,29,87,29,58,6
2021년04월_계_100세 이상,40,5,4,2,0,1,0,3,2,2,1,1,0,1,2,1,2,0,3,0,1,1,1,1,2,3,1
