,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년11월_계_총인구수,"357,277","17,859","8,449","3,641","29,011","2,234","2,163","9,228","7,361","3,583","2,583","4,662","12,781","8,416","15,519","44,760","8,555","4,685","28,895","13,611","10,109","24,722","7,996","7,808","33,865","44,781"
2021년11월_계_연령구간인구수,"357,277","17,859","8,449","3,641","29,011","2,234","2,163","9,228","7,361","3,583","2,583","4,662","12,781","8,416","15,519","44,760","8,555","4,685","28,895","13,611","10,109","24,722","7,996","7,808","33,865","44,781"
2021년11월_계_0~9세,"27,466","1,065",322,98,"4,792",38,38,457,394,59,48,183,625,370,709,"3,283",384,152,"2,073",993,734,"1,658",255,486,"3,075","5,175"
2021년11월_계_10~19세,"35,355","1,563",496,118,"2,612",83,69,672,633,106,95,319,"1,279",734,"1,590","5,194",594,263,"2,366","1,195","1,095","2,545",636,869,"4,441","5,788"
2021년11월_계_20~29세,"44,958","2,019",929,306,"2,693",133,143,"1,449","1,002",178,170,669,"1,583","1,082","2,123","6,640","1,596",523,"4,283","1,971","1,062","2,927",864,921,"4,344","5,348"
2021년11월_계_30~39세,"45,353","1,791",679,224,"6,890",87,102,897,861,189,181,486,"1,198",751,"1,371","5,523",930,394,"4,301","1,574","1,028","2,704",644,742,"4,473","7,333"
2021년11월_계_40~49세,"56,762","2,847",889,326,"5,151",151,154,"1,207","1,135",265,245,562,"1,682","1,083","2,268","7,913",989,582,"4,025","2,142","1,705","4,006",968,"1,185","6,405","8,877"
2021년11월_계_50~59세,"61,198","3,381","1,661",673,"3,185",338,429,"1,635","1,436",730,538,858,"2,422","1,652","3,107","7,896","1,367",912,"5,322","2,288","1,766","4,560","1,525","1,484","5,403","6,630"
2021년11월_계_60~69세,"49,850","2,804","1,953",980,"2,392",690,615,"1,693","1,114","1,071",653,863,"2,112","1,505","2,505","4,930","1,418",984,"4,206","2,010","1,508","3,718","1,627","1,255","3,669","3,575"
2021년11월_계_70~79세,"21,429","1,423",848,460,774,386,358,668,444,558,333,400,"1,105",746,"1,072","2,061",772,507,"1,415",908,754,"1,543",822,487,"1,315","1,270"
2021년11월_계_80~89세,"12,889",840,566,401,441,283,213,491,291,374,272,286,679,432,675,"1,162",431,312,777,456,409,945,557,321,618,657
2021년11월_계_90~99세,"1,959",121,105,54,78,44,42,57,49,50,48,35,93,60,99,154,72,54,123,73,45,115,94,52,119,123
2021년11월_계_100세 이상,58,5,1,1,3,1,0,2,2,3,0,1,3,1,0,4,2,2,4,1,3,1,4,6,3,5
2021년11월_남_총인구수,"177,183","9,130","4,469","1,917","14,258","1,138","1,114","4,847","3,876","1,828","1,381","2,232","6,129","4,053","7,506","21,958","4,102","2,326","14,102","7,181","5,074","12,352","3,965","3,873","16,600","21,772"
2021년11월_남_연령구간인구수,"177,183","9,130","4,469","1,917","14,258","1,138","1,114","4,847","3,876","1,828","1,381","2,232","6,129","4,053","7,506","21,958","4,102","2,326","14,102","7,181","5,074","12,352","3,965","3,873","16,600","21,772"
2021년11월_남_0~9세,"13,967",536,174,56,"2,376",17,21,232,197,29,26,93,299,183,337,"1,696",184,76,"1,095",523,370,864,134,264,"1,561","2,624"
2021년11월_남_10~19세,"18,253",791,244,66,"1,307",34,31,348,339,64,51,168,694,359,801,"2,682",329,152,"1,220",666,577,"1,328",362,441,"2,360","2,839"
2021년11월_남_20~29세,"23,983","1,118",603,195,"1,307",77,83,831,560,91,88,344,847,592,"1,111","3,584",756,288,"2,244","1,137",559,"1,585",475,505,"2,347","2,656"
2021년11월_남_30~39세,"23,079",982,389,121,"3,430",50,70,485,482,115,104,244,604,392,709,"2,828",503,216,"2,263",841,534,"1,399",379,366,"2,182","3,391"
2021년11월_남_40~49세,"27,901","1,477",489,198,"2,641",101,80,651,590,159,156,299,788,508,"1,068","3,710",504,322,"1,909","1,123",863,"2,021",485,559,"2,946","4,254"
2021년11월_남_50~59세,"30,712","1,806",878,388,"1,485",198,248,885,788,382,330,415,"1,159",785,"1,547","3,841",644,467,"2,415","1,233",940,"2,314",787,741,"2,620","3,416"
2021년11월_남_60~69세,"24,738","1,445","1,045",515,"1,189",362,333,903,598,565,367,399,999,734,"1,226","2,355",649,467,"2,021","1,045",738,"1,844",790,636,"1,747","1,766"
2021년11월_남_70~79세,"9,576",650,413,234,365,189,158,321,209,268,151,167,473,324,470,839,341,214,625,418,327,661,349,230,601,579
2021년11월_남_80~89세,"4,527",290,207,135,142,99,85,177,105,141,96,88,246,163,216,389,168,112,288,178,158,306,182,118,212,226
2021년11월_남_90~99세,439,32,27,9,16,11,5,13,8,14,12,15,20,13,21,33,23,12,22,17,8,30,21,13,23,21
2021년11월_남_100세 이상,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
2021년11월_여_총인구수,"180,094","8,729","3,980","1,724","14,753","1,096","1,049","4,381","3,485","1,755","1,202","2,430","6,652","4,363","8,013","22,802","4,453","2,359","14,793","6,430","5,035","12,370","4,031","3,935","17,265","23,009"
2021년11월_여_연령구간인구수,"180,094","8,729","3,980","1,724","14,753","1,096","1,049","4,381","3,485","1,755","1,202","2,430","6,652","4,363","8,013","22,802","4,453","2,359","14,793","6,430","5,035","12,370","4,031","3,935","17,265","23,009"
2021년11월_여_0~9세,"13,499",529,148,42,"2,416",21,17,225,197,30,22,90,326,187,372,"1,587",200,76,978,470,364,794,121,222,"1,514","2,551"
2021년11월_여_10~19세,"17,102",772,252,52,"1,305",49,38,324,294,42,44,151,585,375,789,"2,512",265,111,"1,146",529,518,"1,217",274,428,"2,081","2,949"
2021년11월_여_20~29세,"20,975",901,326,111,"1,386",56,60,618,442,87,82,325,736,490,"1,012","3,056",840,235,"2,039",834,503,"1,342",389,416,"1,997","2,692"
2021년11월_여_30~39세,"22,274",809,290,103,"3,460",37,32,412,379,74,77,242,594,359,662,"2,695",427,178,"2,038",733,494,"1,305",265,376,"2,291","3,942"
