카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년02월_계_총인구수,"116,348","12,048","2,664","2,921","1,466","2,314","2,496","3,597","1,962","4,665","4,332","3,420","1,896","4,245","7,656","2,688","4,951","8,853","3,333","3,491","37,350"
2021년02월_계_연령구간인구수,"116,348","12,048","2,664","2,921","1,466","2,314","2,496","3,597","1,962","4,665","4,332","3,420","1,896","4,245","7,656","2,688","4,951","8,853","3,333","3,491","37,350"
2021년02월_계_0~9세,"10,128","1,107",46,59,16,81,44,64,35,98,125,84,30,107,607,146,222,733,111,119,"6,294"
2021년02월_계_10~19세,"9,545",780,154,131,58,123,84,159,51,165,208,129,53,199,856,219,353,914,259,205,"4,445"
2021년02월_계_20~29세,"12,410","1,185",197,255,100,146,175,238,120,349,393,313,112,310,"1,160",330,529,"1,292",274,393,"4,539"
2021년02월_계_30~39세,"14,550","1,583",127,166,70,118,118,200,91,265,313,248,97,234,932,257,376,917,219,301,"7,918"
2021년02월_계_40~49세,"16,716","1,717",228,257,122,223,191,313,154,387,446,362,155,365,"1,204",394,608,"1,371",317,416,"7,486"
2021년02월_계_50~59세,"17,318","1,969",471,532,258,360,383,596,348,886,765,675,375,733,"1,295",443,849,"1,457",632,616,"3,675"
2021년02월_계_60~69세,"16,362","1,922",571,634,323,514,575,833,436,"1,092",874,724,446,908,823,412,870,"1,064",647,677,"2,017"
2021년02월_계_70~79세,"11,551","1,124",496,481,281,431,521,664,382,780,750,506,363,822,485,294,744,721,525,467,714
2021년02월_계_80~89세,"6,682",573,314,357,202,285,357,457,301,538,388,333,230,495,259,161,342,322,295,244,229
2021년02월_계_90~99세,"1,019",84,55,46,36,29,48,69,42,100,62,46,34,69,33,32,54,60,50,38,32
2021년02월_계_100세 이상,67,4,5,3,0,4,0,4,2,5,8,0,1,3,2,0,4,2,4,15,1
2021년02월_남_총인구수,"58,542","6,062","1,338","1,533",718,"1,162","1,241","1,801",952,"2,401","2,273","1,775",979,"2,197","3,802","1,329","2,497","4,433","1,683","1,841","18,525"
2021년02월_남_연령구간인구수,"58,542","6,062","1,338","1,533",718,"1,162","1,241","1,801",952,"2,401","2,273","1,775",979,"2,197","3,802","1,329","2,497","4,433","1,683","1,841","18,525"
