카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년02월_계_총인구수,"42,381","6,370","4,471","6,003","13,480","3,889","3,519","2,563","2,086"
2021년02월_계_연령구간인구수,"42,381","6,370","4,471","6,003","13,480","3,889","3,519","2,563","2,086"
2021년02월_계_0~9세,"2,504",468,184,380,"1,076",155,132,69,40
2021년02월_계_10~19세,"3,753",569,301,512,"1,606",264,243,164,94
2021년02월_계_20~29세,"3,642",603,353,401,"1,418",274,304,156,133
2021년02월_계_30~39세,"3,659",576,278,532,"1,468",280,252,147,126
2021년02월_계_40~49세,"6,365",914,619,929,"2,567",490,392,268,186
2021년02월_계_50~59세,"7,299","1,113",786,966,"2,183",744,712,426,369
2021년02월_계_60~69세,"7,756","1,111","1,024","1,102","1,765",924,738,601,491
2021년02월_계_70~79세,"4,919",690,631,776,955,516,459,485,407
2021년02월_계_80~89세,"2,134",268,244,348,386,211,249,223,205
2021년02월_계_90~99세,285,43,44,48,48,26,30,20,26
2021년02월_계_100세 이상,65,15,7,9,8,5,8,4,9
2021년02월_남_총인구수,"21,456","3,176","2,276","3,066","6,841","1,955","1,730","1,329","1,083"
2021년02월_남_연령구간인구수,"21,456","3,176","2,276","3,066","6,841","1,955","1,730","1,329","1,083"
2021년02월_남_0~9세,"1,312",244,92,214,552,79,67,43,21
2021년02월_남_10~19세,"1,936",298,161,260,834,115,115,101,52
2021년02월_남_20~29세,"2,090",364,206,242,804,147,165,87,75
2021년02월_남_30~39세,"1,944",312,153,268,750,150,150,81,80
2021년02월_남_40~49세,"3,386",465,341,529,"1,304",273,205,163,106
2021년02월_남_50~59세,"3,893",539,430,554,"1,157",392,362,248,211
2021년02월_남_60~69세,"3,830",531,519,514,857,465,383,308,253
2021년02월_남_70~79세,"2,199",308,271,340,443,232,202,213,190
2021년02월_남_80~89세,774,97,91,128,128,95,75,78,82
2021년02월_남_90~99세,65,11,9,14,7,5,4,5,10
2021년02월_남_100세 이상,27,7,3,3,5,2,2,2,3
2021년02월_여_총인구수,"20,925","3,194","2,195","2,937","6,639","1,934","1,789","1,234","1,003"
2021년02월_여_연령구간인구수,"20,925","3,194","2,195","2,937","6,639","1,934","1,789","1,234","1,003"
2021년02월_여_0~9세,"1,192",224,92,166,524,76,65,26,19
2021년02월_여_10~19세,"1,817",271,140,252,772,149,128,63,42
2021년02월_여_20~29세,"1,552",239,147,159,614,127,139,69,58
2021년02월_여_30~39세,"1,715",264,125,264,718,130,102,66,46
2021년02월_여_40~49세,"2,979",449,278,400,"1,263",217,187,105,80
2021년02월_여_50~59세,"3,406",574,356,412,"1,026",352,350,178,158
2021년02월_여_60~69세,"3,926",580,505,588,908,459,355,293,238
2021년02월_여_70~79세,"2,720",382,360,436,512,284,257,272,217
2021년02월_여_80~89세,"1,360",171,153,220,258,116,174,145,123
2021년02월_여_90~99세,220,32,35,34,41,21,26,15,16
2021년02월_여_100세 이상,38,8,4,6,3,3,6,2,6
