카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년09월_계_총인구수,"432,628","16,642","23,013","15,521","14,769","24,047","14,986","15,409","18,285","23,076","15,134","25,007","35,595","16,618","39,005","26,492","19,581","24,392","13,782","16,059","35,215"
2021년09월_계_연령구간인구수,"432,628","16,642","23,013","15,521","14,769","24,047","14,986","15,409","18,285","23,076","15,134","25,007","35,595","16,618","39,005","26,492","19,581","24,392","13,782","16,059","35,215"
2021년09월_계_0~9세,"27,872",740,"1,038",543,784,"1,919",427,950,"1,387","1,432",562,"1,529","3,708","1,411","2,529","1,947","1,018","1,744",575,"1,710","1,919"
2021년09월_계_10~19세,"36,397","1,155","1,822",945,"1,244","2,774",808,914,"1,730","1,798",935,"2,063","4,905","1,430","3,622","2,561","1,436","1,904",862,"1,346","2,143"
2021년09월_계_20~29세,"66,125","2,752","4,204","4,526","1,964","2,886","5,231","2,609","2,261","3,216","3,108","3,285","3,392","2,027","5,623","3,028","3,502","3,378","1,980","2,034","5,119"
2021년09월_계_30~39세,"58,861","2,481","3,240","2,517","1,928","2,934","2,031","2,562","2,564","3,063","1,829","3,075","4,324","2,403","5,078","3,513","2,705","3,388","1,783","2,538","4,905"
2021년09월_계_40~49세,"67,997","2,510","3,447","1,955","2,082","4,287","1,586","2,336","3,129","3,482","1,821","4,049","7,738","2,858","6,242","4,482","2,754","3,719","1,877","2,618","5,025"
2021년09월_계_50~59세,"69,157","2,752","3,702","1,933","2,651","4,133","1,962","2,500","2,849","3,747","2,339","4,177","5,117","2,760","6,317","4,213","3,003","4,214","2,388","2,521","5,879"
2021년09월_계_60~69세,"56,666","2,092","2,802","1,520","2,221","2,791","1,506","1,950","2,279","3,427","2,295","3,653","3,365","2,151","4,981","3,659","2,754","3,448","2,264","1,973","5,535"
2021년09월_계_70~79세,"32,634","1,289","1,781","1,026","1,246","1,457",927,"1,061","1,357","1,951","1,425","2,132","2,060","1,069","2,859","2,107","1,600","1,753","1,385",930,"3,219"
2021년09월_계_80~89세,"14,808",716,857,473,577,732,449,466,646,842,713,900,858,449,"1,513",881,709,756,595,348,"1,328"
2021년09월_계_90~99세,"2,001",136,105,70,67,131,54,57,81,114,104,139,123,58,233,101,96,86,70,36,140
2021년09월_계_100세 이상,110,19,15,13,5,3,5,4,2,4,3,5,5,2,8,0,4,2,3,5,3
2021년09월_남_총인구수,"208,592","7,774","10,970","6,528","6,913","11,383","7,524","7,433","8,799","11,157","7,518","12,047","16,925","7,971","19,341","12,798","9,427","11,930","6,813","7,914","17,427"
2021년09월_남_연령구간인구수,"208,592","7,774","10,970","6,528","6,913","11,383","7,524","7,433","8,799","11,157","7,518","12,047","16,925","7,971","19,341","12,798","9,427","11,930","6,813","7,914","17,427"
2021년09월_남_0~9세,"14,232",357,543,264,385,961,218,475,721,738,293,804,"1,903",726,"1,296",988,544,872,296,872,976
2021년09월_남_10~19세,"18,475",598,947,399,608,"1,377",421,436,869,933,485,"1,073","2,402",759,"1,986","1,230",727,982,430,673,"1,140"
2021년09월_남_20~29세,"31,673","1,275","1,881","1,494",904,"1,411","2,686","1,243","1,125","1,585","1,732","1,679","1,626",938,"2,985","1,434","1,490","1,713",976,982,"2,514"
2021년09월_남_30~39세,"29,407","1,191","1,587","1,157",949,"1,383","1,133","1,331","1,264","1,571","1,045","1,490","1,935","1,164","2,568","1,746","1,405","1,764",935,"1,229","2,560"
2021년09월_남_40~49세,"33,504","1,200","1,683",931,977,"2,021",821,"1,170","1,502","1,727",901,"1,998","3,701","1,360","3,069","2,225","1,394","1,864","1,011","1,341","2,608"
2021년09월_남_50~59세,"34,082","1,300","1,846",963,"1,266","1,972",980,"1,212","1,400","1,796","1,142","2,007","2,636","1,361","3,143","2,112","1,521","2,040","1,212","1,272","2,901"
2021년09월_남_60~69세,"26,696",977,"1,375",683,"1,037","1,310",705,925,"1,072","1,592","1,028","1,644","1,502","1,013","2,411","1,751","1,330","1,623","1,076",953,"2,689"
2021년09월_남_70~79세,"14,221",531,752,438,560,629,381,453,567,865,608,958,868,467,"1,227",926,714,765,622,448,"1,442"
2021년09월_남_80~89세,"5,775",299,323,176,209,284,168,182,261,322,260,357,327,171,577,358,280,286,235,137,563
2021년09월_남_90~99세,501,39,30,22,18,35,9,5,18,26,24,36,25,11,75,28,22,20,20,6,32
2021년09월_남_100세 이상,26,7,3,1,0,0,2,1,0,2,0,1,0,1,4,0,0,1,0,1,2
2021년09월_여_총인구수,"224,036","8,868","12,043","8,993","7,856","12,664","7,462","7,976","9,486","11,919","7,616","12,960","18,670","8,647","19,664","13,694","10,154","12,462","6,969","8,145","17,788"
2021년09월_여_연령구간인구수,"224,036","8,868","12,043","8,993","7,856","12,664","7,462","7,976","9,486","11,919","7,616","12,960","18,670","8,647","19,664","13,694","10,154","12,462","6,969","8,145","17,788"
2021년09월_여_0~9세,"13,640",383,495,279,399,958,209,475,666,694,269,725,"1,805",685,"1,233",959,474,872,279,838,943
2021년09월_여_10~19세,"17,922",557,875,546,636,"1,397",387,478,861,865,450,990,"2,503",671,"1,636","1,331",709,922,432,673,"1,003"
2021년09월_여_20~29세,"34,452","1,477","2,323","3,032","1,060","1,475","2,545","1,366","1,136","1,631","1,376","1,606","1,766","1,089","2,638","1,594","2,012","1,665","1,004","1,052","2,605"
