카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년12월_계_총인구수,"465,617","48,475","13,294","10,810","30,081","9,045","13,265","11,425","3,910","7,567",0,565,0,160,0,"22,347","33,158","27,290","42,045","45,816","62,831","83,533"
2020년12월_계_연령구간인구수,"465,617","48,475","13,294","10,810","30,081","9,045","13,265","11,425","3,910","7,567",0,565,0,160,0,"22,347","33,158","27,290","42,045","45,816","62,831","83,533"
2020년12월_계_0~9세,"44,314","4,903",593,335,"1,775",186,657,484,99,583,0,22,0,5,0,"1,137","3,331","2,292","3,910","5,037","8,954","10,011"
2020년12월_계_10~19세,"49,062","4,777",801,739,"2,743",288,993,649,196,521,0,36,0,13,0,"1,511","4,246","2,767","5,585","5,837","7,511","9,849"
2020년12월_계_20~29세,"56,876","5,806","1,496","1,322","3,768","2,014","1,482","1,263",408,937,0,55,0,3,0,"3,452","4,286","3,802","4,676","5,482","6,733","9,891"
2020년12월_계_30~39세,"67,035","7,636","1,327",888,"3,022","2,148","1,454","1,043",256,874,0,47,0,11,0,"2,824","4,481","3,638","5,217","6,585","11,881","13,703"
2020년12월_계_40~49세,"80,840","7,563","1,697","1,239","4,497",957,"2,132","1,345",354,839,0,73,0,15,0,"3,305","6,067","4,342","8,391","8,894","12,379","16,751"
2020년12월_계_50~59세,"72,852","6,935","2,559","2,190","5,903","1,318","2,587","2,313",784,"1,223",0,100,0,29,0,"4,219","5,216","4,681","6,850","6,855","7,459","11,631"
2020년12월_계_60~69세,"49,418","5,247","2,313","2,035","4,499","1,166","2,006","2,228",798,"1,225",0,95,0,33,0,"3,104","2,820","3,099","3,999","4,009","4,268","6,474"
2020년12월_계_70~79세,"28,781","3,512","1,478","1,278","2,476",569,"1,173","1,246",586,905,0,96,0,32,0,"1,836","1,758","1,708","2,162","2,061","2,421","3,484"
2020년12월_계_80~89세,"14,168","1,811",852,670,"1,216",343,661,699,358,383,0,38,0,17,0,822,827,852,"1,070",916,"1,071","1,562"
2020년12월_계_90~99세,"2,075",256,136,102,167,52,112,141,60,75,0,3,0,2,0,122,115,105,173,131,152,171
2020년12월_계_100세 이상,196,29,42,12,15,4,8,14,11,2,0,0,0,0,0,15,11,4,12,9,2,6
2020년12월_남_총인구수,"236,049","24,753","7,063","5,729","15,280","5,756","7,183","6,218","2,041","4,070",0,288,0,86,0,"11,821","16,262","14,015","21,342","22,434","30,749","40,959"
2020년12월_남_연령구간인구수,"236,049","24,753","7,063","5,729","15,280","5,756","7,183","6,218","2,041","4,070",0,288,0,86,0,"11,821","16,262","14,015","21,342","22,434","30,749","40,959"
2020년12월_남_0~9세,"22,654","2,474",318,182,886,91,346,246,54,300,0,10,0,2,0,579,"1,714","1,144","1,990","2,581","4,600","5,137"
2020년12월_남_10~19세,"25,236","2,464",416,406,"1,380",161,520,357,103,296,0,14,0,4,0,793,"2,198","1,448","2,928","2,915","3,781","5,052"
2020년12월_남_20~29세,"30,130","3,189",906,804,"2,044","1,211",860,776,272,587,0,29,0,3,0,"1,944","2,171","2,091","2,553","2,648","3,175","4,867"
2020년12월_남_30~39세,"35,424","4,217",757,504,"1,652","1,749",858,622,143,494,0,23,0,6,0,"1,668","2,273","1,959","2,632","3,253","5,920","6,694"
