,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년03월_계_총인구수,"323,320","19,100","25,278","16,329","22,987","8,869","27,610","48,975","21,722","32,882","26,340","30,897","16,960","14,971","10,400"
2020년03월_계_연령구간인구수,"323,320","19,100","25,278","16,329","22,987","8,869","27,610","48,975","21,722","32,882","26,340","30,897","16,960","14,971","10,400"
2020년03월_계_0~9세,"24,737",885,"2,071","1,327","1,934",478,"1,705","3,733","1,306","2,334","2,050","3,629","1,585","1,275",425
2020년03월_계_10~19세,"31,820","1,159","3,224","1,246","2,487",610,"2,255","4,564","1,884","3,784","3,387","3,347","1,900","1,384",589
2020년03월_계_20~29세,"46,577","2,657","3,434","2,124","3,187","1,399","4,175","7,841","3,402","5,887","3,710","3,518","2,333","1,888","1,022"
2020년03월_계_30~39세,"43,227","2,281","2,980","2,077","3,045","1,274","4,010","7,883","2,388","3,734","3,001","4,909","2,385","2,132","1,128"
2020년03월_계_40~49세,"52,945","2,558","4,480","2,562","3,882","1,376","4,245","8,588","3,297","5,533","4,358","5,490","2,703","2,456","1,417"
2020년03월_계_50~59세,"62,530","3,885","4,837","3,281","4,070","1,772","5,473","9,292","4,842","6,696","5,395","4,929","3,258","2,779","2,021"
2020년03월_계_60~69세,"39,515","3,463","2,666","2,318","2,764","1,220","3,698","5,002","2,877","3,133","3,010","3,261","1,948","1,998","2,157"
2020년03월_계_70~79세,"15,874","1,631","1,173","1,001","1,185",550,"1,400","1,527","1,202","1,251","1,041","1,351",607,747,"1,208"
2020년03월_계_80~89세,"5,408",522,354,339,377,167,584,479,468,470,345,419,211,282,391
2020년03월_계_90~99세,655,54,57,50,53,23,61,63,56,59,43,41,30,27,38
2020년03월_계_100세 이상,32,5,2,4,3,0,4,3,0,1,0,3,0,3,4
2020년03월_남_총인구수,"164,896","9,723","12,979","8,318","11,600","4,726","13,952","25,235","11,088","16,848","13,221","15,474","8,516","7,675","5,541"
2020년03월_남_연령구간인구수,"164,896","9,723","12,979","8,318","11,600","4,726","13,952","25,235","11,088","16,848","13,221","15,474","8,516","7,675","5,541"
2020년03월_남_0~9세,"12,742",456,"1,100",698,992,251,888,"1,884",738,"1,202","1,046","1,823",804,651,209
2020년03월_남_10~19세,"16,794",590,"1,763",661,"1,286",322,"1,199","2,372",988,"1,973","1,868","1,724","1,007",716,325
2020년03월_남_20~29세,"26,012","1,512","1,953","1,169","1,767",808,"2,331","4,312","1,909","3,356","2,123","1,892","1,259","1,025",596
2020년03월_남_30~39세,"22,872","1,328","1,517","1,082","1,567",735,"2,185","4,231","1,310","2,006","1,486","2,417","1,188","1,139",681
2020년03월_남_40~49세,"25,791","1,351","2,087","1,302","1,888",739,"2,095","4,176","1,589","2,552","1,893","2,750","1,258","1,255",856
2020년03월_남_50~59세,"31,517","1,918","2,515","1,664","2,059",913,"2,615","4,716","2,443","3,398","2,637","2,476","1,636","1,395","1,132"
2020년03월_남_60~69세,"19,669","1,636","1,328","1,123","1,341",622,"1,810","2,589","1,415","1,605","1,543","1,592","1,000","1,029","1,036"
2020년03월_남_70~79세,"7,570",745,587,474,552,274,640,786,541,591,510,640,294,369,567
2020년03월_남_80~89세,"1,810",179,120,135,136,58,178,159,143,156,106,151,66,91,132
2020년03월_남_90~99세,109,7,8,8,11,4,10,9,12,9,9,9,4,2,7
2020년03월_남_100세 이상,10,1,1,2,1,0,1,1,0,0,0,0,0,3,0
2020년03월_여_총인구수,"158,424","9,377","12,299","8,011","11,387","4,143","13,658","23,740","10,634","16,034","13,119","15,423","8,444","7,296","4,859"
2020년03월_여_연령구간인구수,"158,424","9,377","12,299","8,011","11,387","4,143","13,658","23,740","10,634","16,034","13,119","15,423","8,444","7,296","4,859"
2020년03월_여_0~9세,"11,995",429,971,629,942,227,817,"1,849",568,"1,132","1,004","1,806",781,624,216
2020년03월_여_10~19세,"15,026",569,"1,461",585,"1,201",288,"1,056","2,192",896,"1,811","1,519","1,623",893,668,264
2020년03월_여_20~29세,"20,565","1,145","1,481",955,"1,420",591,"1,844","3,529","1,493","2,531","1,587","1,626","1,074",863,426
2020년03월_여_30~39세,"20,355",953,"1,463",995,"1,478",539,"1,825","3,652","1,078","1,728","1,515","2,492","1,197",993,447
2020년03월_여_40~49세,"27,154","1,207","2,393","1,260","1,994",637,"2,150","4,412","1,708","2,981","2,465","2,740","1,445","1,201",561
2020년03월_여_50~59세,"31,013","1,967","2,322","1,617","2,011",859,"2,858","4,576","2,399","3,298","2,758","2,453","1,622","1,384",889
2020년03월_여_60~69세,"19,846","1,827","1,338","1,195","1,423",598,"1,888","2,413","1,462","1,528","1,467","1,669",948,969,"1,121"
2020년03월_여_70~79세,"8,304",886,586,527,633,276,760,741,661,660,531,711,313,378,641
2020년03월_여_80~89세,"3,598",343,234,204,241,109,406,320,325,314,239,268,145,191,259
2020년03월_여_90~99세,546,47,49,42,42,19,51,54,44,50,34,32,26,25,31
2020년03월_여_100세 이상,22,4,1,2,2,0,3,2,0,1,0,3,0,0,4
