,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년11월_계_총인구수,"37,671","10,038","2,115","1,908","2,335","3,096","2,167","5,079","3,394","2,753","2,057","2,729"
2020년11월_계_연령구간인구수,"37,671","10,038","2,115","1,908","2,335","3,096","2,167","5,079","3,394","2,753","2,057","2,729"
2020년11월_계_0~9세,"1,288",632,61,45,38,77,52,115,84,72,46,66
2020년11월_계_10~19세,"2,033",921,122,55,91,136,95,210,120,111,64,108
2020년11월_계_20~29세,"2,947","1,287",134,106,132,216,142,266,189,214,118,143
2020년11월_계_30~39세,"2,441","1,012",109,77,104,197,123,232,184,153,120,130
2020년11월_계_40~49세,"3,846","1,487",176,156,194,299,189,394,290,273,167,221
2020년11월_계_50~59세,"7,354","1,679",431,437,453,685,440,"1,084",691,524,391,539
2020년11월_계_60~69세,"8,543","1,490",531,502,634,696,525,"1,351",895,641,574,704
2020년11월_계_70~79세,"5,424",965,301,291,392,473,341,877,517,452,341,474
2020년11월_계_80~89세,"3,320",511,215,211,259,284,223,474,365,279,194,305
2020년11월_계_90~99세,445,50,35,27,35,31,35,70,55,32,39,36
2020년11월_계_100세 이상,30,4,0,1,3,2,2,6,4,2,3,3
2020년11월_남_총인구수,"19,309","5,123","1,111",973,"1,212","1,554","1,092","2,611","1,727","1,425","1,066","1,415"
2020년11월_남_연령구간인구수,"19,309","5,123","1,111",973,"1,212","1,554","1,092","2,611","1,727","1,425","1,066","1,415"
2020년11월_남_0~9세,644,326,32,22,15,26,26,56,42,38,23,38
2020년11월_남_10~19세,"1,064",476,65,28,54,70,43,112,64,53,37,62
2020년11월_남_20~29세,"1,750",737,80,68,82,116,85,165,123,132,69,93
2020년11월_남_30~39세,"1,367",529,66,46,65,117,69,132,100,87,81,75
2020년11월_남_40~49세,"2,211",798,111,84,116,179,112,226,170,166,106,143
2020년11월_남_50~59세,"3,981",901,242,251,237,372,239,591,379,293,198,278
2020년11월_남_60~69세,"4,482",732,283,270,349,374,266,717,469,345,307,370
2020년11월_남_70~79세,"2,530",423,139,124,186,213,176,424,246,202,172,225
2020년11월_남_80~89세,"1,171",186,85,76,99,79,70,173,117,100,63,123
2020년11월_남_90~99세,102,14,8,4,8,8,6,14,16,8,10,6
2020년11월_남_100세 이상,7,1,0,0,1,0,0,1,1,1,0,2
2020년11월_여_총인구수,"18,362","4,915","1,004",935,"1,123","1,542","1,075","2,468","1,667","1,328",991,"1,314"
2020년11월_여_연령구간인구수,"18,362","4,915","1,004",935,"1,123","1,542","1,075","2,468","1,667","1,328",991,"1,314"
2020년11월_여_0~9세,644,306,29,23,23,51,26,59,42,34,23,28
2020년11월_여_10~19세,969,445,57,27,37,66,52,98,56,58,27,46
2020년11월_여_20~29세,"1,197",550,54,38,50,100,57,101,66,82,49,50
2020년11월_여_30~39세,"1,074",483,43,31,39,80,54,100,84,66,39,55
2020년11월_여_40~49세,"1,635",689,65,72,78,120,77,168,120,107,61,78
2020년11월_여_50~59세,"3,373",778,189,186,216,313,201,493,312,231,193,261
2020년11월_여_60~69세,"4,061",758,248,232,285,322,259,634,426,296,267,334
2020년11월_여_70~79세,"2,894",542,162,167,206,260,165,453,271,250,169,249
2020년11월_여_80~89세,"2,149",325,130,135,160,205,153,301,248,179,131,182
2020년11월_여_90~99세,343,36,27,23,27,23,29,56,39,24,29,30
2020년11월_여_100세 이상,23,3,0,1,2,2,2,5,3,1,3,1
