,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년04월_계_총인구수,"37,694","10,123","2,049","1,894","2,312","3,119","2,168","5,055","3,400","2,761","2,065","2,748"
2020년04월_계_연령구간인구수,"37,694","10,123","2,049","1,894","2,312","3,119","2,168","5,055","3,400","2,761","2,065","2,748"
2020년04월_계_0~9세,"1,311",660,51,33,34,92,54,121,83,68,46,69
2020년04월_계_10~19세,"2,117",965,128,53,94,151,99,211,122,120,64,110
2020년04월_계_20~29세,"3,028","1,323",122,107,134,217,141,279,214,217,123,151
2020년04월_계_30~39세,"2,519","1,049",105,94,99,193,109,251,183,170,123,143
2020년04월_계_40~49세,"3,935","1,493",188,162,193,324,195,406,290,280,179,225
2020년04월_계_50~59세,"7,420","1,663",418,435,466,697,462,"1,102",705,529,399,544
2020년04월_계_60~69세,"8,236","1,442",494,480,614,669,506,"1,294",870,621,557,689
2020년04월_계_70~79세,"5,429",976,300,294,392,478,341,863,516,454,337,478
2020년04월_계_80~89세,"3,239",499,210,208,247,271,224,452,360,272,197,299
2020년04월_계_90~99세,434,50,32,27,35,25,37,71,54,29,37,37
2020년04월_계_100세 이상,26,3,1,1,4,2,0,5,3,1,3,3
2020년04월_남_총인구수,"19,271","5,166","1,072",964,"1,201","1,554","1,085","2,596","1,732","1,420","1,066","1,415"
2020년04월_남_연령구간인구수,"19,271","5,166","1,072",964,"1,201","1,554","1,085","2,596","1,732","1,420","1,066","1,415"
2020년04월_남_0~9세,663,340,27,17,17,38,25,55,41,39,23,41
2020년04월_남_10~19세,"1,073",487,66,25,53,73,44,112,65,54,32,62
2020년04월_남_20~29세,"1,785",751,74,68,83,106,90,173,140,127,78,95
2020년04월_남_30~39세,"1,428",554,64,54,64,117,60,147,102,100,82,84
2020년04월_남_40~49세,"2,271",802,119,98,115,192,108,236,178,167,116,140
2020년04월_남_50~59세,"4,004",895,232,240,252,377,241,606,378,295,200,288
2020년04월_남_60~69세,"4,305",716,263,255,330,361,263,673,457,335,298,354
2020년04월_남_70~79세,"2,502",418,136,130,183,213,177,417,246,200,163,219
2020년04월_남_80~89세,"1,136",190,82,73,94,71,68,161,111,95,68,123
2020년04월_남_90~99세,98,13,9,4,9,6,9,15,13,7,6,7
2020년04월_남_100세 이상,6,0,0,0,1,0,0,1,1,1,0,2
2020년04월_여_총인구수,"18,423","4,957",977,930,"1,111","1,565","1,083","2,459","1,668","1,341",999,"1,333"
2020년04월_여_연령구간인구수,"18,423","4,957",977,930,"1,111","1,565","1,083","2,459","1,668","1,341",999,"1,333"
2020년04월_여_0~9세,648,320,24,16,17,54,29,66,42,29,23,28
2020년04월_여_10~19세,"1,044",478,62,28,41,78,55,99,57,66,32,48
2020년04월_여_20~29세,"1,243",572,48,39,51,111,51,106,74,90,45,56
2020년04월_여_30~39세,"1,091",495,41,40,35,76,49,104,81,70,41,59
2020년04월_여_40~49세,"1,664",691,69,64,78,132,87,170,112,113,63,85
2020년04월_여_50~59세,"3,416",768,186,195,214,320,221,496,327,234,199,256
2020년04월_여_60~69세,"3,931",726,231,225,284,308,243,621,413,286,259,335
2020년04월_여_70~79세,"2,927",558,164,164,209,265,164,446,270,254,174,259
2020년04월_여_80~89세,"2,103",309,128,135,153,200,156,291,249,177,129,176
2020년04월_여_90~99세,336,37,23,23,26,19,28,56,41,22,31,30
2020년04월_여_100세 이상,20,3,1,1,3,2,0,4,2,0,3,1
