,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년08월_계_총인구수,"40,754","9,200","12,023","1,127","1,410","1,177","1,195","1,719",899,"3,785","2,812","1,261","3,048","1,098"
2020년08월_계_연령구간인구수,"40,754","9,200","12,023","1,127","1,410","1,177","1,195","1,719",899,"3,785","2,812","1,261","3,048","1,098"
2020년08월_계_0~9세,"1,821",676,548,30,41,30,44,73,22,117,67,56,88,29
2020년08월_계_10~19세,"2,638",847,855,52,57,52,69,80,49,177,126,73,166,35
2020년08월_계_20~29세,"3,005",983,833,58,91,65,61,108,44,247,144,91,194,86
2020년08월_계_30~39세,"2,599",831,773,55,77,58,51,80,31,211,161,91,130,50
2020년08월_계_40~49세,"4,249","1,263","1,299",88,111,94,112,142,87,341,238,130,270,74
2020년08월_계_50~59세,"6,756","1,526","1,953",174,235,180,194,260,165,590,490,212,593,184
2020년08월_계_60~69세,"7,549","1,342","2,267",230,287,219,199,349,180,777,582,254,652,211
2020년08월_계_70~79세,"6,677",993,"2,015",202,260,226,239,320,183,735,532,205,545,222
2020년08월_계_80~89세,"4,715",655,"1,273",200,222,221,202,268,117,509,397,135,346,170
2020년08월_계_90~99세,707,78,192,38,28,32,23,38,20,80,70,14,59,35
2020년08월_계_100세 이상,38,6,15,0,1,0,1,1,1,1,5,0,5,2
2020년08월_남_총인구수,"19,796","4,508","5,862",544,697,560,574,812,459,"1,812","1,347",603,"1,489",529
2020년08월_남_연령구간인구수,"19,796","4,508","5,862",544,697,560,574,812,459,"1,812","1,347",603,"1,489",529
2020년08월_남_0~9세,958,357,300,15,23,11,25,29,11,65,30,32,45,15
2020년08월_남_10~19세,"1,342",407,444,33,32,28,38,45,24,99,63,32,79,18
2020년08월_남_20~29세,"1,698",547,473,32,46,35,36,61,25,143,83,56,117,44
2020년08월_남_30~39세,"1,388",414,430,32,49,24,29,42,21,111,83,51,69,33
2020년08월_남_40~49세,"2,414",635,732,57,69,56,74,83,57,212,150,75,165,49
2020년08월_남_50~59세,"3,763",823,"1,083",102,140,115,112,139,107,339,301,95,307,100
2020년08월_남_60~69세,"3,781",654,"1,101",128,161,109,107,194,91,379,278,133,337,109
2020년08월_남_70~79세,"2,821",428,855,89,103,106,89,137,81,295,219,85,239,95
2020년08월_남_80~89세,"1,476",226,400,47,71,65,60,71,39,155,122,44,118,58
2020년08월_남_90~99세,149,17,39,9,3,11,4,11,3,14,17,0,13,8
2020년08월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년08월_여_총인구수,"20,958","4,692","6,161",583,713,617,621,907,440,"1,973","1,465",658,"1,559",569
2020년08월_여_연령구간인구수,"20,958","4,692","6,161",583,713,617,621,907,440,"1,973","1,465",658,"1,559",569
2020년08월_여_0~9세,863,319,248,15,18,19,19,44,11,52,37,24,43,14
2020년08월_여_10~19세,"1,296",440,411,19,25,24,31,35,25,78,63,41,87,17
2020년08월_여_20~29세,"1,307",436,360,26,45,30,25,47,19,104,61,35,77,42
2020년08월_여_30~39세,"1,211",417,343,23,28,34,22,38,10,100,78,40,61,17
2020년08월_여_40~49세,"1,835",628,567,31,42,38,38,59,30,129,88,55,105,25
2020년08월_여_50~59세,"2,993",703,870,72,95,65,82,121,58,251,189,117,286,84
2020년08월_여_60~69세,"3,768",688,"1,166",102,126,110,92,155,89,398,304,121,315,102
2020년08월_여_70~79세,"3,856",565,"1,160",113,157,120,150,183,102,440,313,120,306,127
2020년08월_여_80~89세,"3,239",429,873,153,151,156,142,197,78,354,275,91,228,112
2020년08월_여_90~99세,558,61,153,29,25,21,19,27,17,66,53,14,46,27
2020년08월_여_100세 이상,32,6,10,0,1,0,1,1,1,1,4,0,5,2
