카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년06월_계_총인구수,"9,239","6,532",873,461,"1,373"
2020년06월_계_연령구간인구수,"9,239","6,532",873,461,"1,373"
2020년06월_계_0~9세,419,305,39,19,56
2020년06월_계_10~19세,488,389,37,16,46
2020년06월_계_20~29세,842,609,76,26,131
2020년06월_계_30~39세,919,680,58,38,143
2020년06월_계_40~49세,"1,329","1,019",96,33,181
2020년06월_계_50~59세,"1,888","1,349",197,93,249
2020년06월_계_60~69세,"1,747","1,199",173,104,271
2020년06월_계_70~79세,"1,024",658,114,83,169
2020년06월_계_80~89세,496,279,76,33,108
2020년06월_계_90~99세,76,34,7,16,19
2020년06월_계_100세 이상,11,11,0,0,0
2020년06월_남_총인구수,"5,026","3,559",468,240,759
2020년06월_남_연령구간인구수,"5,026","3,559",468,240,759
2020년06월_남_0~9세,220,161,19,12,28
2020년06월_남_10~19세,242,182,25,11,24
2020년06월_남_20~29세,503,355,50,12,86
2020년06월_남_30~39세,544,406,30,22,86
2020년06월_남_40~49세,823,621,60,22,120
2020년06월_남_50~59세,"1,074",768,115,50,141
2020년06월_남_60~69세,930,639,98,51,142
2020년06월_남_70~79세,469,301,44,43,81
2020년06월_남_80~89세,195,112,25,12,46
2020년06월_남_90~99세,21,9,2,5,5
2020년06월_남_100세 이상,5,5,0,0,0
2020년06월_여_총인구수,"4,213","2,973",405,221,614
2020년06월_여_연령구간인구수,"4,213","2,973",405,221,614
2020년06월_여_0~9세,199,144,20,7,28
2020년06월_여_10~19세,246,207,12,5,22
2020년06월_여_20~29세,339,254,26,14,45
2020년06월_여_30~39세,375,274,28,16,57
2020년06월_여_40~49세,506,398,36,11,61
2020년06월_여_50~59세,814,581,82,43,108
2020년06월_여_60~69세,817,560,75,53,129
2020년06월_여_70~79세,555,357,70,40,88
2020년06월_여_80~89세,301,167,51,21,62
2020년06월_여_90~99세,55,25,5,11,14
2020년06월_여_100세 이상,6,6,0,0,0
