카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년10월_계_총인구수,"415,083","20,593","25,933","32,450","30,900","26,813","4,343","34,332","15,728","22,175","19,149","20,908","16,908","19,619","18,812","23,486","43,239","22,035","17,660"
2021년10월_계_연령구간인구수,"415,083","20,593","25,933","32,450","30,900","26,813","4,343","34,332","15,728","22,175","19,149","20,908","16,908","19,619","18,812","23,486","43,239","22,035","17,660"
2021년10월_계_0~9세,"32,177","1,374","2,331","1,759","2,855","1,996",198,"3,267","1,723","1,867","1,614","1,416","1,070","1,124","1,317","1,584","3,503","1,340","1,839"
2021년10월_계_10~19세,"44,701","1,910","2,395","2,798","4,145","3,358",703,"3,802","2,829","3,014","2,213","2,812","1,324","1,640","1,840","2,671","4,339","1,582","1,326"
2021년10월_계_20~29세,"52,702","2,844","3,435","5,498","3,496","3,376",572,"4,222","1,323","2,408","2,225","2,633","2,356","2,613","2,268","3,045","5,179","3,345","1,864"
2021년10월_계_30~39세,"60,157","3,471","4,908","5,532","3,447","3,422",334,"5,629","1,340","2,454","2,477","2,339","2,863","3,005","2,466","3,339","6,333","4,275","2,523"
2021년10월_계_40~49세,"75,528","3,713","4,797","5,039","6,174","5,163",795,"7,067","3,617","4,490","3,585","3,871","2,739","3,004","2,925","4,320","7,522","3,672","3,035"
2021년10월_계_50~59세,"62,800","2,996","3,451","4,937","4,874","4,589",883,"4,555","2,204","3,617","2,924","3,486","2,462","3,062","3,097","3,652","6,232","3,349","2,430"
2021년10월_계_60~69세,"48,183","2,392","2,615","3,762","3,136","2,852",443,"3,315","1,375","2,308","2,333","2,301","2,173","2,879","2,785","2,461","5,810","2,699","2,544"
2021년10월_계_70~79세,"26,852","1,306","1,449","2,162","1,861","1,367",284,"1,786",918,"1,351","1,239","1,312","1,334","1,644","1,453","1,608","3,032","1,293","1,453"
2021년10월_계_80~89세,"10,137",494,472,830,771,570,114,579,347,549,448,629,511,551,561,710,"1,050",396,555
2021년10월_계_90~99세,"1,737",92,75,123,125,113,13,101,46,106,88,102,71,93,96,94,232,80,87
2021년10월_계_100세 이상,109,1,5,10,16,7,4,9,6,11,3,7,5,4,4,2,7,4,4
2021년10월_남_총인구수,"198,470","9,935","12,400","15,636","15,050","12,881","2,058","16,688","7,507","10,540","8,986","9,670","7,914","9,223","9,097","10,701","20,661","10,984","8,539"
2021년10월_남_연령구간인구수,"198,470","9,935","12,400","15,636","15,050","12,881","2,058","16,688","7,507","10,540","8,986","9,670","7,914","9,223","9,097","10,701","20,661","10,984","8,539"
2021년10월_남_0~9세,"16,532",726,"1,145",917,"1,507","1,035",113,"1,650",922,965,836,714,544,570,680,773,"1,794",723,918
2021년10월_남_10~19세,"22,745",999,"1,263","1,591","2,156","1,726",347,"1,915","1,385","1,543","1,117","1,306",706,824,941,"1,238","2,229",788,671
2021년10월_남_20~29세,"25,316","1,360","1,572","2,502","1,703","1,640",284,"1,944",638,"1,200","1,087","1,241","1,109","1,317","1,169","1,343","2,562","1,675",970
2021년10월_남_30~39세,"27,648","1,639","2,218","2,588","1,463","1,553",153,"2,629",512,"1,087","1,085","1,025","1,321","1,374","1,149","1,464","3,026","2,209","1,153"
