,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년11월_계_총인구수,"653,687","351,387","24,698","23,900","32,644","32,683","41,465","37,263","26,239","19,621","21,675","38,115","26,352","17,591","9,141","302,300","38,258","21,579","24,570","43,860","6,063","21,245","22,513","46,936","17,703","15,870","34,660","9,043"
2021년11월_계_연령구간인구수,"653,687","351,387","24,698","23,900","32,644","32,683","41,465","37,263","26,239","19,621","21,675","38,115","26,352","17,591","9,141","302,300","38,258","21,579","24,570","43,860","6,063","21,245","22,513","46,936","17,703","15,870","34,660","9,043"
2021년11월_계_0~9세,"42,019","22,029","1,562",983,"1,659","2,306","4,393","2,372","1,417",859,"1,364","2,070","1,590","1,013",441,"19,990","2,441","1,084","1,464","3,328",266,"1,562","1,515","3,690","1,261",826,"2,243",310
2021년11월_계_10~19세,"61,520","33,271","2,386","1,531","2,694","3,449","5,236","3,845","2,626","1,595","2,065","3,457","2,420","1,215",752,"28,249","3,722","1,796","1,977","5,080",312,"1,892","2,399","4,491","1,365","1,456","3,398",361
2021년11월_계_20~29세,"105,843","58,118","3,729","4,373","5,954","5,286","7,304","5,834","4,277","3,395","3,311","7,010","4,468","2,070","1,107","47,725","5,842","4,066","5,171","7,276",451,"3,169","3,069","7,336","2,640","2,392","5,605",708
2021년11월_계_30~39세,"85,300","43,966","3,011","3,683","4,585","4,135","5,691","4,438","2,907","2,370","2,361","4,455","3,299","2,093",938,"41,334","4,910","3,125","3,875","5,449",619,"3,167","2,780","7,294","2,939","1,761","4,747",668
2021년11월_계_40~49세,"104,151","55,630","4,286","3,813","5,262","5,322","7,104","6,549","4,082","2,941","3,433","5,642","3,385","2,524","1,287","48,521","6,833","3,101","3,537","7,021",921,"3,095","3,929","7,858","2,703","2,649","5,895",979
2021년11월_계_50~59세,"128,076","69,291","4,736","4,543","6,392","6,345","6,888","7,385","5,487","4,139","4,739","8,061","5,529","3,184","1,863","58,785","7,544","4,133","4,308","8,882","1,562","4,120","4,373","8,314","3,255","3,510","6,835","1,949"
2021년11월_계_60~69세,"78,867","41,947","2,802","2,892","3,173","3,736","3,550","4,050","3,177","2,511","2,664","4,759","3,781","3,170","1,682","36,920","4,290","2,601","2,951","4,767","1,070","2,871","2,849","4,867","2,303","2,060","3,948","2,343"
2021년11월_계_70~79세,"30,212","16,942","1,425","1,331","1,560","1,307",874,"1,779","1,422","1,104","1,082","1,618","1,154","1,585",701,"13,270","1,726","1,069",825,"1,263",571,968,"1,027","1,930",790,786,"1,239","1,076"
2021년11월_계_80~89세,"15,332","8,821",663,642,"1,153",695,356,902,734,638,584,909,585,637,323,"6,511",826,538,383,668,270,357,494,992,390,377,658,558
2021년11월_계_90~99세,"2,269","1,318",94,102,203,99,69,107,105,69,69,126,132,97,46,951,118,65,74,124,20,35,76,159,55,49,90,86
2021년11월_계_100세 이상,98,54,4,7,9,3,0,2,5,0,3,8,9,3,1,44,6,1,5,2,1,9,2,5,2,4,2,5
2021년11월_남_총인구수,"335,229","179,326","12,620","12,788","17,168","16,554","20,890","19,327","13,012","9,787","11,150","19,459","12,896","8,878","4,797","155,903","20,211","10,803","12,250","22,031","3,481","10,676","12,075","24,111","9,089","8,603","17,821","4,752"
2021년11월_남_연령구간인구수,"335,229","179,326","12,620","12,788","17,168","16,554","20,890","19,327","13,012","9,787","11,150","19,459","12,896","8,878","4,797","155,903","20,211","10,803","12,250","22,031","3,481","10,676","12,075","24,111","9,089","8,603","17,821","4,752"
2021년11월_남_0~9세,"21,494","11,258",794,492,866,"1,206","2,165","1,244",718,451,694,"1,059",842,504,223,"10,236","1,238",549,758,"1,682",135,796,782,"1,895",663,404,"1,153",181
2021년11월_남_10~19세,"31,670","17,051","1,154",792,"1,406","1,770","2,663","2,008","1,287",808,"1,031","1,852","1,251",636,393,"14,619","1,968",930,"1,000","2,623",157,944,"1,228","2,291",721,791,"1,775",191
2021년11월_남_20~29세,"56,282","30,934","1,933","2,312","3,293","2,801","3,908","3,123","2,224","1,764","1,750","3,743","2,332","1,122",629,"25,348","3,243","2,021","2,560","3,761",280,"1,617","1,765","3,965","1,419","1,292","3,015",410
2021년11월_남_30~39세,"46,561","23,874","1,651","2,180","2,681","2,190","2,780","2,419","1,551","1,291","1,318","2,432","1,699","1,149",533,"22,687","2,787","1,759","2,087","2,746",369,"1,693","1,585","4,054","1,651","1,007","2,569",380
2021년11월_남_40~49세,"53,499","28,443","2,299","2,158","2,848","2,668","3,423","3,419","1,980","1,461","1,784","2,798","1,548","1,361",696,"25,056","3,678","1,561","1,728","3,310",555,"1,560","2,190","4,018","1,413","1,482","3,001",560
2021년11월_남_50~59세,"65,245","35,202","2,503","2,456","3,368","3,156","3,451","3,880","2,731","2,013","2,488","4,031","2,539","1,560","1,026","30,043","4,065","2,053","2,084","4,351",973,"1,974","2,348","4,176","1,573","1,987","3,435","1,024"
