카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년03월_계_총인구수,"390,477","19,617","20,773","17,259","19,956","21,462","16,473","25,136","25,721","18,560","18,822","38,110","36,750","48,834","25,010","37,994"
2021년03월_계_연령구간인구수,"390,477","19,617","20,773","17,259","19,956","21,462","16,473","25,136","25,721","18,560","18,822","38,110","36,750","48,834","25,010","37,994"
2021년03월_계_0~9세,"38,511","1,368","1,500",877,921,"1,399",970,"1,227","2,331","1,365","1,525","3,186","4,867","6,911","3,798","6,266"
2021년03월_계_10~19세,"43,108","1,862","2,214","1,076","1,613","1,674","1,225","1,740","2,669","1,960","2,865","5,674","6,334","5,931","2,877","3,394"
2021년03월_계_20~29세,"52,354","2,663","2,990","2,421","3,125","3,384","2,231","3,478","3,534","2,668","2,559","6,560","3,626","6,244","2,788","4,083"
2021년03월_계_30~39세,"58,010","2,297","2,470","2,285","2,556","3,198","2,220","3,035","3,828","2,588","1,796","4,416","4,484","9,334","4,704","8,799"
2021년03월_계_40~49세,"68,994","3,112","3,329","2,344","3,270","3,083","2,191","3,652","4,201","2,934","3,396","6,625","8,543","9,867","5,213","7,234"
2021년03월_계_50~59세,"64,724","3,708","3,951","3,359","4,019","3,887","3,048","5,253","4,696","3,499","3,360","6,295","5,483","6,097","3,307","4,762"
2021년03월_계_60~69세,"40,229","2,560","2,521","2,981","2,692","2,853","2,560","3,973","2,969","2,232","1,992","3,505","2,233","2,973","1,632","2,553"
2021년03월_계_70~79세,"15,756","1,335","1,158","1,249","1,179","1,196","1,179","1,759",943,812,841,"1,190",762,"1,023",492,638
2021년03월_계_80~89세,"7,383",625,541,566,502,657,695,871,438,445,399,533,345,384,173,209
2021년03월_계_90~99세,"1,358",87,95,96,76,126,146,139,108,54,89,125,69,68,25,55
2021년03월_계_100세 이상,50,0,4,5,3,5,8,9,4,3,0,1,4,2,1,1
2021년03월_남_총인구수,"194,069","9,736","10,287","8,935","10,907","10,566","7,844","13,020","12,617","9,061","9,156","18,726","18,082","23,944","12,368","18,820"
2021년03월_남_연령구간인구수,"194,069","9,736","10,287","8,935","10,907","10,566","7,844","13,020","12,617","9,061","9,156","18,726","18,082","23,944","12,368","18,820"
2021년03월_남_0~9세,"19,665",703,752,464,472,724,497,636,"1,190",704,757,"1,654","2,479","3,486","1,937","3,210"
2021년03월_남_10~19세,"22,145",974,"1,149",556,890,849,637,873,"1,335","1,018","1,462","2,890","3,256","3,034","1,468","1,754"
2021년03월_남_20~29세,"27,151","1,454","1,585","1,365","1,771","1,814","1,126","1,989","1,816","1,373","1,333","3,283","1,853","3,037","1,371","1,981"
2021년03월_남_30~39세,"28,536","1,189","1,215","1,303","1,513","1,669","1,164","1,744","1,876","1,323",791,"2,093","1,882","4,352","2,190","4,232"
