,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년02월_계_총인구수,"102,745","4,557","3,883","10,544","7,845","8,822","10,399","4,372","4,697","3,191","8,055","11,855","7,943","16,582"
2021년02월_계_연령구간인구수,"102,745","4,557","3,883","10,544","7,845","8,822","10,399","4,372","4,697","3,191","8,055","11,855","7,943","16,582"
2021년02월_계_0~9세,"7,134",65,88,886,727,541,606,185,206,83,750,628,543,"1,826"
2021년02월_계_10~19세,"7,292",144,211,613,700,630,819,330,375,136,560,935,638,"1,201"
2021년02월_계_20~29세,"14,746","1,106",759,"1,338",898,"1,199","1,342",877,911,848,"1,110","1,392",934,"2,032"
2021년02월_계_30~39세,"13,329",613,422,"1,787",935,"1,143","1,072",472,426,381,"1,130","1,089",996,"2,863"
2021년02월_계_40~49세,"13,999",506,496,"1,458","1,179","1,237","1,369",571,608,342,"1,132","1,500","1,090","2,511"
2021년02월_계_50~59세,"15,627",659,518,"1,665","1,104","1,452","1,753",626,748,415,"1,194","1,842","1,268","2,383"
2021년02월_계_60~69세,"14,844",757,583,"1,469","1,012","1,233","1,684",610,626,470,"1,022","2,037","1,284","2,057"
2021년02월_계_70~79세,"10,308",483,519,917,832,898,"1,165",449,487,336,780,"1,511",817,"1,114"
2021년02월_계_80~89세,"4,743",189,248,351,410,426,536,214,267,156,328,802,320,496
2021년02월_계_90~99세,653,30,37,55,45,57,50,32,39,21,38,110,51,88
2021년02월_계_100세 이상,70,5,2,5,3,6,3,6,4,3,11,9,2,11
2021년02월_남_총인구수,"50,674","2,320","1,924","5,498","3,794","4,382","5,070","2,219","2,421","1,670","3,857","5,619","3,840","8,060"
2021년02월_남_연령구간인구수,"50,674","2,320","1,924","5,498","3,794","4,382","5,070","2,219","2,421","1,670","3,857","5,619","3,840","8,060"
2021년02월_남_0~9세,"3,680",37,41,453,375,276,308,116,121,42,397,313,290,911
2021년02월_남_10~19세,"3,763",65,108,322,370,334,421,173,212,61,267,497,327,606
2021년02월_남_20~29세,"7,562",431,378,715,491,631,691,467,515,447,537,732,473,"1,054"
2021년02월_남_30~39세,"6,928",341,244,975,467,602,550,269,229,224,557,553,508,"1,409"
2021년02월_남_40~49세,"7,285",316,259,793,566,661,713,305,318,206,598,719,562,"1,269"
2021년02월_남_50~59세,"7,706",380,265,920,539,734,836,315,377,232,572,845,589,"1,102"
2021년02월_남_60~69세,"7,013",399,281,730,463,584,782,277,305,225,465,921,595,986
2021년02월_남_70~79세,"4,559",256,214,439,330,385,522,193,207,149,324,658,363,519
2021년02월_남_80~89세,"1,979",86,125,138,177,159,229,95,123,75,128,341,119,184
2021년02월_남_90~99세,182,9,9,13,15,15,18,6,13,7,10,36,14,17
2021년02월_남_100세 이상,17,0,0,0,1,1,0,3,1,2,2,4,0,3
2021년02월_여_총인구수,"52,071","2,237","1,959","5,046","4,051","4,440","5,329","2,153","2,276","1,521","4,198","6,236","4,103","8,522"
2021년02월_여_연령구간인구수,"52,071","2,237","1,959","5,046","4,051","4,440","5,329","2,153","2,276","1,521","4,198","6,236","4,103","8,522"
2021년02월_여_0~9세,"3,454",28,47,433,352,265,298,69,85,41,353,315,253,915
2021년02월_여_10~19세,"3,529",79,103,291,330,296,398,157,163,75,293,438,311,595
2021년02월_여_20~29세,"7,184",675,381,623,407,568,651,410,396,401,573,660,461,978
2021년02월_여_30~39세,"6,401",272,178,812,468,541,522,203,197,157,573,536,488,"1,454"
2021년02월_여_40~49세,"6,714",190,237,665,613,576,656,266,290,136,534,781,528,"1,242"
2021년02월_여_50~59세,"7,921",279,253,745,565,718,917,311,371,183,622,997,679,"1,281"
2021년02월_여_60~69세,"7,831",358,302,739,549,649,902,333,321,245,557,"1,116",689,"1,071"
2021년02월_여_70~79세,"5,749",227,305,478,502,513,643,256,280,187,456,853,454,595
2021년02월_여_80~89세,"2,764",103,123,213,233,267,307,119,144,81,200,461,201,312
2021년02월_여_90~99세,471,21,28,42,30,42,32,26,26,14,28,74,37,71
2021년02월_여_100세 이상,53,5,2,5,2,5,3,3,3,1,9,5,2,8
