,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년11월_계_총인구수,"26,665","7,288","1,247","1,582","1,414","1,635","3,575","1,316","1,504","3,247","1,504","1,173","1,180"
2021년11월_계_연령구간인구수,"26,665","7,288","1,247","1,582","1,414","1,635","3,575","1,316","1,504","3,247","1,504","1,173","1,180"
2021년11월_계_0~9세,"1,291",656,28,52,46,47,103,40,39,156,38,34,52
2021년11월_계_10~19세,"1,575",729,47,50,61,74,200,47,54,157,60,47,49
2021년11월_계_20~29세,"1,872",656,63,98,87,89,254,82,68,230,124,65,56
2021년11월_계_30~39세,"1,790",754,51,83,88,73,210,63,61,216,65,61,65
2021년11월_계_40~49세,"2,659","1,040",111,133,106,136,327,110,105,280,140,78,93
2021년11월_계_50~59세,"4,497","1,063",205,318,221,271,586,226,244,621,311,224,207
2021년11월_계_60~69세,"5,209","1,035",247,404,318,355,777,291,320,663,301,260,238
2021년11월_계_70~79세,"4,214",761,254,253,277,311,589,239,305,524,255,233,213
2021년11월_계_80~89세,"3,072",511,207,164,181,245,456,186,258,355,181,153,175
2021년11월_계_90~99세,472,82,33,27,27,34,73,31,50,42,27,14,32
2021년11월_계_100세 이상,14,1,1,0,2,0,0,1,0,3,2,4,0
2021년11월_남_총인구수,"13,646","3,705",627,832,724,849,"1,810",690,764,"1,658",796,594,597
2021년11월_남_연령구간인구수,"13,646","3,705",627,832,724,849,"1,810",690,764,"1,658",796,594,597
2021년11월_남_0~9세,664,345,10,25,18,24,63,21,21,78,19,11,29
2021년11월_남_10~19세,839,380,23,32,40,46,115,19,26,74,38,20,26
2021년11월_남_20~29세,"1,112",378,43,54,55,59,149,54,41,131,77,35,36
2021년11월_남_30~39세,993,404,29,44,53,45,123,35,34,117,41,36,32
2021년11월_남_40~49세,"1,600",567,78,81,69,88,190,67,71,173,102,52,62
2021년11월_남_50~59세,"2,561",588,123,182,121,145,336,143,144,359,177,134,109
2021년11월_남_60~69세,"2,851",533,139,223,176,209,404,177,174,350,173,150,143
2021년11월_남_70~79세,"1,878",333,108,126,126,135,258,99,151,245,107,97,93
2021년11월_남_80~89세,"1,039",164,66,56,60,90,152,68,95,115,58,57,58
2021년11월_남_90~99세,106,13,7,9,6,8,20,6,7,16,4,1,9
2021년11월_남_100세 이상,3,0,1,0,0,0,0,1,0,0,0,1,0
2021년11월_여_총인구수,"13,019","3,583",620,750,690,786,"1,765",626,740,"1,589",708,579,583
2021년11월_여_연령구간인구수,"13,019","3,583",620,750,690,786,"1,765",626,740,"1,589",708,579,583
2021년11월_여_0~9세,627,311,18,27,28,23,40,19,18,78,19,23,23
2021년11월_여_10~19세,736,349,24,18,21,28,85,28,28,83,22,27,23
2021년11월_여_20~29세,760,278,20,44,32,30,105,28,27,99,47,30,20
2021년11월_여_30~39세,797,350,22,39,35,28,87,28,27,99,24,25,33
2021년11월_여_40~49세,"1,059",473,33,52,37,48,137,43,34,107,38,26,31
2021년11월_여_50~59세,"1,936",475,82,136,100,126,250,83,100,262,134,90,98
2021년11월_여_60~69세,"2,358",502,108,181,142,146,373,114,146,313,128,110,95
2021년11월_여_70~79세,"2,336",428,146,127,151,176,331,140,154,279,148,136,120
2021년11월_여_80~89세,"2,033",347,141,108,121,155,304,118,163,240,123,96,117
2021년11월_여_90~99세,366,69,26,18,21,26,53,25,43,26,23,13,23
2021년11월_여_100세 이상,11,1,0,0,2,0,0,0,0,3,2,3,0
