,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년01월_계_총인구수,"70,919","5,792","1,117","3,195",832,"2,419","3,032","2,360","2,772","1,935","3,552","2,595","5,810","7,070","8,996","3,138","16,304"
2021년01월_계_연령구간인구수,"70,919","5,792","1,117","3,195",832,"2,419","3,032","2,360","2,772","1,935","3,552","2,595","5,810","7,070","8,996","3,138","16,304"
2021년01월_계_0~9세,"4,013",203,43,109,11,58,87,43,59,84,88,73,364,430,655,127,"1,579"
2021년01월_계_10~19세,"5,493",334,63,147,39,247,125,146,105,76,124,89,403,564,839,150,"2,042"
2021년01월_계_20~29세,"6,127",384,72,155,35,142,179,310,148,93,212,113,537,615,836,212,"2,084"
2021년01월_계_30~39세,"5,634",364,48,155,43,100,161,98,128,96,218,127,582,630,787,241,"1,856"
2021년01월_계_40~49세,"8,663",591,108,262,76,179,251,179,224,170,297,180,696,853,"1,328",318,"2,951"
2021년01월_계_50~59세,"11,940","1,027",221,530,179,344,476,385,479,351,605,496,989,"1,135","1,543",530,"2,650"
2021년01월_계_60~69세,"13,409","1,275",260,711,200,558,718,534,639,500,760,659,"1,133","1,406","1,547",673,"1,836"
2021년01월_계_70~79세,"9,242",996,172,596,147,389,541,351,515,316,702,467,721,952,930,536,911
2021년01월_계_80~89세,"5,519",526,112,445,87,347,415,272,411,219,479,322,350,428,466,306,334
2021년01월_계_90~99세,821,81,18,81,14,55,76,42,59,30,61,62,31,49,60,43,59
2021년01월_계_100세 이상,58,11,0,4,1,0,3,0,5,0,6,7,4,8,5,2,2
2021년01월_남_총인구수,"34,770","2,808",569,"1,552",431,"1,255","1,518","1,127","1,384",993,"1,679","1,189","2,847","3,427","4,477","1,569","7,945"
2021년01월_남_연령구간인구수,"34,770","2,808",569,"1,552",431,"1,255","1,518","1,127","1,384",993,"1,679","1,189","2,847","3,427","4,477","1,569","7,945"
2021년01월_남_0~9세,"2,074",94,22,52,5,26,44,22,34,44,40,36,204,232,354,56,809
2021년01월_남_10~19세,"2,974",179,34,90,23,157,62,75,59,41,72,46,230,285,490,87,"1,044"
2021년01월_남_20~29세,"3,481",240,45,95,19,80,126,133,94,56,117,66,314,366,504,130,"1,096"
2021년01월_남_30~39세,"2,973",204,26,84,18,62,85,57,78,56,127,70,310,347,400,133,916
2021년01월_남_40~49세,"4,653",327,66,144,44,112,165,103,143,110,195,113,383,450,700,198,"1,400"
2021년01월_남_50~59세,"6,172",540,125,284,105,203,272,217,278,177,337,244,468,560,750,303,"1,309"
2021년01월_남_60~69세,"6,500",607,134,376,121,289,356,279,339,292,367,322,492,629,704,327,866
2021년01월_남_70~79세,"3,993",416,78,263,64,189,251,143,228,136,282,196,306,412,396,240,393
2021년01월_남_80~89세,"1,771",181,37,142,32,125,144,91,119,74,127,80,133,138,160,90,98
2021년01월_남_90~99세,164,16,2,22,0,12,13,7,10,7,12,14,7,6,18,5,13
2021년01월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021년01월_여_총인구수,"36,149","2,984",548,"1,643",401,"1,164","1,514","1,233","1,388",942,"1,873","1,406","2,963","3,643","4,519","1,569","8,359"
2021년01월_여_연령구간인구수,"36,149","2,984",548,"1,643",401,"1,164","1,514","1,233","1,388",942,"1,873","1,406","2,963","3,643","4,519","1,569","8,359"
2021년01월_여_0~9세,"1,939",109,21,57,6,32,43,21,25,40,48,37,160,198,301,71,770
2021년01월_여_10~19세,"2,519",155,29,57,16,90,63,71,46,35,52,43,173,279,349,63,998
2021년01월_여_20~29세,"2,646",144,27,60,16,62,53,177,54,37,95,47,223,249,332,82,988
2021년01월_여_30~39세,"2,661",160,22,71,25,38,76,41,50,40,91,57,272,283,387,108,940
2021년01월_여_40~49세,"4,010",264,42,118,32,67,86,76,81,60,102,67,313,403,628,120,"1,551"
2021년01월_여_50~59세,"5,768",487,96,246,74,141,204,168,201,174,268,252,521,575,793,227,"1,341"
2021년01월_여_60~69세,"6,909",668,126,335,79,269,362,255,300,208,393,337,641,777,843,346,970
2021년01월_여_70~79세,"5,249",580,94,333,83,200,290,208,287,180,420,271,415,540,534,296,518
2021년01월_여_80~89세,"3,748",345,75,303,55,222,271,181,292,145,352,242,217,290,306,216,236
2021년01월_여_90~99세,657,65,16,59,14,43,63,35,49,23,49,48,24,43,42,38,46
2021년01월_여_100세 이상,43,7,0,4,1,0,3,0,3,0,3,5,4,6,4,2,1
