카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년02월_계_총인구수,"22,285","7,458","2,119","2,373","4,441","2,106","2,196","1,592"
2020년02월_계_연령구간인구수,"22,285","7,458","2,119","2,373","4,441","2,106","2,196","1,592"
2020년02월_계_0~9세,"1,212",584,83,78,247,54,96,70
2020년02월_계_10~19세,"1,684",736,114,125,367,103,150,89
2020년02월_계_20~29세,"1,721",657,155,156,391,128,154,80
2020년02월_계_30~39세,"1,683",743,122,129,330,120,144,95
2020년02월_계_40~49세,"2,656","1,051",206,224,587,202,232,154
2020년02월_계_50~59세,"3,804","1,170",346,423,789,379,427,270
2020년02월_계_60~69세,"4,071","1,152",393,514,750,489,400,373
2020년02월_계_70~79세,"3,111",825,374,421,562,345,338,246
2020년02월_계_80~89세,"2,048",477,285,262,369,240,231,184
2020년02월_계_90~99세,275,60,39,39,41,43,22,31
2020년02월_계_100세 이상,20,3,2,2,8,3,2,0
2020년02월_남_총인구수,"11,095","3,680","1,042","1,202","2,248","1,054","1,081",788
2020년02월_남_연령구간인구수,"11,095","3,680","1,042","1,202","2,248","1,054","1,081",788
2020년02월_남_0~9세,627,295,47,49,126,25,51,34
2020년02월_남_10~19세,843,349,62,64,206,55,64,43
2020년02월_남_20~29세,965,353,97,88,219,77,84,47
2020년02월_남_30~39세,879,361,66,79,179,69,81,44
2020년02월_남_40~49세,"1,529",590,122,137,324,126,133,97
2020년02월_남_50~59세,"2,134",641,196,226,455,220,247,149
2020년02월_남_60~69세,"2,045",551,189,282,371,249,202,201
2020년02월_남_70~79세,"1,333",359,166,184,241,141,135,107
2020년02월_남_80~89세,673,165,86,88,117,81,78,58
2020년02월_남_90~99세,63,15,11,5,9,11,4,8
2020년02월_남_100세 이상,4,1,0,0,1,0,2,0
2020년02월_여_총인구수,"11,190","3,778","1,077","1,171","2,193","1,052","1,115",804
2020년02월_여_연령구간인구수,"11,190","3,778","1,077","1,171","2,193","1,052","1,115",804
2020년02월_여_0~9세,585,289,36,29,121,29,45,36
2020년02월_여_10~19세,841,387,52,61,161,48,86,46
2020년02월_여_20~29세,756,304,58,68,172,51,70,33
2020년02월_여_30~39세,804,382,56,50,151,51,63,51
2020년02월_여_40~49세,"1,127",461,84,87,263,76,99,57
2020년02월_여_50~59세,"1,670",529,150,197,334,159,180,121
2020년02월_여_60~69세,"2,026",601,204,232,379,240,198,172
2020년02월_여_70~79세,"1,778",466,208,237,321,204,203,139
2020년02월_여_80~89세,"1,375",312,199,174,252,159,153,126
2020년02월_여_90~99세,212,45,28,34,32,32,18,23
2020년02월_여_100세 이상,16,2,2,2,7,3,0,0
