카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년10월_계_총인구수,"218,571","10,384","17,391","8,939","4,849","11,385","13,467","19,601","33,954","23,313","22,615","20,520","11,019","21,134"
2020년10월_계_연령구간인구수,"218,571","10,384","17,391","8,939","4,849","11,385","13,467","19,601","33,954","23,313","22,615","20,520","11,019","21,134"
2020년10월_계_0~9세,"16,843",463,"1,383",431,232,937,472,"1,372","3,525","1,117","1,489","2,037","1,333","2,052"
2020년10월_계_10~19세,"20,224",647,"1,327",610,322,"1,123",677,"1,620","3,664","2,131","2,331","1,913","1,292","2,567"
2020년10월_계_20~29세,"27,183","1,099","2,195","1,355",591,"1,511","1,616","2,425","3,956","3,251","3,019","2,315","1,367","2,483"
2020년10월_계_30~39세,"26,667","1,082","2,482","1,040",521,"1,627","1,356","2,444","4,434","2,119","2,333","2,844","1,712","2,673"
2020년10월_계_40~49세,"34,565","1,417","2,662","1,172",575,"1,797","1,676","2,885","6,002","3,540","3,370","3,381","1,836","4,252"
2020년10월_계_50~59세,"41,617","1,924","3,484","1,808",993,"2,076","2,649","3,616","5,911","5,088","4,806","3,732","1,972","3,558"
2020년10월_계_60~69세,"31,516","2,034","2,491","1,487",965,"1,402","2,846","3,128","4,201","3,568","3,402","2,790","1,008","2,194"
2020년10월_계_70~79세,"14,156","1,232",982,757,467,637,"1,510","1,448","1,639","1,744","1,361","1,064",355,960
2020년10월_계_80~89세,"5,126",429,339,245,155,234,577,603,543,692,444,405,127,333
2020년10월_계_90~99세,617,52,44,32,21,38,65,58,78,60,56,37,16,60
2020년10월_계_100세 이상,57,5,2,2,7,3,23,2,1,3,4,2,1,2
2020년10월_남_총인구수,"110,780","5,299","9,053","4,547","2,428","5,671","6,950","9,829","16,965","11,837","11,462","10,402","5,549","10,788"
2020년10월_남_연령구간인구수,"110,780","5,299","9,053","4,547","2,428","5,671","6,950","9,829","16,965","11,837","11,462","10,402","5,549","10,788"
2020년10월_남_0~9세,"8,706",239,713,238,134,458,249,738,"1,863",545,744,"1,032",685,"1,068"
2020년10월_남_10~19세,"10,807",335,692,318,164,608,360,867,"1,943","1,182","1,273","1,029",679,"1,357"
2020년10월_남_20~29세,"15,148",631,"1,217",734,323,814,894,"1,351","2,259","1,848","1,700","1,288",729,"1,360"
2020년10월_남_30~39세,"14,010",612,"1,369",582,303,872,831,"1,264","2,143","1,161","1,221","1,465",830,"1,357"
2020년10월_남_40~49세,"17,587",807,"1,432",607,297,874,937,"1,448","2,955","1,761","1,648","1,764",886,"2,171"
2020년10월_남_50~59세,"20,767","1,014","1,790",901,472,"1,005","1,348","1,808","2,789","2,552","2,395","1,824","1,016","1,853"
2020년10월_남_60~69세,"15,359",957,"1,230",709,463,656,"1,440","1,506","2,043","1,764","1,653","1,370",512,"1,056"
2020년10월_남_70~79세,"6,506",543,483,366,203,304,657,616,782,793,651,490,161,457
2020년10월_남_80~89세,"1,774",155,119,87,58,73,215,216,178,218,170,134,48,103
2020년10월_남_90~99세,104,5,8,5,7,7,15,15,10,12,7,5,3,5
2020년10월_남_100세 이상,12,1,0,0,4,0,4,0,0,1,0,1,0,1
2020년10월_여_총인구수,"107,791","5,085","8,338","4,392","2,421","5,714","6,517","9,772","16,989","11,476","11,153","10,118","5,470","10,346"
2020년10월_여_연령구간인구수,"107,791","5,085","8,338","4,392","2,421","5,714","6,517","9,772","16,989","11,476","11,153","10,118","5,470","10,346"
2020년10월_여_0~9세,"8,137",224,670,193,98,479,223,634,"1,662",572,745,"1,005",648,984
2020년10월_여_10~19세,"9,417",312,635,292,158,515,317,753,"1,721",949,"1,058",884,613,"1,210"
2020년10월_여_20~29세,"12,035",468,978,621,268,697,722,"1,074","1,697","1,403","1,319","1,027",638,"1,123"
2020년10월_여_30~39세,"12,657",470,"1,113",458,218,755,525,"1,180","2,291",958,"1,112","1,379",882,"1,316"
2020년10월_여_40~49세,"16,978",610,"1,230",565,278,923,739,"1,437","3,047","1,779","1,722","1,617",950,"2,081"
2020년10월_여_50~59세,"20,850",910,"1,694",907,521,"1,071","1,301","1,808","3,122","2,536","2,411","1,908",956,"1,705"
2020년10월_여_60~69세,"16,157","1,077","1,261",778,502,746,"1,406","1,622","2,158","1,804","1,749","1,420",496,"1,138"
2020년10월_여_70~79세,"7,650",689,499,391,264,333,853,832,857,951,710,574,194,503
2020년10월_여_80~89세,"3,352",274,220,158,97,161,362,387,365,474,274,271,79,230
2020년10월_여_90~99세,513,47,36,27,14,31,50,43,68,48,49,32,13,55
2020년10월_여_100세 이상,45,4,2,2,3,3,19,2,1,2,4,1,1,1
