,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년10월_계_총인구수,"140,413","7,114","3,018","3,142","2,479","3,321","4,080","3,201","3,489","1,947","2,248","2,834","1,596","1,254","2,208","1,051","6,790","7,675","3,980","25,024","20,463","11,069","22,430"
2020년10월_계_연령구간인구수,"140,413","7,114","3,018","3,142","2,479","3,321","4,080","3,201","3,489","1,947","2,248","2,834","1,596","1,254","2,208","1,051","6,790","7,675","3,980","25,024","20,463","11,069","22,430"
2020년10월_계_0~9세,"10,521",384,111,74,63,73,151,94,88,56,60,56,39,27,51,12,221,218,142,"2,150","1,417",910,"4,124"
2020년10월_계_10~19세,"12,135",425,130,147,100,105,197,148,193,78,96,87,58,36,199,36,379,444,242,"3,053","2,303","1,106","2,573"
2020년10월_계_20~29세,"14,687",557,259,251,193,179,315,264,303,153,140,177,89,67,119,48,639,813,328,"3,638","2,392","1,410","2,353"
2020년10월_계_30~39세,"15,256",586,208,199,142,177,212,195,217,125,123,140,72,50,112,29,566,713,266,"2,858","2,104","1,308","4,854"
2020년10월_계_40~49세,"19,374",831,307,303,209,252,429,288,327,178,202,199,118,113,164,87,834,866,417,"4,093","2,981","1,855","4,321"
2020년10월_계_50~59세,"23,943","1,455",558,599,482,591,751,636,741,382,436,540,273,215,386,234,"1,134","1,355",682,"4,257","3,721","1,949","2,566"
2020년10월_계_60~69세,"21,742","1,403",644,691,601,808,883,754,786,411,523,657,367,313,470,270,"1,512","1,602",848,"2,715","2,980","1,455","1,049"
2020년10월_계_70~79세,"13,452",842,441,480,401,587,669,506,468,288,351,516,314,231,382,156,"1,005","1,051",657,"1,387","1,618",720,382
2020년10월_계_80~89세,"8,062",537,317,333,248,475,397,278,305,243,276,388,227,175,288,160,446,534,358,775,829,300,173
2020년10월_계_90~99세,"1,184",92,43,60,39,73,72,36,57,32,39,72,36,25,34,17,54,74,37,91,115,53,33
2020년10월_계_100세 이상,57,2,0,5,1,1,4,2,4,1,2,2,3,2,3,2,0,5,3,7,3,3,2
2020년10월_남_총인구수,"70,434","3,579","1,576","1,614","1,254","1,658","2,072","1,642","1,789","1,010","1,115","1,398",801,622,"1,107",509,"3,460","3,755","1,924","12,408","10,174","5,644","11,323"
2020년10월_남_연령구간인구수,"70,434","3,579","1,576","1,614","1,254","1,658","2,072","1,642","1,789","1,010","1,115","1,398",801,622,"1,107",509,"3,460","3,755","1,924","12,408","10,174","5,644","11,323"
2020년10월_남_0~9세,"5,448",199,55,41,37,48,85,52,51,39,29,29,20,17,34,7,122,111,79,"1,114",716,459,"2,104"
2020년10월_남_10~19세,"6,536",223,69,83,55,56,124,87,104,46,53,55,35,19,109,20,181,240,132,"1,566","1,345",611,"1,323"
2020년10월_남_20~29세,"8,255",326,148,156,123,114,195,146,188,77,82,89,59,38,75,32,380,469,169,"2,016","1,398",789,"1,186"
2020년10월_남_30~39세,"8,044",303,130,108,77,103,115,114,126,91,69,85,45,31,69,13,349,434,141,"1,444","1,071",733,"2,393"
2020년10월_남_40~49세,"10,209",469,199,186,134,159,238,178,183,112,120,126,71,71,94,51,512,486,233,"1,980","1,449",948,"2,210"
2020년10월_남_50~59세,"12,517",764,328,343,269,326,406,343,408,208,236,313,160,126,210,129,605,673,353,"2,140","1,777","1,015","1,385"
2020년10월_남_60~69세,"10,664",725,321,380,303,437,459,390,407,211,273,341,201,176,242,140,687,690,396,"1,314","1,384",675,512
2020년10월_남_70~79세,"5,837",377,189,201,178,253,296,230,213,138,165,230,121,86,175,64,454,425,271,569,724,318,160
2020년10월_남_80~89세,"2,661",174,124,109,69,146,138,88,101,81,79,111,72,53,93,49,160,212,136,245,288,88,45
2020년10월_남_90~99세,252,18,13,7,9,16,15,13,7,7,9,17,15,5,6,4,10,15,12,20,21,8,5
2020년10월_남_100세 이상,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2020년10월_여_총인구수,"69,979","3,535","1,442","1,528","1,225","1,663","2,008","1,559","1,700",937,"1,133","1,436",795,632,"1,101",542,"3,330","3,920","2,056","12,616","10,289","5,425","11,107"
2020년10월_여_연령구간인구수,"69,979","3,535","1,442","1,528","1,225","1,663","2,008","1,559","1,700",937,"1,133","1,436",795,632,"1,101",542,"3,330","3,920","2,056","12,616","10,289","5,425","11,107"
2020년10월_여_0~9세,"5,073",185,56,33,26,25,66,42,37,17,31,27,19,10,17,5,99,107,63,"1,036",701,451,"2,020"
2020년10월_여_10~19세,"5,599",202,61,64,45,49,73,61,89,32,43,32,23,17,90,16,198,204,110,"1,487",958,495,"1,250"
2020년10월_여_20~29세,"6,432",231,111,95,70,65,120,118,115,76,58,88,30,29,44,16,259,344,159,"1,622",994,621,"1,167"
2020년10월_여_30~39세,"7,212",283,78,91,65,74,97,81,91,34,54,55,27,19,43,16,217,279,125,"1,414","1,033",575,"2,461"
2020년10월_여_40~49세,"9,165",362,108,117,75,93,191,110,144,66,82,73,47,42,70,36,322,380,184,"2,113","1,532",907,"2,111"
2020년10월_여_50~59세,"11,426",691,230,256,213,265,345,293,333,174,200,227,113,89,176,105,529,682,329,"2,117","1,944",934,"1,181"
2020년10월_여_60~69세,"11,078",678,323,311,298,371,424,364,379,200,250,316,166,137,228,130,825,912,452,"1,401","1,596",780,537
2020년10월_여_70~79세,"7,615",465,252,279,223,334,373,276,255,150,186,286,193,145,207,92,551,626,386,818,894,402,222
2020년10월_여_80~89세,"5,401",363,193,224,179,329,259,190,204,162,197,277,155,122,195,111,286,322,222,530,541,212,128
2020년10월_여_90~99세,932,74,30,53,30,57,57,23,50,25,30,55,21,20,28,13,44,59,25,71,94,45,28
2020년10월_여_100세 이상,46,1,0,5,1,1,3,1,3,1,2,0,1,2,3,2,0,5,1,7,2,3,2
