,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년10월_계_총인구수,"31,379","8,294","3,324","1,800","3,721","1,856","3,084","2,791","2,778","3,731"
2021년10월_계_연령구간인구수,"31,379","8,294","3,324","1,800","3,721","1,856","3,084","2,791","2,778","3,731"
2021년10월_계_0~9세,"1,228",482,125,54,118,48,82,99,83,137
2021년10월_계_10~19세,"2,020",786,181,61,199,80,245,115,128,225
2021년10월_계_20~29세,"2,346",747,175,113,245,129,235,180,234,288
2021년10월_계_30~39세,"1,877",625,153,105,203,85,158,169,178,201
2021년10월_계_40~49세,"3,285","1,107",330,151,351,158,261,242,280,405
2021년10월_계_50~59세,"5,362","1,366",552,294,620,335,574,461,514,646
2021년10월_계_60~69세,"6,176","1,336",668,420,795,385,591,668,588,725
2021년10월_계_70~79세,"4,963","1,030",651,320,628,321,499,456,426,632
2021년10월_계_80~89세,"3,584",708,436,240,484,272,376,350,305,413
2021년10월_계_90~99세,522,106,52,41,76,42,60,51,40,54
2021년10월_계_100세 이상,16,1,1,1,2,1,3,0,2,5
2021년10월_남_총인구수,"15,785","4,088","1,678",890,"1,862",898,"1,601","1,382","1,421","1,965"
2021년10월_남_연령구간인구수,"15,785","4,088","1,678",890,"1,862",898,"1,601","1,382","1,421","1,965"
2021년10월_남_0~9세,635,237,59,32,67,17,46,52,45,80
2021년10월_남_10~19세,"1,090",434,91,26,106,45,145,59,62,122
2021년10월_남_20~29세,"1,390",415,104,62,152,84,147,105,135,186
2021년10월_남_30~39세,997,303,85,59,111,50,95,90,90,114
2021년10월_남_40~49세,"1,956",600,223,111,218,95,141,141,158,269
2021년10월_남_50~59세,"3,142",746,333,158,367,195,361,273,307,402
2021년10월_남_60~69세,"3,255",676,356,211,422,204,306,371,326,383
2021년10월_남_70~79세,"2,113",434,266,145,265,125,226,192,188,272
2021년10월_남_80~89세,"1,089",223,149,73,139,73,124,93,99,116
2021년10월_남_90~99세,118,20,12,13,15,10,10,6,11,21
2021년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"15,594","4,206","1,646",910,"1,859",958,"1,483","1,409","1,357","1,766"
2021년10월_여_연령구간인구수,"15,594","4,206","1,646",910,"1,859",958,"1,483","1,409","1,357","1,766"
2021년10월_여_0~9세,593,245,66,22,51,31,36,47,38,57
2021년10월_여_10~19세,930,352,90,35,93,35,100,56,66,103
2021년10월_여_20~29세,956,332,71,51,93,45,88,75,99,102
2021년10월_여_30~39세,880,322,68,46,92,35,63,79,88,87
2021년10월_여_40~49세,"1,329",507,107,40,133,63,120,101,122,136
2021년10월_여_50~59세,"2,220",620,219,136,253,140,213,188,207,244
2021년10월_여_60~69세,"2,921",660,312,209,373,181,285,297,262,342
2021년10월_여_70~79세,"2,850",596,385,175,363,196,273,264,238,360
2021년10월_여_80~89세,"2,495",485,287,167,345,199,252,257,206,297
2021년10월_여_90~99세,404,86,40,28,61,32,50,45,29,33
2021년10월_여_100세 이상,16,1,1,1,2,1,3,0,2,5
