,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년03월_계_총인구수,"452,677","31,274","30,212","22,242","25,768","41,823","20,689","20,987","15,452","18,225","14,903","13,789","20,239","20,600","19,742","49,213","33,175","24,854","29,490"
2021년03월_계_연령구간인구수,"452,677","31,274","30,212","22,242","25,768","41,823","20,689","20,987","15,452","18,225","14,903","13,789","20,239","20,600","19,742","49,213","33,175","24,854","29,490"
2021년03월_계_0~9세,"31,335","2,954","1,679","1,304","1,397","3,378",968,"1,422",848,"1,418",967,"1,460","1,018","1,830","1,305","3,771","1,624","2,071","1,921"
2021년03월_계_10~19세,"50,310","5,056","2,503","1,532","3,300","7,473","1,301","1,762","1,122","1,606","1,259","1,239","1,355","2,956","2,961","5,558","2,305","3,634","3,388"
2021년03월_계_20~29세,"59,186","3,353","4,963","3,551","4,149","4,392","2,671","2,635","1,991","2,189","2,149","1,569","2,583","2,408","2,480","6,191","5,215","3,147","3,550"
2021년03월_계_30~39세,"57,356","3,250","5,259","3,981","2,747","3,943","2,729","2,939","1,990","2,415","2,058","2,598","2,592","2,047","1,794","6,122","5,013","2,717","3,162"
2021년03월_계_40~49세,"78,407","6,879","4,607","3,170","4,518","9,045","3,052","3,290","2,196","3,022","2,286","2,166","2,938","4,036","3,782","8,448","5,186","4,706","5,080"
2021년03월_계_50~59세,"76,280","4,972","4,884","3,613","4,823","6,672","3,798","3,306","2,902","2,846","2,515","2,038","3,537","3,471","3,522","8,392","5,382","4,371","5,236"
2021년03월_계_60~69세,"58,632","2,909","3,868","3,056","2,728","4,272","3,646","3,306","2,537","2,768","2,209","1,701","3,487","2,236","2,283","6,141","4,806","2,648","4,031"
2021년03월_계_70~79세,"28,626","1,322","1,704","1,359","1,472","1,751","1,859","1,709","1,340","1,382","1,042",763,"1,816","1,068","1,094","3,202","2,679","1,029","2,035"
2021년03월_계_80~89세,"10,831",488,652,593,548,736,568,538,470,517,364,218,815,451,445,"1,193",862,428,945
