,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년12월_계_총인구수,"371,890","25,749","38,101","21,753","21,832","14,410","12,104","23,199","24,674","25,327","18,229","20,802","19,014","15,605","19,342","40,355","31,394"
2020년12월_계_연령구간인구수,"371,890","25,749","38,101","21,753","21,832","14,410","12,104","23,199","24,674","25,327","18,229","20,802","19,014","15,605","19,342","40,355","31,394"
2020년12월_계_0~9세,"24,899","2,802","2,271","1,489","2,268",676,932,"1,690","1,870",845,"1,123","1,045","1,188",627,982,"2,524","2,567"
2020년12월_계_10~19세,"28,372","1,661","2,328","1,628","2,021",891,"1,156","1,922","1,741","1,213",950,"1,329","1,577",810,"1,467","3,484","4,194"
2020년12월_계_20~29세,"61,904","3,194","6,471","3,006","2,233","3,362","1,793","3,485","4,644","6,271","3,598","3,493","2,909","3,239","3,132","6,776","4,298"
2020년12월_계_30~39세,"64,486","5,156","6,534","3,631","3,770","2,373","1,865","3,773","4,115","5,384","3,738","3,922","2,974","3,104","3,402","6,726","4,019"
2020년12월_계_40~49세,"60,995","4,238","5,559","3,229","4,425","2,094","2,185","3,919","4,004","3,728","2,655","3,269","3,267","2,337","3,329","6,575","6,182"
2020년12월_계_50~59세,"54,255","3,875","6,429","3,481","2,943","2,042","1,762","3,579","3,679","3,117","2,367","2,975","2,818","2,033","2,881","5,770","4,504"
2020년12월_계_60~69세,"39,559","2,754","4,433","2,692","2,165","1,504","1,160","2,468","2,432","2,294","1,934","2,426","2,162","1,725","2,184","4,235","2,991"
2020년12월_계_70~79세,"24,309","1,234","2,606","1,571","1,276",913,800,"1,557","1,403","1,557","1,216","1,613","1,473","1,110","1,347","2,896","1,737"
2020년12월_계_80~89세,"11,096",665,"1,262",852,632,448,390,671,674,753,542,642,557,515,546,"1,169",778
2020년12월_계_90~99세,"1,669",117,169,145,88,82,49,116,95,138,86,80,71,85,58,183,107
2020년12월_계_100세 이상,346,53,39,29,11,25,12,19,17,27,20,8,18,20,14,17,17
2020년12월_남_총인구수,"175,150","12,056","17,981","10,452","10,274","6,963","5,827","11,290","11,745","11,563","8,475","9,776","8,951","7,375","9,088","18,362","14,972"
2020년12월_남_연령구간인구수,"175,150","12,056","17,981","10,452","10,274","6,963","5,827","11,290","11,745","11,563","8,475","9,776","8,951","7,375","9,088","18,362","14,972"
2020년12월_남_0~9세,"12,643","1,362","1,195",812,"1,083",354,462,875,953,429,595,529,607,305,472,"1,264","1,346"
2020년12월_남_10~19세,"14,366",793,"1,155",859,998,476,584,"1,040",879,586,452,655,768,444,730,"1,833","2,114"
2020년12월_남_20~29세,"27,907","1,403","2,844","1,452","1,027","1,517",863,"1,750","2,226","2,639","1,586","1,623","1,344","1,501","1,468","2,722","1,942"
2020년12월_남_30~39세,"30,503","2,379","3,158","1,756","1,718","1,201",899,"1,835","1,938","2,505","1,798","1,868","1,406","1,507","1,643","3,058","1,834"
2020년12월_남_40~49세,"29,649","2,128","2,760","1,548","2,132","1,049","1,103","1,843","1,920","1,814","1,280","1,586","1,606","1,174","1,595","3,161","2,950"
2020년12월_남_50~59세,"26,653","1,870","3,153","1,678","1,473","1,076",886,"1,792","1,752","1,516","1,124","1,468","1,385",959,"1,366","2,814","2,341"
2020년12월_남_60~69세,"18,338","1,309","2,128","1,282","1,037",708,550,"1,198","1,179","1,026",870,"1,099",952,781,986,"1,889","1,344"
2020년12월_남_70~79세,"10,243",505,"1,089",709,536,380,304,640,593,673,538,690,630,464,578,"1,148",766
2020년12월_남_80~89세,"4,289",262,442,315,243,177,159,273,278,324,204,231,223,201,226,425,306
2020년12월_남_90~99세,477,31,48,35,24,21,15,39,26,41,25,27,24,33,19,42,27
2020년12월_남_100세 이상,82,14,9,6,3,4,2,5,1,10,3,0,6,6,5,6,2
2020년12월_여_총인구수,"196,740","13,693","20,120","11,301","11,558","7,447","6,277","11,909","12,929","13,764","9,754","11,026","10,063","8,230","10,254","21,993","16,422"
2020년12월_여_연령구간인구수,"196,740","13,693","20,120","11,301","11,558","7,447","6,277","11,909","12,929","13,764","9,754","11,026","10,063","8,230","10,254","21,993","16,422"
2020년12월_여_0~9세,"12,256","1,440","1,076",677,"1,185",322,470,815,917,416,528,516,581,322,510,"1,260","1,221"
2020년12월_여_10~19세,"14,006",868,"1,173",769,"1,023",415,572,882,862,627,498,674,809,366,737,"1,651","2,080"
2020년12월_여_20~29세,"33,997","1,791","3,627","1,554","1,206","1,845",930,"1,735","2,418","3,632","2,012","1,870","1,565","1,738","1,664","4,054","2,356"
2020년12월_여_30~39세,"33,983","2,777","3,376","1,875","2,052","1,172",966,"1,938","2,177","2,879","1,940","2,054","1,568","1,597","1,759","3,668","2,185"
2020년12월_여_40~49세,"31,346","2,110","2,799","1,681","2,293","1,045","1,082","2,076","2,084","1,914","1,375","1,683","1,661","1,163","1,734","3,414","3,232"
2020년12월_여_50~59세,"27,602","2,005","3,276","1,803","1,470",966,876,"1,787","1,927","1,601","1,243","1,507","1,433","1,074","1,515","2,956","2,163"
2020년12월_여_60~69세,"21,221","1,445","2,305","1,410","1,128",796,610,"1,270","1,253","1,268","1,064","1,327","1,210",944,"1,198","2,346","1,647"
2020년12월_여_70~79세,"14,066",729,"1,517",862,740,533,496,917,810,884,678,923,843,646,769,"1,748",971
2020년12월_여_80~89세,"6,807",403,820,537,389,271,231,398,396,429,338,411,334,314,320,744,472
2020년12월_여_90~99세,"1,192",86,121,110,64,61,34,77,69,97,61,53,47,52,39,141,80
2020년12월_여_100세 이상,264,39,30,23,8,21,10,14,16,17,17,8,12,14,9,11,15
