카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년04월_계_총인구수,"37,567","9,837","2,112","1,934","2,320","3,127","2,165","5,124","3,372","2,763","2,060","2,753"
2021년04월_계_연령구간인구수,"37,567","9,837","2,112","1,934","2,320","3,127","2,165","5,124","3,372","2,763","2,060","2,753"
2021년04월_계_0~9세,"1,286",608,61,50,42,79,44,116,90,73,50,73
2021년04월_계_10~19세,"1,975",905,122,59,85,136,94,199,112,105,59,99
2021년04월_계_20~29세,"2,841","1,195",121,110,127,222,137,259,196,215,115,144
2021년04월_계_30~39세,"2,369",955,115,79,111,191,127,232,170,140,118,131
2021년04월_계_40~49세,"3,747","1,432",167,151,197,298,182,380,280,268,169,223
2021년04월_계_50~59세,"7,141","1,666",413,421,411,669,420,"1,057",665,518,373,528
2021년04월_계_60~69세,"8,948","1,552",548,532,665,729,552,"1,428",926,666,604,746
2021년04월_계_70~79세,"5,399",957,308,290,382,481,350,867,516,458,335,455
2021년04월_계_80~89세,"3,390",514,221,214,262,289,222,503,359,289,199,318
2021년04월_계_90~99세,453,52,36,28,35,32,35,78,57,30,35,35
2021년04월_계_100세 이상,18,1,0,0,3,1,2,5,1,1,3,1
2021년04월_남_총인구수,"19,330","5,048","1,111",979,"1,207","1,585","1,095","2,651","1,727","1,428","1,060","1,439"
2021년04월_남_연령구간인구수,"19,330","5,048","1,111",979,"1,207","1,585","1,095","2,651","1,727","1,428","1,060","1,439"
2021년04월_남_0~9세,642,307,31,28,18,33,22,60,42,36,24,41
2021년04월_남_10~19세,"1,027",470,60,32,47,71,41,114,55,51,30,56
2021년04월_남_20~29세,"1,692",689,69,67,79,116,84,172,120,134,68,94
2021년04월_남_30~39세,"1,347",511,73,45,70,110,73,123,99,82,79,82
2021년04월_남_40~49세,"2,178",778,103,80,123,182,108,216,171,163,105,149
2021년04월_남_50~59세,"3,885",907,235,233,214,371,229,575,369,290,188,274
2021년04월_남_60~69세,"4,739",767,300,288,366,397,281,774,489,355,329,393
2021년04월_남_70~79세,"2,517",419,144,125,182,215,181,415,245,208,167,216
2021년04월_남_80~89세,"1,203",187,88,76,100,83,68,185,123,102,62,129
2021년04월_남_90~99세,95,12,8,5,7,7,8,16,14,6,8,4
2021년04월_남_100세 이상,5,1,0,0,1,0,0,1,0,1,0,1
2021년04월_여_총인구수,"18,237","4,789","1,001",955,"1,113","1,542","1,070","2,473","1,645","1,335","1,000","1,314"
2021년04월_여_연령구간인구수,"18,237","4,789","1,001",955,"1,113","1,542","1,070","2,473","1,645","1,335","1,000","1,314"
2021년04월_여_0~9세,644,301,30,22,24,46,22,56,48,37,26,32
2021년04월_여_10~19세,948,435,62,27,38,65,53,85,57,54,29,43
2021년04월_여_20~29세,"1,149",506,52,43,48,106,53,87,76,81,47,50
2021년04월_여_30~39세,"1,022",444,42,34,41,81,54,109,71,58,39,49
2021년04월_여_40~49세,"1,569",654,64,71,74,116,74,164,109,105,64,74
2021년04월_여_50~59세,"3,256",759,178,188,197,298,191,482,296,228,185,254
2021년04월_여_60~69세,"4,209",785,248,244,299,332,271,654,437,311,275,353
2021년04월_여_70~79세,"2,882",538,164,165,200,266,169,452,271,250,168,239
2021년04월_여_80~89세,"2,187",327,133,138,162,206,154,318,236,187,137,189
2021년04월_여_90~99세,358,40,28,23,28,25,27,62,43,24,27,31
2021년04월_여_100세 이상,13,0,0,0,2,1,2,4,1,0,3,0
