카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년06월_계_총인구수,"43,488","13,771","6,186","3,706","3,096","1,981","1,178","2,472","3,128","4,564","3,406"
2020년06월_계_연령구간인구수,"43,488","13,771","6,186","3,706","3,096","1,981","1,178","2,472","3,128","4,564","3,406"
2020년06월_계_0~9세,"1,945",959,206,114,79,50,32,77,103,191,134
2020년06월_계_10~19세,"2,364","1,309",203,116,108,43,38,100,88,235,124
2020년06월_계_20~29세,"3,595","1,503",480,245,170,129,62,183,209,344,270
2020년06월_계_30~39세,"3,380","1,413",491,259,182,108,52,138,184,319,234
2020년06월_계_40~49세,"4,840","2,058",596,347,253,163,104,252,273,481,313
2020년06월_계_50~59세,"8,647","2,475","1,420",815,600,420,230,449,643,900,695
2020년06월_계_60~69세,"9,027","2,047","1,434",910,744,501,278,562,790,989,772
2020년06월_계_70~79세,"5,767","1,228",854,528,507,312,210,427,513,664,524
2020년06월_계_80~89세,"3,440",682,435,328,384,229,154,250,272,403,303
2020년06월_계_90~99세,457,92,61,43,64,25,17,34,50,35,36
2020년06월_계_100세 이상,26,5,6,1,5,1,1,0,3,3,1
2020년06월_남_총인구수,"22,471","6,989","3,381","2,022","1,515",984,610,"1,247","1,605","2,333","1,785"
2020년06월_남_연령구간인구수,"22,471","6,989","3,381","2,022","1,515",984,610,"1,247","1,605","2,333","1,785"
2020년06월_남_0~9세,982,475,113,53,42,23,19,34,48,102,73
2020년06월_남_10~19세,"1,340",746,123,77,50,20,21,54,49,134,66
2020년06월_남_20~29세,"2,099",844,299,148,99,81,43,101,126,198,160
2020년06월_남_30~39세,"1,850",729,290,165,104,70,35,77,92,168,120
2020년06월_남_40~49세,"2,903","1,093",420,228,147,108,66,164,190,293,194
2020년06월_남_50~59세,"4,729","1,303",789,481,314,217,133,252,342,501,397
2020년06월_남_60~69세,"4,684","1,020",774,515,393,247,137,277,420,500,401
2020년06월_남_70~79세,"2,657",538,419,247,235,133,104,184,245,298,254
2020년06월_남_80~89세,"1,114",220,134,99,113,83,49,94,81,130,111
2020년06월_남_90~99세,107,20,18,9,17,2,2,10,11,9,9
2020년06월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년06월_여_총인구수,"21,017","6,782","2,805","1,684","1,581",997,568,"1,225","1,523","2,231","1,621"
2020년06월_여_연령구간인구수,"21,017","6,782","2,805","1,684","1,581",997,568,"1,225","1,523","2,231","1,621"
2020년06월_여_0~9세,963,484,93,61,37,27,13,43,55,89,61
2020년06월_여_10~19세,"1,024",563,80,39,58,23,17,46,39,101,58
2020년06월_여_20~29세,"1,496",659,181,97,71,48,19,82,83,146,110
2020년06월_여_30~39세,"1,530",684,201,94,78,38,17,61,92,151,114
2020년06월_여_40~49세,"1,937",965,176,119,106,55,38,88,83,188,119
2020년06월_여_50~59세,"3,918","1,172",631,334,286,203,97,197,301,399,298
2020년06월_여_60~69세,"4,343","1,027",660,395,351,254,141,285,370,489,371
2020년06월_여_70~79세,"3,110",690,435,281,272,179,106,243,268,366,270
2020년06월_여_80~89세,"2,326",462,301,229,271,146,105,156,191,273,192
2020년06월_여_90~99세,350,72,43,34,47,23,15,24,39,26,27
2020년06월_여_100세 이상,20,4,4,1,4,1,0,0,2,3,1
