카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년07월_계_총인구수,"172,657","8,779","10,362","17,191","9,908","9,798","10,157","6,517","7,911","11,092","8,016","8,235","10,257","18,414","1,960","5,420","20,688","7,952"
2020년07월_계_연령구간인구수,"172,657","8,779","10,362","17,191","9,908","9,798","10,157","6,517","7,911","11,092","8,016","8,235","10,257","18,414","1,960","5,420","20,688","7,952"
2020년07월_계_0~9세,"7,885",353,348,788,317,309,395,208,227,394,301,642,358,"1,376",93,172,"1,324",280
2020년07월_계_10~19세,"11,273",530,563,"1,295",649,512,636,358,515,609,498,594,632,"1,267",119,342,"1,724",430
2020년07월_계_20~29세,"22,042","1,357","1,316","2,488","1,170","1,074","1,333",690,"1,048","1,353","1,040",925,"1,315","2,344",235,653,"2,713",988
2020년07월_계_30~39세,"17,939",977,986,"2,002",888,830,"1,000",630,711,"1,046",751,"1,002","1,027","2,382",204,502,"2,276",725
2020년07월_계_40~49세,"23,427","1,095","1,352","2,310","1,370","1,189","1,334",815,"1,058","1,482","1,058","1,251","1,366","2,628",267,702,"3,051","1,099"
2020년07월_계_50~59세,"34,896","1,728","2,043","3,216","2,149","1,971","2,052","1,331","1,692","2,481","1,665","1,514","2,259","3,535",405,"1,193","4,018","1,644"
2020년07월_계_60~69세,"30,441","1,530","1,941","2,844","1,769","1,876","1,877","1,284","1,460","2,051","1,455","1,311","1,872","2,877",362,"1,085","3,402","1,445"
2020년07월_계_70~79세,"17,213",834,"1,257","1,562","1,122","1,385","1,044",833,819,"1,215",858,715,"1,002","1,395",203,521,"1,527",921
2020년07월_계_80~89세,"6,686",338,501,607,414,569,434,341,344,422,348,252,374,522,60,229,545,386
2020년07월_계_90~99세,755,27,48,77,52,65,41,26,30,35,36,28,49,84,6,21,96,34
2020년07월_계_100세 이상,100,10,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020년07월_남_총인구수,"86,576","4,323","5,084","8,324","5,060","4,887","4,997","3,345","3,892","5,889","4,067","4,021","5,197","9,106","1,033","2,876","10,430","4,045"
2020년07월_남_연령구간인구수,"86,576","4,323","5,084","8,324","5,060","4,887","4,997","3,345","3,892","5,889","4,067","4,021","5,197","9,106","1,033","2,876","10,430","4,045"
2020년07월_남_0~9세,"4,055",191,179,397,160,167,191,112,113,211,156,333,194,686,51,87,696,131
2020년07월_남_10~19세,"5,909",281,300,666,354,280,337,190,276,313,277,290,353,646,64,177,898,207
2020년07월_남_20~29세,"12,116",706,698,"1,337",659,591,712,378,573,795,601,485,708,"1,284",140,386,"1,498",565
2020년07월_남_30~39세,"10,144",541,580,"1,120",519,489,603,385,418,590,438,525,597,"1,251",112,320,"1,230",426
2020년07월_남_40~49세,"12,576",568,755,"1,127",785,686,713,457,524,879,587,649,755,"1,353",154,416,"1,548",620
2020년07월_남_50~59세,"17,512",812,"1,030","1,469","1,113","1,028",982,731,859,"1,394",863,729,"1,134","1,710",206,622,"1,978",852
2020년07월_남_60~69세,"14,270",711,867,"1,278",846,886,846,598,657,"1,003",673,601,906,"1,352",178,560,"1,627",681
2020년07월_남_70~79세,"7,531",386,499,702,468,549,457,364,346,555,347,314,423,648,98,225,739,411
2020년07월_남_80~89세,"2,296",119,165,207,146,197,149,121,118,143,116,90,119,163,28,77,194,144
2020년07월_남_90~99세,144,6,9,21,7,14,4,9,6,5,6,4,8,13,1,6,17,8
2020년07월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년07월_여_총인구수,"86,081","4,456","5,278","8,867","4,848","4,911","5,160","3,172","4,019","5,203","3,949","4,214","5,060","9,308",927,"2,544","10,258","3,907"
2020년07월_여_연령구간인구수,"86,081","4,456","5,278","8,867","4,848","4,911","5,160","3,172","4,019","5,203","3,949","4,214","5,060","9,308",927,"2,544","10,258","3,907"
2020년07월_여_0~9세,"3,830",162,169,391,157,142,204,96,114,183,145,309,164,690,42,85,628,149
2020년07월_여_10~19세,"5,364",249,263,629,295,232,299,168,239,296,221,304,279,621,55,165,826,223
2020년07월_여_20~29세,"9,926",651,618,"1,151",511,483,621,312,475,558,439,440,607,"1,060",95,267,"1,215",423
2020년07월_여_30~39세,"7,795",436,406,882,369,341,397,245,293,456,313,477,430,"1,131",92,182,"1,046",299
2020년07월_여_40~49세,"10,851",527,597,"1,183",585,503,621,358,534,603,471,602,611,"1,275",113,286,"1,503",479
2020년07월_여_50~59세,"17,384",916,"1,013","1,747","1,036",943,"1,070",600,833,"1,087",802,785,"1,125","1,825",199,571,"2,040",792
2020년07월_여_60~69세,"16,171",819,"1,074","1,566",923,990,"1,031",686,803,"1,048",782,710,966,"1,525",184,525,"1,775",764
2020년07월_여_70~79세,"9,682",448,758,860,654,836,587,469,473,660,511,401,579,747,105,296,788,510
2020년07월_여_80~89세,"4,390",219,336,400,268,372,285,220,226,279,232,162,255,359,32,152,351,242
2020년07월_여_90~99세,611,21,39,56,45,51,37,17,24,30,30,24,41,71,5,15,79,26
2020년07월_여_100세 이상,77,8,5,2,5,18,8,1,5,3,3,0,3,4,5,0,7,0
