,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년11월_계_총인구수,"174,330","14,619","6,992","12,350","16,305","27,308","19,621","11,070","16,434","13,927","6,573","13,161","15,970"
2021년11월_계_연령구간인구수,"174,330","14,619","6,992","12,350","16,305","27,308","19,621","11,070","16,434","13,927","6,573","13,161","15,970"
2021년11월_계_0~9세,"10,452",603,263,616,877,"1,903",891,458,"1,959",736,423,840,883
2021년11월_계_10~19세,"15,872",978,474,960,"1,603","3,679","1,567",886,"1,502","1,167",596,"1,001","1,459"
2021년11월_계_20~29세,"24,094","2,377",801,"1,403","2,180","4,004","3,003","1,452","1,927","2,161",973,"1,710","2,103"
2021년11월_계_30~39세,"19,621","1,542",776,"1,192","1,585","2,599","2,221","1,107","2,802","1,695","1,000","1,595","1,507"
2021년11월_계_40~49세,"26,080","1,861","1,029","1,679","2,425","4,747","2,979","1,504","2,697","2,093","1,166","1,716","2,184"
2021년11월_계_50~59세,"33,242","2,667","1,327","2,316","3,176","5,638","3,752","2,147","2,601","2,638","1,190","2,567","3,223"
2021년11월_계_60~69세,"26,218","2,678","1,326","2,333","2,614","2,882","3,092","1,927","1,866","1,902",754,"2,096","2,748"
2021년11월_계_70~79세,"12,309","1,346",677,"1,164","1,240","1,152","1,449","1,034",680,996,311,"1,059","1,201"
2021년11월_계_80~89세,"5,673",487,267,612,536,626,602,494,353,475,137,512,572
2021년11월_계_90~99세,743,75,50,73,67,76,64,55,46,61,23,63,90
2021년11월_계_100세 이상,26,5,2,2,2,2,1,6,1,3,0,2,0
2021년11월_남_총인구수,"88,659","7,768","3,696","6,270","8,107","13,488","10,204","5,693","8,413","7,409","3,579","6,219","7,813"
2021년11월_남_연령구간인구수,"88,659","7,768","3,696","6,270","8,107","13,488","10,204","5,693","8,413","7,409","3,579","6,219","7,813"
2021년11월_남_0~9세,"5,278",311,140,302,442,943,451,214,"1,019",381,213,407,455
2021년11월_남_10~19세,"8,271",542,263,504,841,"1,856",846,480,768,610,296,508,757
2021년11월_남_20~29세,"13,315","1,306",467,768,"1,173","2,163","1,670",817,"1,047","1,237",563,910,"1,194"
2021년11월_남_30~39세,"10,773",890,414,662,880,"1,328","1,258",643,"1,426","1,016",627,834,795
2021년11월_남_40~49세,"13,382","1,062",587,884,"1,202","2,126","1,608",814,"1,445","1,136",663,845,"1,010"
2021년11월_남_50~59세,"16,857","1,422",719,"1,219","1,552","2,837","1,944","1,108","1,282","1,450",632,"1,184","1,508"
2021년11월_남_60~69세,"12,975","1,371",691,"1,142","1,218","1,477","1,514",940,963,938,390,969,"1,362"
2021년11월_남_70~79세,"5,634",656,315,555,570,507,675,491,323,447,147,412,536
2021년11월_남_80~89세,"2,019",194,92,213,213,236,226,177,128,177,46,137,180
2021년11월_남_90~99세,153,13,8,21,15,15,12,9,12,17,2,13,16
2021년11월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"85,671","6,851","3,296","6,080","8,198","13,820","9,417","5,377","8,021","6,518","2,994","6,942","8,157"
2021년11월_여_연령구간인구수,"85,671","6,851","3,296","6,080","8,198","13,820","9,417","5,377","8,021","6,518","2,994","6,942","8,157"
2021년11월_여_0~9세,"5,174",292,123,314,435,960,440,244,940,355,210,433,428
2021년11월_여_10~19세,"7,601",436,211,456,762,"1,823",721,406,734,557,300,493,702
2021년11월_여_20~29세,"10,779","1,071",334,635,"1,007","1,841","1,333",635,880,924,410,800,909
2021년11월_여_30~39세,"8,848",652,362,530,705,"1,271",963,464,"1,376",679,373,761,712
2021년11월_여_40~49세,"12,698",799,442,795,"1,223","2,621","1,371",690,"1,252",957,503,871,"1,174"
2021년11월_여_50~59세,"16,385","1,245",608,"1,097","1,624","2,801","1,808","1,039","1,319","1,188",558,"1,383","1,715"
2021년11월_여_60~69세,"13,243","1,307",635,"1,191","1,396","1,405","1,578",987,903,964,364,"1,127","1,386"
2021년11월_여_70~79세,"6,675",690,362,609,670,645,774,543,357,549,164,647,665
2021년11월_여_80~89세,"3,654",293,175,399,323,390,376,317,225,298,91,375,392
2021년11월_여_90~99세,590,62,42,52,52,61,52,46,34,44,21,50,74
2021년11월_여_100세 이상,24,4,2,2,1,2,1,6,1,3,0,2,0
