,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년04월_계_총인구수,"498,978","24,999","15,936","30,528","29,562","16,977","33,587","34,482","15,597","26,638","18,707","23,183","18,501","23,760","22,939","21,661","16,060","17,551","23,623","24,805","31,806","28,076"
2020년04월_계_연령구간인구수,"498,978","24,999","15,936","30,528","29,562","16,977","33,587","34,482","15,597","26,638","18,707","23,183","18,501","23,760","22,939","21,661","16,060","17,551","23,623","24,805","31,806","28,076"
2020년04월_계_0~9세,"23,994","1,316","1,404","2,170","1,255",783,"1,256","2,304",449,"1,271","1,108",743,669,900,869,397,"1,279",730,775,991,"1,901","1,424"
2020년04월_계_10~19세,"30,207","1,547","1,202","3,034","1,456",901,"1,754","2,667",694,"1,698",876,928,915,"1,147","1,252",529,"1,511",859,"1,054","1,695","2,459","2,029"
2020년04월_계_20~29세,"108,515","4,722","1,960","3,900","7,514","5,394","10,638","5,568","4,471","5,832","3,930","6,464","4,359","5,700","5,664","8,252","1,719","3,987","6,198","3,120","4,965","4,158"
2020년04월_계_30~39세,"88,036","4,232","2,652","4,052","6,129","3,515","6,347","5,610","3,047","5,097","3,830","4,726","3,258","4,692","3,969","5,590","2,006","3,337","4,770","2,881","4,476","3,820"
2020년04월_계_40~49세,"70,071","3,497","2,592","5,240","3,722","2,035","3,943","5,393","1,781","3,778","2,395","2,840","2,407","3,279","3,117","2,455","3,057","2,276","3,590","3,622","4,887","4,165"
2020년04월_계_50~59세,"69,087","3,521","2,352","4,801","3,548","1,671","3,710","4,989","1,904","3,559","2,641","2,891","2,495","3,136","3,277","1,726","2,615","2,445","3,143","4,482","5,142","5,039"
2020년04월_계_60~69세,"58,039","3,272","1,953","3,785","3,148","1,351","3,146","4,243","1,639","2,886","2,190","2,497","2,225","2,693","2,524","1,439","2,069","2,164","2,215","4,101","4,523","3,976"
2020년04월_계_70~79세,"36,596","2,103","1,212","2,475","2,060",942,"2,058","2,701","1,155","1,822","1,297","1,511","1,549","1,566","1,642",933,"1,292","1,213","1,305","2,688","2,553","2,519"
2020년04월_계_80~89세,"12,470",687,523,913,628,331,630,879,406,608,377,523,534,547,546,285,434,467,502,"1,027",796,827
2020년04월_계_90~99세,"1,652",93,64,128,85,44,85,111,42,79,60,51,78,81,64,40,65,63,59,170,84,106
2020년04월_계_100세 이상,311,9,22,30,17,10,20,17,9,8,3,9,12,19,15,15,13,10,12,28,20,13
2020년04월_남_총인구수,"250,442","12,236","7,810","14,810","14,341","8,548","16,156","16,895","7,472","13,035","9,001","11,910","9,262","13,096","11,458","11,214","7,921","8,907","14,238","12,426","15,582","14,124"
2020년04월_남_연령구간인구수,"250,442","12,236","7,810","14,810","14,341","8,548","16,156","16,895","7,472","13,035","9,001","11,910","9,262","13,096","11,458","11,214","7,921","8,907","14,238","12,426","15,582","14,124"
2020년04월_남_0~9세,"12,341",677,738,"1,140",633,408,608,"1,224",253,660,583,399,321,454,460,201,637,367,390,527,954,707
2020년04월_남_10~19세,"15,523",805,626,"1,612",730,427,858,"1,349",338,876,408,493,463,603,690,262,775,440,552,896,"1,221","1,099"
2020년04월_남_20~29세,"53,028","2,282","1,035","1,934","3,356","2,603","4,689","2,688","1,871","2,751","1,761","3,267","2,210","3,220","2,639","3,978",901,"1,803","3,735","1,674","2,464","2,167"
2020년04월_남_30~39세,"48,473","2,280","1,330","2,022","3,277","1,952","3,345","2,870","1,659","2,707","2,002","2,729","1,849","2,893","2,229","3,174",988,"1,881","3,234","1,612","2,326","2,114"
2020년04월_남_40~49세,"37,320","1,772","1,317","2,590","1,953","1,074","2,083","2,814",953,"1,905","1,225","1,549","1,300","1,972","1,593","1,409","1,546","1,239","2,409","1,938","2,497","2,182"
2020년04월_남_50~59세,"34,370","1,655","1,148","2,343","1,707",864,"1,845","2,382",955,"1,742","1,219","1,379","1,202","1,672","1,643",929,"1,308","1,296","1,938","2,240","2,463","2,440"
2020년04월_남_60~69세,"26,987","1,507",886,"1,724","1,446",640,"1,458","1,940",759,"1,298",991,"1,136",987,"1,281","1,186",675,959,"1,067","1,143","1,900","2,092","1,912"
2020년04월_남_70~79세,"16,809",967,516,"1,066",952,436,950,"1,232",509,803,615,717,698,748,758,448,620,584,599,"1,186","1,242","1,163"
2020년04월_남_80~89세,"5,133",268,191,338,264,130,285,373,161,268,187,228,214,235,240,129,164,211,224,405,299,319
2020년04월_남_90~99세,391,22,20,37,17,12,28,17,13,23,10,12,14,17,15,8,17,18,11,43,19,18
2020년04월_남_100세 이상,67,1,3,4,6,2,7,6,1,2,0,1,4,1,5,1,6,1,3,5,5,3
2020년04월_여_총인구수,"248,536","12,763","8,126","15,718","15,221","8,429","17,431","17,587","8,125","13,603","9,706","11,273","9,239","10,664","11,481","10,447","8,139","8,644","9,385","12,379","16,224","13,952"
2020년04월_여_연령구간인구수,"248,536","12,763","8,126","15,718","15,221","8,429","17,431","17,587","8,125","13,603","9,706","11,273","9,239","10,664","11,481","10,447","8,139","8,644","9,385","12,379","16,224","13,952"
2020년04월_여_0~9세,"11,653",639,666,"1,030",622,375,648,"1,080",196,611,525,344,348,446,409,196,642,363,385,464,947,717
2020년04월_여_10~19세,"14,684",742,576,"1,422",726,474,896,"1,318",356,822,468,435,452,544,562,267,736,419,502,799,"1,238",930
2020년04월_여_20~29세,"55,487","2,440",925,"1,966","4,158","2,791","5,949","2,880","2,600","3,081","2,169","3,197","2,149","2,480","3,025","4,274",818,"2,184","2,463","1,446","2,501","1,991"
2020년04월_여_30~39세,"39,563","1,952","1,322","2,030","2,852","1,563","3,002","2,740","1,388","2,390","1,828","1,997","1,409","1,799","1,740","2,416","1,018","1,456","1,536","1,269","2,150","1,706"
2020년04월_여_40~49세,"32,751","1,725","1,275","2,650","1,769",961,"1,860","2,579",828,"1,873","1,170","1,291","1,107","1,307","1,524","1,046","1,511","1,037","1,181","1,684","2,390","1,983"
2020년04월_여_50~59세,"34,717","1,866","1,204","2,458","1,841",807,"1,865","2,607",949,"1,817","1,422","1,512","1,293","1,464","1,634",797,"1,307","1,149","1,205","2,242","2,679","2,599"
2020년04월_여_60~69세,"31,052","1,765","1,067","2,061","1,702",711,"1,688","2,303",880,"1,588","1,199","1,361","1,238","1,412","1,338",764,"1,110","1,097","1,072","2,201","2,431","2,064"
2020년04월_여_70~79세,"19,787","1,136",696,"1,409","1,108",506,"1,108","1,469",646,"1,019",682,794,851,818,884,485,672,629,706,"1,502","1,311","1,356"
2020년04월_여_80~89세,"7,337",419,332,575,364,201,345,506,245,340,190,295,320,312,306,156,270,256,278,622,497,508
2020년04월_여_90~99세,"1,261",71,44,91,68,32,57,94,29,56,50,39,64,64,49,32,48,45,48,127,65,88
2020년04월_여_100세 이상,244,8,19,26,11,8,13,11,8,6,3,8,8,18,10,14,7,9,9,23,15,10
