카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년06월_계_총인구수,"373,349","21,636","27,056","34,314","20,831","36,812","18,461","32,518","17,677","22,412","17,581","17,120","8,887","11,179","18,005","20,411","12,718","12,443","23,288"
2020년06월_계_연령구간인구수,"373,349","21,636","27,056","34,314","20,831","36,812","18,461","32,518","17,677","22,412","17,581","17,120","8,887","11,179","18,005","20,411","12,718","12,443","23,288"
2020년06월_계_0~9세,"25,506","1,493","1,204","3,044","1,202","2,735","1,065","3,307","1,285","1,738",640,"1,221",317,829,"1,043","2,149",491,500,"1,243"
2020년06월_계_10~19세,"24,509","1,361",880,"2,913","1,027","2,300",986,"2,931","1,027","1,653",939,"1,194",625,761,"1,130","1,776",809,629,"1,568"
2020년06월_계_20~29세,"58,085","2,819","6,191","3,944","3,583","7,309","2,733","3,781","2,716","3,659","3,388","2,208","1,283","1,434","3,062","2,871","1,976","1,901","3,227"
2020년06월_계_30~39세,"67,487","3,347","6,555","5,392","4,216","8,013","3,342","6,078","4,288","5,070","2,982","2,534","1,094","1,634","2,913","3,520","1,473","1,682","3,354"
2020년06월_계_40~49세,"55,855","3,198","3,481","5,534","2,949","5,147","2,812","5,842","2,860","3,428","2,476","2,574","1,212","1,664","2,513","3,323","1,777","1,729","3,336"
2020년06월_계_50~59세,"56,425","3,702","3,592","5,104","3,090","4,697","2,993","4,106","2,099","3,071","2,595","2,976","1,631","1,938","2,811","3,165","2,312","2,216","4,327"
2020년06월_계_60~69세,"45,835","3,129","2,950","4,069","2,617","3,663","2,286","3,505","1,761","2,158","2,271","2,420","1,463","1,651","2,493","2,081","1,983","1,848","3,487"
2020년06월_계_70~79세,"26,869","1,805","1,532","2,680","1,436","1,921","1,521","2,014","1,118","1,098","1,529","1,404",848,886,"1,386","1,030","1,349","1,387","1,925"
2020년06월_계_80~89세,"10,986",661,557,"1,405",616,863,625,809,441,469,658,511,352,320,566,430,471,494,738
2020년06월_계_90~99세,"1,520",107,90,204,80,134,81,119,73,62,82,70,48,47,75,55,62,52,79
2020년06월_계_100세 이상,272,14,24,25,15,30,17,26,9,6,21,8,14,15,13,11,15,5,4
2020년06월_남_총인구수,"184,905","11,071","14,647","16,139","10,253","17,249","9,297","16,007","8,718","11,148","8,932","8,460","4,468","5,413","8,809","10,184","6,326","6,082","11,702"
2020년06월_남_연령구간인구수,"184,905","11,071","14,647","16,139","10,253","17,249","9,297","16,007","8,718","11,148","8,932","8,460","4,468","5,413","8,809","10,184","6,326","6,082","11,702"
2020년06월_남_0~9세,"12,970",743,584,"1,521",608,"1,378",571,"1,690",683,880,319,645,151,411,521,"1,151",258,256,600
2020년06월_남_10~19세,"12,787",728,491,"1,452",514,"1,153",510,"1,508",515,877,492,620,340,374,633,940,459,311,870
