,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년01월_계_총인구수,"1,541,696","282,693","354,664","213,412","90,416","42,586","82,652","64,946","69,142","46,441","38,565","41,587","36,783","44,563","24,732","22,161","31,720","26,687","27,946"
2021년01월_계_연령구간인구수,"1,541,696","282,693","354,664","213,412","90,416","42,586","82,652","64,946","69,142","46,441","38,565","41,587","36,783","44,563","24,732","22,161","31,720","26,687","27,946"
2021년01월_계_0~9세,"105,030","21,512","28,236","13,428","6,576","2,537","5,820","3,826","3,771","2,152","1,671","1,852","1,712","3,352","1,784","1,685","2,487","1,271","1,358"
2021년01월_계_10~19세,"136,888","26,958","35,852","18,925","8,760","3,806","7,460","5,070","5,131","3,447","2,820","2,879","2,541","3,759","1,769","1,988","2,304","1,601","1,818"
2021년01월_계_20~29세,"179,392","37,219","45,621","25,113","9,407","3,653","8,981","7,089","6,858","3,816","3,272","3,390","2,792","5,809","3,858","3,142","4,121","2,832","2,419"
2021년01월_계_30~39세,"165,709","34,164","45,234","21,660","9,143","3,743","9,166","5,734","6,063","3,430","2,771","3,076","3,059","4,668","2,844","2,524","3,870","2,224","2,336"
2021년01월_계_40~49세,"223,835","42,433","57,160","32,330","14,490","6,391","12,463","8,884","8,274","5,111","4,571","5,312","4,933","5,661","2,714","2,544","3,999","3,043","3,522"
2021년01월_계_50~59세,"267,211","46,940","60,832","36,624","15,631","7,345","15,134","11,300","12,695","8,714","7,326","8,019","6,975","7,176","3,885","3,536","5,237","4,786","5,056"
2021년01월_계_60~69세,"243,284","38,542","45,951","33,929","13,975","7,717","12,936","11,229","13,932","10,347","8,135","8,929","7,596","6,761","3,862","3,386","5,240","5,227","5,590"
2021년01월_계_70~79세,"135,573","21,007","21,681","19,649","8,097","4,928","6,809","7,172","7,330","5,588","4,858","5,013","4,527","4,705","2,390","2,027","2,671","3,483","3,638"
2021년01월_계_80~89세,"72,528","11,862","12,149","9,982","3,771","2,118","3,229","4,005","4,402","3,271","2,735","2,706","2,244","2,263","1,382","1,161","1,517","1,861","1,870"
2021년01월_계_90~99세,"11,378","1,936","1,838","1,662",532,282,623,583,644,529,354,370,355,365,228,153,259,342,323
2021년01월_계_100세 이상,868,120,110,110,34,66,31,54,42,36,52,41,49,44,16,15,15,17,16
2021년01월_남_총인구수,"775,727","139,534","175,962","105,799","45,914","21,557","40,940","32,836","35,625","23,812","19,935","21,276","19,127","23,151","13,412","11,759","17,116","13,762","14,210"
2021년01월_남_연령구간인구수,"775,727","139,534","175,962","105,799","45,914","21,557","40,940","32,836","35,625","23,812","19,935","21,276","19,127","23,151","13,412","11,759","17,116","13,762","14,210"
2021년01월_남_0~9세,"53,706","11,041","14,384","6,929","3,385","1,322","2,963","1,941","1,898","1,132",892,906,879,"1,690",897,850,"1,258",650,689
2021년01월_남_10~19세,"71,226","13,998","18,550","9,926","4,568","1,976","3,859","2,626","2,648","1,806","1,513","1,521","1,317","1,952",901,"1,005","1,218",871,971
2021년01월_남_20~29세,"100,951","19,874","24,296","13,736","5,554","2,093","5,063","3,965","4,171","2,169","1,891","1,997","1,599","3,762","2,703","2,113","2,745","1,797","1,423"
2021년01월_남_30~39세,"87,020","17,437","22,957","11,384","4,896","1,971","4,898","3,099","3,327","1,803","1,513","1,652","1,712","2,581","1,666","1,402","2,203","1,263","1,256"
2021년01월_남_40~49세,"114,956","20,959","28,175","16,472","7,535","3,408","6,216","4,888","4,444","2,838","2,502","2,900","2,867","3,032","1,477","1,388","2,233","1,696","1,926"
2021년01월_남_50~59세,"137,420","23,573","30,572","18,395","8,095","3,916","7,455","6,067","6,672","4,634","4,060","4,280","3,828","3,826","2,108","1,882","2,766","2,584","2,707"
2021년01월_남_60~69세,"120,964","18,641","22,720","16,219","6,739","3,808","6,257","5,608","7,264","5,382","4,239","4,635","3,995","3,307","2,059","1,799","2,815","2,674","2,803"
2021년01월_남_70~79세,"60,833","9,198","9,620","8,761","3,663","2,211","2,979","3,177","3,449","2,706","2,212","2,338","2,043","2,085","1,058",874,"1,278","1,497","1,684"
2021년01월_남_80~89세,"25,807","4,293","4,233","3,612","1,359",761,"1,110","1,343","1,576","1,208",998,963,786,824,478,400,528,649,686
2021년01월_남_90~99세,"2,576",470,425,335,110,64,127,110,169,124,99,74,81,82,58,40,66,78,64
2021년01월_남_100세 이상,268,50,30,30,10,27,13,12,7,10,16,10,20,10,7,6,6,3,1
2021년01월_여_총인구수,"765,969","143,159","178,702","107,613","44,502","21,029","41,712","32,110","33,517","22,629","18,630","20,311","17,656","21,412","11,320","10,402","14,604","12,925","13,736"
2021년01월_여_연령구간인구수,"765,969","143,159","178,702","107,613","44,502","21,029","41,712","32,110","33,517","22,629","18,630","20,311","17,656","21,412","11,320","10,402","14,604","12,925","13,736"
2021년01월_여_0~9세,"51,324","10,471","13,852","6,499","3,191","1,215","2,857","1,885","1,873","1,020",779,946,833,"1,662",887,835,"1,229",621,669
2021년01월_여_10~19세,"65,662","12,960","17,302","8,999","4,192","1,830","3,601","2,444","2,483","1,641","1,307","1,358","1,224","1,807",868,983,"1,086",730,847
2021년01월_여_20~29세,"78,441","17,345","21,325","11,377","3,853","1,560","3,918","3,124","2,687","1,647","1,381","1,393","1,193","2,047","1,155","1,029","1,376","1,035",996
2021년01월_여_30~39세,"78,689","16,727","22,277","10,276","4,247","1,772","4,268","2,635","2,736","1,627","1,258","1,424","1,347","2,087","1,178","1,122","1,667",961,"1,080"
2021년01월_여_40~49세,"108,879","21,474","28,985","15,858","6,955","2,983","6,247","3,996","3,830","2,273","2,069","2,412","2,066","2,629","1,237","1,156","1,766","1,347","1,596"
2021년01월_여_50~59세,"129,791","23,367","30,260","18,229","7,536","3,429","7,679","5,233","6,023","4,080","3,266","3,739","3,147","3,350","1,777","1,654","2,471","2,202","2,349"
2021년01월_여_60~69세,"122,320","19,901","23,231","17,710","7,236","3,909","6,679","5,621","6,668","4,965","3,896","4,294","3,601","3,454","1,803","1,587","2,425","2,553","2,787"
2021년01월_여_70~79세,"74,740","11,809","12,061","10,888","4,434","2,717","3,830","3,995","3,881","2,882","2,646","2,675","2,484","2,620","1,332","1,153","1,393","1,986","1,954"
2021년01월_여_80~89세,"46,721","7,569","7,916","6,370","2,412","1,357","2,119","2,662","2,826","2,063","1,737","1,743","1,458","1,439",904,761,989,"1,212","1,184"
2021년01월_여_90~99세,"8,802","1,466","1,413","1,327",422,218,496,473,475,405,255,296,274,283,170,113,193,264,259
2021년01월_여_100세 이상,600,70,80,80,24,39,18,42,35,26,36,31,29,34,9,9,9,14,15
