카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년08월_계_총인구수,"426,437","16,499","15,717","16,492","18,984","23,482","11,598","20,552","18,951","12,268","15,366","24,516","11,284","11,933","16,957","13,063","14,423","22,884","19,387","11,842","15,707","31,842","28,151","34,539"
2020년08월_계_연령구간인구수,"426,437","16,499","15,717","16,492","18,984","23,482","11,598","20,552","18,951","12,268","15,366","24,516","11,284","11,933","16,957","13,063","14,423","22,884","19,387","11,842","15,707","31,842","28,151","34,539"
2020년08월_계_0~9세,"30,306","1,356","1,042","1,973","1,542","1,906",538,"1,411","1,345","1,149",913,"2,078",571,771,"1,063","1,057",960,"1,082","1,119",390,"1,095","2,306","2,042","2,597"
2020년08월_계_10~19세,"51,986","2,161","1,808","2,042","4,243","2,588","1,222","3,996","2,248","1,759","1,473","4,281",888,805,"1,322","1,014","1,171","1,952","1,893",726,"1,823","4,812","3,405","4,354"
2020년08월_계_20~29세,"55,924","2,077","2,369","2,104","1,873","3,011","1,896","2,520","2,273","1,249","2,158","2,739","1,784","1,513","2,129","1,264","2,279","3,339","2,584","1,429","1,948","4,499","3,905","4,982"
2020년08월_계_30~39세,"43,553","1,585","2,013","2,177","1,303","2,457","1,216","1,476","1,699","1,187","1,531","2,045","1,401","1,606","2,097","1,613","1,895","2,343","1,993",975,"1,536","2,878","2,998","3,529"
2020년08월_계_40~49세,"73,676","2,956","2,641","3,259","4,700","3,796","1,749","4,590","3,257","2,483","2,298","4,961","1,789","1,927","2,513","1,967","2,347","3,277","2,907","1,386","2,612","5,753","4,672","5,836"
2020년08월_계_50~59세,"75,421","2,917","2,641","2,575","2,736","4,113","2,127","3,390","3,216","1,830","2,937","4,210","1,950","2,033","2,941","2,076","2,760","4,280","3,683","2,236","2,864","5,924","5,167","6,815"
2020년08월_계_60~69세,"51,306","1,737","1,771","1,266","1,322","2,940","1,531","1,667","2,283","1,393","2,112","2,368","1,498","1,702","2,597","2,110","1,811","3,432","2,896","2,366","2,362","3,263","3,377","3,502"
2020년08월_계_70~79세,"28,645","1,119",967,718,848,"1,734",842,"1,020","1,661",830,"1,224","1,167",960,"1,030","1,503","1,319",808,"2,085","1,422","1,477",984,"1,512","1,624","1,791"
